rank	username	minecraft:broken/minecraft:shears
1	Hyp3rion_	144
2	CoffeeNoir	124
3	Jackattack53	114
4	corvidpartyfor6	103
5	pintsizedrogue	80
6	Di_infiri	71
7	AdmiralSmoke	70
8	Mr_Byzantine	62
9	Merv__	61
9	Legendosh	61
11	mwrty	59
12	joethahobo	58
13	cedric72	52
14	eitanzaki	51
15	noam464	50
16	XxCookiequeenxX	49
17	Blackberry1310	44
17	EveryonesUncle	44
17	Skippeh	44
20	lordpipe	41
21	rarrq	40
21	WET_WET_WET	40
23	Zythose	37
24	FreakGenius	36
25	500am	35
26	kekhon	34
26	El_Jalapeno	34
28	Spacewardharpy7	32
28	Steelynan	32
30	Manaateee	28
30	Xclax101	28
32	Eraxa	27
32	Enderxz3	27
34	m_be9	26
35	Mattesco	25
35	vandmanden	25
37	Werbe	24
38	Rumpletaezer	23
39	ROY4LE	22
39	xxPipperDipperxx	22
39	Snowflowe	22
39	luseis	22
39	YungMaki	22
44	titanlax	20
44	_Dean_123	20
46	Fullut	19
46	Onennon	19
46	mihimihimihi	19
46	Ezekson	19
50	ConnorDanky_	18
51	TheSecondLord	17
51	Skylord_Luke	17
51	zToasty69z	17
51	Iamthejo	17
55	Kakolbus	16
55	ApophisNova	16
55	MyNamaSheff	16
58	Frozil20	15
58	MyNameIsJobo	15
58	The11thDoctor	15
58	Kouridragon	15
62	Kubelz	14
62	PeteO1995	14
62	Mistruth	14
62	xolstoi	14
66	F_Uhre	13
66	Njensen7	13
68	Mahoose	12
68	thewindmillman	12
68	PigDab	12
68	Factoroni	12
68	kyouma777	12
68	SammiWolfGirl	12
74	TheBiggestFeller	11
74	k_ce	11
74	KarlKaek	11
74	Ssor69	11
74	Cryptacity	11
74	gcaisawesome	11
74	wwwwinnebagoooo	11
74	Kowcio_	11
82	ssleepless	10
82	IWorkAtIkea	10
82	Crowman1	10
82	hcb238	10
82	Gamergirl420628	10
82	audiocracked	10
82	master9067	10
82	MineMaster0012	10
82	2blox_	10
91	Groovy_MoonBird	9
91	soundad	9
91	Lez_	9
91	TheDankPlatypus	9
91	Arceus1975	9
91	TheShyPig	9
91	wezzzi	9
91	Darkgon	9
91	The_slideV3	9
91	lcvezra	9
91	Dogcorn69420	9
91	Hermanni__	9
103	Fuhrer_Teemo	8
103	_Bguette_	8
103	Racengan	8
103	Deguns123	8
103	skrongus	8
108	RoskobiOne	7
108	ECstardust	7
108	TheThomas69	7
108	LeauVox4921	7
108	CollinMH06	7
108	CarltheCuck	7
108	burbankbuilder28	7
108	Lord_Jord	7
108	Fakiuss	7
108	Meatlaugh	7
108	Blu3beast	7
108	CattSoup	7
108	TechnoNinja64	7
108	PlasticOtari	7
122	PhantomsGhost_	6
122	123louis456	6
122	heckface	6
122	Xalithia	6
122	r123moore	6
122	SuperPooch06	6
122	BronkerBrum	6
122	oscminus	6
122	Maenara	6
122	Akoot_	6
122	ese_wn_po	6
122	fkGrim	6
122	claivin	6
122	Quaintster	6
122	cog	6
122	layabout100	6
122	anbbang	6
139	peachfuzz1267	5
139	Tommhh	5
139	itburb	5
139	beeperbeeper5	5
139	Smashic	5
139	set67	5
139	Inchef	5
139	platinumzero	5
139	M_Patata	5
139	hanaryheatwave	5
139	KeruNatsema	5
139	PuFY	5
139	Elastiq	5
139	ogoa	5
139	Tyrannosplart	5
139	HellsSponge	5
139	Blaiku	5
139	Groundler	5
139	Fildyr	5
139	Druid95	5
139	MasterNueve	5
139	Burge_r	5
139	UCP_TheKingK	5
139	__tomato	5
139	Soplight	5
139	fffMike	5
139	Nicserso	5
166	ImpavidArcher	4
166	Killercatty78	4
166	Wooptey	4
166	T045RTY	4
166	Notta	4
166	MattieHD	4
166	2Stout	4
166	toj__	4
166	Winklepicker279	4
166	Marbz_	4
166	Hoid_the_Roamer	4
166	Jonte0599	4
166	SaintJosie	4
166	valkam13	4
166	Inbefour	4
166	StinkyDiplomat	4
166	Deerfoot	4
166	Optiprimus	4
166	pixelviolin	4
166	Luigipunch989	4
166	PortlyPete69	4
166	Sheldor097	4
166	KingMatthew506	4
166	ZoomieZoomie	4
166	EcksD	4
166	Quotary	4
192	SaltineDream	3
192	Bandito_Roamer	3
192	SyK7	3
192	AustinAuranymph	3
192	_Huge_Male_	3
192	RatatJuice	3
192	RebelAndroid	3
192	nattybears	3
192	Reamdin	3
192	featherflyy	3
192	jacxhadow	3
192	SoftSix	3
192	Awyrlas	3
192	UncleDanDan	3
192	nitram49b	3
192	JETrotter	3
192	ReSynced	3
192	NomadicRobin_	3
192	TheSeismicDuck	3
192	Deathkob	3
192	NameGenerat0r	3
192	JoCoLi	3
192	Cocoamallows	3
192	NebulousBadger	3
