rank	username	minecraft:broken/minecraft:wooden_axe
1	Smoke____	15
2	E775	9
3	LordSpeed37	8
4	M_Patata	7
4	MasterNueve	7
6	Lord_Jord	6
6	QueenShuvi	6
6	EcksDofficial	6
9	Crasswolf	5
9	Cattoh	5
9	Racengan	5
9	oxfordschool	5
9	smogfrog	5
14	Armattillo	4
14	Zythose	4
16	Franco093	3
16	2Stout	3
16	Di_infiri	3
16	bee_gorl	3
16	ItsJWolff	3
16	Factoroni	3
16	CassiusDio	3
16	Poppy235	3
24	_stets	2
24	The_Great_Jake	2
24	not_a_duck_23	2
24	Slinkyy7071	2
24	ImpavidArcher	2
24	BlancoFlaco	2
24	Prodiginus	2
24	titanlax	2
24	ToxicHauntling	2
24	redikul	2
24	Robby_Cream	2
24	Diavri	2
24	Matek_	2
24	maddog2014	2
24	ouija_	2
24	FetteMutter	2
24	KillerNekoRain	2
24	Shychelsoo	2
24	Felenov	2
24	Shavrin	2
24	TJawesome09	2
24	misomon	2
24	alddd	2
24	SkateboardR6	2
24	bndo	2
24	Ze_BaronKrigler	2
24	djancak	2
24	SammiWolfGirl	2
24	Nekomin0	2
24	MelodyGaysharks	2
24	Deliriohm	2
24	Goat_Man512	2
56	MunkaKris	1
56	cnicholspgh	1
56	pintsizedrogue	1
56	weezygator	1
56	KazmaninSapi	1
56	duelcard	1
56	Matemaks2137	1
56	Froste131	1
56	Elprone266	1
56	LordlessAbyss	1
56	2xil2	1
56	zqw10k	1
56	FroggoTheDoggo	1
56	420joe	1
56	NibPicker	1
56	Azorathum	1
56	EllaBellaChu	1
56	Foof13	1
56	KingFaenor	1
56	KarlKaek	1
56	Kegradigm	1
56	knoodrake	1
56	CryoInferno_	1
56	SaucyDark	1
56	hm947	1
56	La_Conne	1
56	RatatJuice	1
56	Paleshield	1
56	imthatpikachu	1
56	DangusCnt	1
56	AlazelTheReal	1
56	Goleam	1
56	beeperbeeper5	1
56	musique99	1
56	Digcove	1
56	Rorrofighter	1
56	Euclidoris	1
56	Khelvoryk	1
56	aikabot	1
56	Blackberry1310	1
56	Under1	1
56	DarkFisto	1
56	gilesmcriles	1
56	firesgal3116	1
56	MrExplorer	1
56	Cheesebal1	1
56	libbydalez	1
56	Skrutinize	1
56	Cidah	1
56	Z3braYTIL	1
56	Demiurging	1
56	CrookedKaptain	1
56	StormAries__	1
56	Awyrlas	1
56	vvarrior	1
56	Dali1465	1
56	Dirt158357	1
56	SLASHZEERA	1
56	xxPipperDipperxx	1
56	ciemacigans	1
56	r123moore	1
56	xBaltaci	1
56	noam464	1
56	type11	1
56	Minc_	1
56	Purplehere	1
56	BlueZabu	1
56	Winklepicker279	1
56	itsKODASHi	1
56	GOOBERGABE04	1
56	Freeman666	1
56	Ahketen	1
56	Norrhede	1
56	sarahlynn00	1
56	ibarker21	1
56	wTXop	1
56	Nyxiom_	1
56	Destroyer112221	1
56	NarwhalTaco	1
56	Fast_Turtle	1
56	kars0n	1
56	regulator75	1
56	Mpkkiller	1
56	msJabberwock	1
56	Skylord_Luke	1
56	CHUUUBZZ_99	1
56	RohnJosin	1
56	DeeDeeThonk	1
56	CruncyIsTaken	1
56	cedric72	1
56	LuceImaginary	1
56	StabbyRoomba	1
56	Big_Nate_36	1
56	Ajax6	1
56	St4nLe7	1
56	ADEXTV	1
56	Dabatha	1
56	XMiner22	1
56	420BreadLizard	1
56	ElderRifken	1
56	ChampBoii	1
56	kiluaemc	1
56	NoChumpChange	1
56	ese_wn_po	1
56	master9067	1
56	Snart_Sniffler	1
56	Toowny	1
56	majlin16	1
56	1442	1
56	_Karmaa	1
56	DASH_X7	1
56	MAns_44	1
56	Freak_Genius	1
56	DukBob	1
56	banana_ketchup	1
56	Nycteus_	1
56	carpet4_69	1
56	Zany0	1
56	BumbleBeever	1
56	SingedBread	1
56	Testificate_517	1
56	LokisCharredFace	1
56	lolpoottoot	1
56	ProfessorDiaper	1
56	Matorz	1
56	Yoaty	1
56	ceAndy200	1
56	Panoe	1
56	csendeslol	1
56	bruh072	1
56	Chaotic1s	1
56	Optiprimus	1
56	Naturalrogue	1
56	Soul_Atreus	1
56	Sank34	1
56	voiding_	1
56	sleepdrifter_	1
56	bloomkieren	1
56	MineMaster0012	1
56	Bawbman	1
56	starbits140	1
56	Phoenix_Diacou	1
56	stahouo	1
56	PncakeUniverse	1
56	lcvezra	1
56	SpicyDuckMan	1
56	Western_1	1
56	y0shik	1
56	Logain42	1
56	fffMike	1
56	Catharsist	1
56	Zipstor	1
56	Devouching	1
56	blimpeey	1
56	MissCeleste7	1
56	Miko_Fullbuster	1
56	QueenOfDirt	1
56	Misterkill700	1
56	jnp_gaming	1
56	MysticalKitty139	1
56	Wasdmaster3	1
56	SylvarumBee	1
56	Teebone15	1
56	5712	1
56	Calbo_	1
