rank	username	minecraft:broken/minecraft:leather_boots
1	El_Jalapeno	14
2	MyNameIsJobo	11
3	PlasticOtari	9
4	Deathkob	7
5	himak1	6
5	SuperPooch06	6
7	Blackberry1310	5
8	Akoot_	4
8	QueenShuvi	4
8	LordSpeed37	4
8	SammiWolfGirl	4
8	Smoke____	4
13	ImpavidArcher	3
13	noam464	3
13	AJplaysMC_	3
13	ooga47	3
13	Onennon	3
13	_TCARREIRA_	3
13	TechnoNinja64	3
13	EcksDofficial	3
13	Yahrto	3
22	pintsizedrogue	2
22	Mr_Byzantine	2
22	_stets	2
22	soundad	2
22	youhjjhhhjj	2
22	Mahoose	2
22	H72l9w	2
22	bloodbiter	2
22	kekhon	2
22	Guillemet	2
22	SteveCraftBlocks	2
22	_Boipl_	2
22	CarryLine	2
22	NomadicRobin_	2
22	_Bguette_	2
22	Blu3beast	2
22	Frozil12	2
22	LetsDoItLive	2
22	Juh1s	2
22	Miko_Fullbuster	2
22	kinas45y5	2
43	Thaumatarge	1
43	Tobinator_007	1
43	heysushii	1
43	BigMaoguai	1
43	eotzuca	1
43	RoskobiOne	1
43	milkedit	1
43	TheMilkerOfCats	1
43	RatatJuice	1
43	RebelAndroid	1
43	maliraspberry	1
43	Zlatovlas	1
43	WarHammer3	1
43	_AceOfSpace_	1
43	Barjas	1
43	MOSS000	1
43	MrAdamant209	1
43	heckface	1
43	dopplexd	1
43	Zedducius	1
43	firesgal3116	1
43	jiggywraps	1
43	m_be9	1
43	Ardennes	1
43	TheDiamondCG	1
43	BreadFruggis	1
43	squillz105	1
43	CrookedKaptain	1
43	ketaminmann	1
43	Motsaro	1
43	SomeWanderer	1
43	SellyZ	1
43	Kubelz	1
43	platinumzero	1
43	Bolete	1
43	mimbo1211	1
43	Avrelion	1
43	swag_bro2004	1
43	Giannism	1
43	TakeThis2UrGrave	1
43	Jackattack53	1
43	Armattillo	1
43	Snowflowe	1
43	AnnieBathory	1
43	impossibleteapot	1
43	pappaberg	1
43	Jaccob_satorius	1
43	Werbe	1
43	seramalen	1
43	Moofyman	1
43	Kim_Jong_eel	1
43	Maenara	1
43	TheTrueClipse	1
43	_Crimson_Legate	1
43	audiocracked	1
43	masskedman	1
43	SpouHn	1
43	Jiminie	1
43	master9067	1
43	rotten_mango	1
43	m9_meltdown_	1
43	misomon	1
43	DemTechAlpha	1
43	MyNameIsDakar	1
43	StinkyDiplomat	1
43	Quaintster	1
43	Freak_Genius	1
43	MangoSalad316	1
43	560cool	1
43	Keeogwi	1
43	Racengan	1
43	BumbleBeever	1
43	wwwwinnebagoooo	1
43	Warlord324	1
43	NotMeowMix	1
43	monky_irl	1
43	geekbird	1
43	Mistruth	1
43	Tina_x	1
43	WyngGoy	1
43	layabout100	1
43	IvarEXE	1
43	2c19c699-1659-42a9-8736-134c5a6d6d2a	1
43	YungMaki	1
43	Kijiki	1
43	aywri	1
43	tsitrawhy	1
43	PncakeUniverse	1
43	Luigipunch989	1
43	Susp1ci0us	1
43	PortlyPete69	1
43	Drawgirll	1
43	fffMike	1
43	KingMatthew506	1
43	Ezekson	1
43	oxfordschool	1
43	Quotary	1
43	RadarHz	1
43	FallenCorps	1
43	Kiki_Majiki	1
43	2blox	1
43	LiquidFenrir	1
43	DkansK	1
43	fastPREDATOR	1
43	00000000-0000-0000-0009-01f898304150	1
