rank	username	minecraft:mined/minecraft:black_shulker_box
1	Hyp3rion_	1664
2	beeperbeeper5	1474
3	Eraxa	1072
4	TheShyPig	986
5	Mahoose	888
6	Frozil20	714
7	Manaateee	709
8	Historical_Sand	589
9	pintsizedrogue	573
10	Kubeusz2010	542
11	__tomato	534
12	Blackberry1310	518
12	Enderxz3	518
14	TheSecondLord	503
15	jnp_gaming	488
16	Chromary	483
17	Mattesco	473
18	noam464	468
19	thewindmillman	426
20	Onennon	411
21	teslawolf38	408
22	kekhon	387
23	Spaghettatron	368
24	PortlyPete69	365
25	sp00ky_ghost977	363
26	craaaash	309
26	Skippeh	309
28	Blaiku	307
29	EcksD	303
30	Ryan_GEMS	302
31	Xclax101	292
32	PlzNoBM	284
33	oscminus	272
34	Segotep999	271
35	6king6colt6	256
36	Xalithia	250
36	MAns_44	250
38	Kowcio_	246
39	doublemaki	245
40	Kyrum2169	231
41	Covalents	229
42	Lez_	222
43	emreknugrlu	218
44	Jackattack53	204
45	hermmm_	192
46	royal_2	189
47	whoaluv	188
48	luseis	184
49	Jovaphobic	179
50	ECstardust	168
51	MyNameIsJobo	165
52	CacheOut	150
53	Deathkob	140
54	Akoot_	139
55	Spenduh	137
56	FirsTimeGamingTV	136
57	HellsSponge	134
58	HesDemonPants	133
59	claivin	128
60	Apollo_993	126
60	Spacewardharpy7	126
62	Werbe	124
63	ApophisNova	122
64	Rumpletaezer	121
64	MyNamaSheff	121
66	Maenara	119
67	eviltunix	118
67	Snowflowe	118
69	PazinGaming	116
70	Skylord_Luke	112
71	MightyWertu	111
72	_Karmaa	106
73	500am	103
74	rarrq	101
75	k_ce	99
76	Krowuss	98
77	Bumpy419	97
78	Groundler	95
78	Hisiste	95
80	PlasticOtari	91
81	hanaryheatwave	89
81	xDraggin	89
83	Gus2005	88
84	12Magner05	85
84	Jimb0nat0r	85
86	mihimihimihi	82
87	r123moore	78
88	jcool7	77
89	Shogunite	74
90	Groovy_MoonBird	73
91	Voxin2K	68
91	TheSeismicDuck	68
91	shrimp_flips	68
91	WyngGoy	68
91	SammiWolfGirl	68
96	Malorn_Aetherius	66
96	Hiryu27	66
98	eiC_	65
99	burbankbuilder28	64
100	emrekn	63
