rank	username	minecraft:mined/minecraft:sniffer_egg
1	TheSecondLord	5
2	k_ce	3
3	Merv__	2
3	Alteriity	2
3	Lez_	2
3	beeperbeeper5	2
3	Krowuss	2
3	Jimb0nat0r	2
9	ECstardust	1
9	Kakolbus	1
9	StarCookiees_	1
9	pixelviolin	1
