rank	username	minecraft:mined/minecraft:bubble_column
1	Bumpy419	191
2	FreakGenius	20
3	TruGuire	9
4	wTXop	6
5	thescout7	4
6	noam464	3
6	Soplight	3
6	jnp_gaming	3
9	Hyp3rion_	2
9	Xclax101	2
11	q_wq	1
11	ImpavidArcher	1
11	eitanzaki	1
11	Mahoose	1
11	rarrq	1
11	himak1	1
11	Di_infiri	1
11	Jackattack53	1
11	Rumpletaezer	1
11	Werbe	1
11	KartivGal	1
11	HellsSponge	1
11	censorsheep	1
11	shuniji_	1
11	hdtpm	1
11	hermmm_	1
11	Enderxz3	1
