rank	username	minecraft:mined/minecraft:tall_seagrass
1	joethahobo	5222
2	thewindmillman	3818
3	Ezekson	2361
4	noam464	2126
5	Enderxz3	1696
6	12Magner05	1640
7	Huwulling	1425
8	EMC_	1233
9	YungMaki	1151
10	Xalithia	1027
11	Arceus1975	924
12	EngagedGrub41	921
13	mihimihimihi	909
14	Smoke____	868
15	Di_infiri	855
16	beeperbeeper5	740
17	500am	719
18	EveryonesUncle	699
19	Jackattack53	645
20	calamariclam_I	625
21	PigDab	610
22	HellsSponge	573
23	RealGroot	546
24	Blaiku	519
25	fluddd	502
26	Chromary	496
27	Racengan	475
28	Spacewardharpy7	456
29	diamondgolem35	451
30	hm947	372
31	RebelAndroid	363
32	Eraxa	344
33	Hisiste	315
34	Hyp3rion_	312
35	obzii	311
36	EcksD	300
37	Kakolbus	295
38	TheSecondLord	289
39	Deathkob	274
40	SuperPooch06	264
41	Eczbek	251
42	Rebytre	244
43	MangoTheFish	242
44	PlasticOtari	239
45	SingedBread	232
46	MilleGrug	228
47	gcaisawesome	224
48	pintsizedrogue	215
48	rarrq	215
50	ImpavidArcher	206
51	NomadicRobin_	195
52	M_Patata	193
52	MasterNueve	193
54	Marbz_	192
55	Fuad_R	188
56	Nicky_H225	186
57	_Dean_123	184
58	CoffeeNoir	182
59	Kubeusz2010	177
60	Zythose	175
61	gusstationwerker	174
62	Esme_1	159
63	FreakGenius	157
63	diggydog67	157
65	lordpipe	149
66	Legendosh	146
67	FishyBoy3811	145
68	bigstankyy	144
69	kekhon	143
70	Snowflowe	137
71	djancak	129
72	SmashingPump	117
73	bloodbiter	113
74	Skippeh	106
75	eitanzaki	104
76	Da_Boss_Rani	101
77	MrKrabOnCoke	100
77	mwrty	100
79	lorpus	89
80	RoskobiOne	88
81	Lez_	86
82	TheShyPig	82
83	Huic_ostiarius	80
84	Mahoose	79
84	PegLegPete93	79
86	Lord_Jord	68
86	binman420	68
88	OverallConcept	66
89	Inchef	65
89	zToasty69z	65
91	XboxPanda	64
92	reaperface123	63
93	IdeallyGrey	61
94	SlayerCrypto	59
95	Ardennes	58
95	Awyrlas	58
97	q_wq	55
97	MissCeleste7	55
99	Touched_Bread	54
99	SammiWolfGirl	54
101	AuroraSkies	51
102	Kowcio_	49
102	fffMike	49
104	Swexti	47
105	set67	45
105	luseis	45
105	Mythic1130	45
108	_Virify_	44
108	Cowison	44
110	Jakobo1337	43
110	Skylord_Luke	43
112	Paint	42
112	ReyTheLegend	42
114	MinttyFressh	41
114	xxPipperDipperxx	41
114	KeruNatsema	41
114	Akoot_	41
114	starbits140	41
119	Frozil20	40
119	tuckerdoodle	40
119	Mr_Don_Costello	40
122	MirielThePastor	37
123	ExtraDumb	36
123	Z3braYTIL	36
123	NoChumpChange	36
123	Quotary	36
127	gustarlep	35
127	ZoomieZoomie	35
129	El_Jalapeno	33
130	gren_ben	32
130	XxCookiequeenxX	32
132	Blackberry1310	31
132	Syropatathe	31
132	TheEnderMan548	31
135	TheWildMateo	30
136	ZA07	29
136	DanTheBuilderino	29
136	2bolx_	29
139	ITDV	28
139	Winklepicker279	28
141	PhantomsGhost_	27
141	HesDemonPants	27
143	TheThomas69	26
143	aldplaysmc	26
145	corvidpartyfor6	25
145	ItsDeltaMC	25
147	GravitySaint	24
147	FishisTTV	24
149	Wowful	23
149	EfficientC52	23
149	Dusk_95	23
152	Alteriity	22
152	eclipseboi	22
154	jimbo61101jr	21
154	LeauVox4921	21
154	Mattesco	21
154	lizardfightclub	21
154	Winston_Ingram	21
154	trexgb	21
160	Myszoaz	20
160	Historical_Sand	20
160	CollinMH06	20
160	SpacesickPrism	20
160	Ace78szn	20
160	xolstoi	20
166	r123moore	19
166	Silvo614	19
166	MAns_44	19
166	pixelviolin	19
170	ShedJr_	18
170	ConnorDanky_	18
172	burbankbuilder28	17
172	masskedman	17
172	NameGenerat0r	17
172	SkateboardR6	17
172	SpicyDuckMan	17
172	jnp_gaming	17
172	Biites	17
179	titanlax	16
179	4774	16
179	groofles	16
179	Razzgriz	16
179	Erased_Identity	16
184	fanofbands101	15
184	Creativebuilder2	15
184	Norhh	15
184	T045RTY	15
184	JitteryJared2	15
184	Jimi7hits	15
190	Bumpy419	14
190	RoofTyler	14
190	CurvedCubes	14
190	Hermanni__	14
194	Sleek_Storm_721	13
194	Smashic	13
194	NoraTheYandere	13
194	eviltunix	13
194	BenPenguin	13
194	strifeforlyfe	13
194	Lutres_Torane	13
194	Steelynan	13
