rank	username	minecraft:mined/minecraft:green_wool
1	Buuck_	1955
2	beeperbeeper5	1342
3	thewindmillman	899
4	ShedJr_	893
5	ConnorDanky_	544
6	Enderxz3	461
7	Huwulling	444
8	mymayowasgone	380
9	Ezekson	287
10	SpacesickPrism	285
11	cuddlyMonster	254
12	xxPipperDipperxx	244
13	lordpipe	226
14	Cowison	215
15	Blu3beast	206
16	Yamdalorian	170
17	AmmiDesu	131
18	craaaash	126
19	LuvLuvLove	121
20	TheShyPig	119
21	mwrty	112
22	CoffeeNoir	94
23	pintsizedrogue	92
24	rarrq	91
24	PlzNoBM	91
26	noam464	89
27	Syropatathe	75
28	TechnoNinja64	71
29	Mattesco	66
30	Cache3	65
31	Werbe	64
32	MattieHD	62
33	Crowman1	57
34	WET_WET_WET	52
34	Spacewardharpy7	52
36	NomadicRobin_	51
37	CattSoup	50
38	Hoid_the_Roamer	48
39	skroobiez	46
40	NutellaPenguinz	44
41	Lord_Jord	43
41	TheKingK_	43
43	PlasticOtari	41
44	Wooptey	40
45	Lez_	39
46	TheSecondLord	35
46	EveryonesUncle	35
46	NameGenerat0r	35
49	Merv__	33
50	Mr_Byzantine	32
50	_Karmaa	32
52	Fullut	31
52	AlexxO_o	31
52	doublemaki	31
55	eitanzaki	30
55	Mahoose	30
55	hermmm_	30
58	Blackberry1310	27
59	EMC_	26
60	Snowflowe	25
60	jnp_gaming	25
62	Rumpletaezer	23
62	KingMatthew506	23
64	fffMike	22
64	Jimb0nat0r	22
66	Eraxa	19
67	Jackattack53	18
67	Shin69	18
69	BadenStayFly	17
69	Rebytre	17
69	luseis	17
72	toj__	16
72	PigDab	16
72	StinkyDiplomat	16
75	CLG_Kata	15
75	Jiminbub	15
75	HellsSponge	15
78	m_be9	13
78	Sheldor097	13
80	burbankbuilder28	12
81	PazinGaming	11
82	6king6colt6	10
82	SteveCraftBlocks	10
82	Krowuss	10
82	pixelviolin	10
82	Pumpkin_P_Patch	10
87	TheEnderMan548	9
88	joethahobo	8
88	mimbo1211	8
88	Hyp3rion_	8
88	SvenskaHugo	8
88	TheWickedBird	8
93	_Dean_123	7
93	ApophisNova	7
93	Xclax101	7
93	cog	7
93	jcool7	7
93	MyNamaSheff	7
99	ImpavidArcher	6
99	Ozixar	6
99	Kakolbus	6
99	milltesco	6
99	corpsecity	6
99	Deathkob	6
99	The_slideV3	6
99	Kowcio_	6
107	Alteriity	5
107	Historical_Sand	5
107	kekhon	5
110	Comma__	4
110	DarlaMeow	4
110	halfbakedlasagna	4
110	Druid95	4
114	k_ce	3
114	RebelAndroid	3
114	hanaryheatwave	3
114	Quaintster	3
114	Blaiku	3
114	Nekomin0	3
114	PortlyPete69	3
121	_Huge_Male_	2
121	ECstardust	2
121	diamondgolem35	2
121	Sleepy_Evelyn	2
121	set67	2
121	prizm_	2
121	yheece	2
121	Skylord_Luke	2
121	FishyBoy3811	2
121	groofles	2
121	IamCL4SSY	2
121	TruestTurnip	2
121	Katthaj	2
121	Segotep999	2
121	Soplight	2
136	squigglybones	1
136	dabloons	1
136	teslawolf38	1
136	SaucyDark	1
136	T045RTY	1
136	ZaneABrain	1
136	QuiCreans	1
136	MinttyFressh	1
136	_witch_craft_	1
136	Arceus1975	1
136	Akoot_	1
136	Groundler	1
136	Racengan	1
136	lunkuku	1
136	Njensen7	1
136	TheBananaKat	1
136	EcksD	1
136	The_SlideV5	1
136	TwinTowerV2	1
136	FishisTTV	1
