rank	username	minecraft:mined/minecraft:acacia_slab
1	AdmiralSmoke	1072
2	beeperbeeper5	867
3	TheShyPig	701
4	Mahoose	664
5	Merv__	481
6	Steelynan	421
7	TheSeismicDuck	348
8	cichy096	328
9	set67	314
10	Manaateee	282
11	Snowflowe	260
12	Bandito_Roamer	242
13	Meatlaugh	225
14	ImpavidArcher	209
15	Zedducius	183
16	Doom_melon	179
17	kekhon	164
18	FreakGenius	155
19	SvenskaHugo	140
20	eitanzaki	122
21	KarlKaek	121
22	Winklepicker279	114
23	Lez_	111
24	Kubeusz2010	108
25	Myrosia	85
26	Onennon	84
27	EMC_	83
28	2Stout	81
29	Crumbls	78
29	smogfrog	78
31	CattSoup	75
31	PlasticOtari	75
33	4774	72
34	KlausVonStiglitz	69
35	Hoid_the_Roamer	68
36	Eraxa	58
37	corvidpartyfor6	56
38	Ezekson	55
39	joethahobo	54
40	Mr_Byzantine	52
41	FreddyFart	51
42	youhjjhhhjj	50
43	Barlycorn	48
44	xXTheWolfmanXx	47
44	starbits140	47
46	lorpus	42
46	Enderxz3	42
48	Apollo_993	36
48	Megarboh	36
48	Kowcio_	36
51	ConnorDanky_	35
52	Soul_Atreus	34
52	bitsplease	34
54	Blackberry1310	32
55	Werbe	31
56	JESS_THE_RERE	30
57	Chuvacevedo	28
58	luseis	27
58	YungMaki	27
58	Sral7	27
61	_Panyu_	26
61	gcaisawesome	26
63	Frozil20	25
63	lordpipe	25
65	ProfessorBee	23
66	himak1	22
66	r123moore	22
68	pintsizedrogue	21
68	Spacewardharpy7	21
70	xolstoi	19
71	MS_Pryxx	18
72	fade_emerge78823	17
72	Soplight	17
72	tsitrawhy	17
75	ChillenChiggen	16
75	_Karmaa	16
77	MrKrabOnCoke	15
77	UCP_TheKingK	15
79	m_be9	14
80	thewindmillman	13
80	EveryonesUncle	13
80	Blaiku	13
83	DarlaMeow	12
83	xX_Stalin69_Xx	12
85	Alexanderjac	11
85	peach0s	11
85	Fullut	11
85	ProfessorDiaper	11
89	Typadopoulos	10
90	_Ruzeeq_	9
91	SaucyDark	8
91	TheSecondLord	8
91	ReflexCode	8
91	LeeMcGee30	8
95	Di_infiri	7
95	Jackattack53	7
97	Lord_Jord	6
97	ChocolatePepsi	6
97	Toriankel	6
97	ItsJunoIGuess	6
101	Franco093	5
101	12Magner05	5
101	Akoot_	5
101	Inbefour	5
101	TechnoNinja64	5
101	Schlitzman	5
107	_Huge_Male_	4
107	Fractured_	4
107	SteveCraftBlocks	4
107	noam464	4
107	Zaridey	4
107	Gryglu583	4
107	HellsSponge	4
107	El_Jalapeno	4
115	AgressiveEggdog	3
115	MeowMeowMcmuffin	3
115	Kamflame10	3
115	ApophisNova	3
115	AlexxO_o	3
115	LeonelSalamanca	3
115	sp00ky_ghost977	3
115	SirBreadward	3
115	MyNamaSheff	3
115	JasmineGK	3
125	Groovy_MoonBird	2
125	dimondking777	2
125	dopplexd	2
125	hayybails	2
125	TylerDupree	2
125	yaboo88	2
125	GreedyFern8581	2
125	oscminus	2
125	Mattesco	2
125	thgrocks	2
125	fw3xy74	2
125	Dakar_	2
125	JureJurko	2
125	claivin	2
125	Factoroni	2
125	Razzgriz	2
141	funeralhome	1
141	jushykins	1
141	excelsionprime	1
141	xxPipperDipperxx	1
141	Karetoko	1
141	WET_WET_WET	1
141	Armattillo	1
141	AnnieBathory	1
141	GooseWithin	1
141	fkGrim	1
141	lillips	1
141	xzvu	1
