rank	username	minecraft:mined/minecraft:acacia_fence
1	beeperbeeper5	954
2	Smoke____	540
3	Meatlaugh	288
4	ImpavidArcher	176
5	KarlKaek	164
6	eitanzaki	147
7	Mahoose	145
8	youhjjhhhjj	124
9	RoboTramp7865	122
10	corvidpartyfor6	112
11	2Stout	93
12	Mowelan	91
13	Doom_melon	86
14	EMC_	79
14	Winklepicker279	79
16	pintsizedrogue	77
17	Groovy_MoonBird	73
18	Hoid_the_Roamer	68
19	ApophisNova	62
19	starbits140	62
19	MyNamaSheff	62
22	Frozil12	60
23	smogfrog	59
24	Jiminie	58
25	fade_emerge78823	57
25	Steelynan	57
25	h2p_emrld	57
28	KlausVonStiglitz	56
29	ProfessorBee	48
29	Di_infiri	48
31	ThePoliteG	47
32	oxfordschool	45
33	dopplexd	44
33	Ezekson	44
35	AJplaysMC_	42
35	Freak_Genius	42
37	Werbe	36
38	Bandito_Roamer	35
39	csendeslol	34
40	mariominejedi	33
41	Ajax6	31
42	Merv__	29
42	Zaridey	29
44	Myrosia	27
45	TheShyPig	26
46	xxPipperDipperxx	25
46	HellsSponge	25
48	baxteerr	24
48	joethahobo	24
50	xXTheWolfmanXx	23
50	Franco093	23
50	Blackberry1310	23
53	Snowflowe	22
53	Soplight	22
55	himak1	20
56	victorLIE	19
57	Destroyer112221	18
58	Moofyman	17
59	lilsay	16
59	set67	16
61	noodlepack	15
61	AnnieBathory	15
63	Vellu21	14
64	MeowMeowMcmuffin	13
64	DirtyBoar	13
64	MustardDrinker	13
64	FreddyFart	13
68	Kakolbus	12
68	Karetoko	12
68	YungMaki	12
71	Vizzoid	11
71	duqboy	11
71	cum_chalice	11
71	TechnoNinja64	11
71	YoshikageBites	11
76	Swalt	10
76	r123moore	10
76	Chuvacevedo	10
76	Kynigito	10
80	Inchef	8
80	geekbird	8
80	stellarjay	8
80	xX_Stalin69_Xx	8
84	fluddd	7
84	560cool	7
84	RedcatVII	7
84	Ir0npack	7
84	Lowjinx	7
89	chipklip	6
89	Quaintster	6
89	C0oOK13M0N5T3R	6
89	Blaiku	6
89	_beep_boop	6
89	07shiny	6
89	Enderslayerxz3	6
89	Sral7	6
97	Incinere	5
97	firesgal3116	5
97	kekhon	5
97	_Dean_123	5
97	sp00ky_ghost977	5
97	DennyKai	5
97	FelixPSY375	5
97	JasmineGK	5
105	TheSeismicDuck	4
105	Lutres_Torane	4
105	Blu3beast	4
105	IAmTheWalrus910	4
109	Ilinca_Io	3
109	spaece	3
109	Drawgirll	3
109	mountaingirl311	3
109	561cool	3
114	TildaAndrea	2
114	Rich_Kat	2
114	12Magner05	2
114	noam464	2
114	loveseeker	2
114	ItsAki_	2
114	jewbacaman	2
114	Lord_Jord	2
114	fw3xywashere	2
114	lillips	2
114	El_Jalapeno	2
114	Factoroni	2
114	Eraxa	2
114	Chayula	2
114	underscore_2	2
114	stahouo	2
114	CoryJJ	2
114	TheALV	2
114	KingMatthew506	2
133	PhantomsGhost_	1
133	Nucket	1
133	Hpdinosaur	1
133	Furiuosbeast0404	1
133	rarrq	1
133	Euclidoris	1
133	Megarboh	1
133	500am	1
133	CrookedKaptain	1
133	gcaisawesome	1
133	Yuvl	1
133	thewindmillman	1
133	King_Pancake1	1
133	MinerDec	1
133	cedric72	1
133	Kim_Jong_eel	1
133	EveryonesUncle	1
133	fkGrim	1
133	MinuteMira	1
133	SvenskaHugo	1
133	MineMaster0012	1
133	Segotep999	1
133	lcvezra	1
133	SunsetwolfGG	1
133	Njensen7	1
133	laron58	1
133	RealBuddy	1
133	EcksD	1
133	kinas45y5	1
133	camando92	1
