rank	username	minecraft:mined/minecraft:purple_bed
1	HellsSponge	181
2	thewindmillman	152
3	EngagedGrub41	113
4	TooManyDuck	41
5	Elastiq	30
6	pixelviolin	26
6	Fizznut909	26
8	Wooptey	22
9	ROY4LE	20
9	diggydog67	20
11	Mahoose	19
12	YungMaki	17
13	Jovaphobic	15
14	Rebytre	12
14	El_Jalapeno	12
14	Groundler	12
17	00000000-0000-0000-0009-01ff0c3e5e4f	11
18	TheShyPig	8
18	censorsheep	8
20	Bonzaidalek	7
21	Blu3beast	6
22	Merv__	5
22	Inchef	5
22	Diavri	5
22	wwwwinnebagoooo	5
22	Ezekson	5
27	bigstankyy	4
27	Ao_Ken	4
27	beeperbeeper5	4
27	Smashic	4
27	Kkanot	4
27	MonitorLizards	4
33	Foof13	3
33	eitanzaki	3
33	Cryptacity	3
33	TheSecondLord	3
33	kekhon	3
33	500am	3
33	AJplaysMC_	3
33	burbankbuilder28	3
33	CTH_98	3
33	TheTrueClipse	3
33	RoofTyler	3
33	StinkyDiplomat	3
33	Blaiku	3
33	tsitrawhy	3
47	MunkaKris	2
47	ItsColin11	2
47	EMC_	2
47	Huwulling	2
47	Chickenchaser2	2
47	MinttyFressh	2
47	Winklepicker279	2
47	Hyp3rion_	2
47	_Boipl_	2
47	CrateOfBoxes	2
47	Akoot_	2
47	fkGrim	2
47	NotMeowMix	2
47	EricAurum	2
47	Steelynan	2
47	trexgb	2
47	_Dri_	2
64	pintsizedrogue	1
64	LittleBug562	1
64	AshleeCW	1
64	Batman922	1
64	ShedJr_	1
64	301851	1
64	ChampPog_	1
64	rarrq	1
64	MrExplorer	1
64	noam464	1
64	SuperPooch06	1
64	okCrypto	1
64	Skylord_Luke	1
64	PigDab	1
64	Rasmanden	1
64	SaintJosie	1
64	Joestra	1
64	Russiancat1	1
64	DarlaMeow	1
64	Shogunite	1
64	LordAurum	1
64	Spacewardharpy7	1
64	Strangemonkey71	1
64	Kowcio_	1
64	PortlyPete69	1
64	ItsJunoIGuess	1
64	Sheldor097	1
64	KingMatthew506	1
64	Physics_Breaker	1
64	ConnorDanky_	1
64	camando92	1
64	Teebone15	1
64	Kateesaur	1
