rank	username	minecraft:mined/minecraft:dead_fire_coral_wall_fan
1	noam464	52
2	HellsSponge	19
3	beeperbeeper5	12
4	eitanzaki	9
5	SkateboardR6	6
5	PortlyPete69	6
7	thewindmillman	5
8	FreddyFart	3
8	Soplight	3
8	fffMike	3
8	EcksD	3
12	pintsizedrogue	1
12	ImpavidArcher	1
12	TheSecondLord	1
12	Jackattack53	1
12	domagawha	1
12	Bumpy419	1
12	Rebytre	1
12	RobotMinion101	1
12	NameGenerat0r	1
12	Dusk_95	1
12	Mythic1130	1
