rank	username	minecraft:mined/minecraft:end_stone_brick_wall
1	12Magner05	1183
2	thewindmillman	122
3	PigDab	76
4	m_be9	73
5	Maenara	65
6	AuroraValkyrie	28
7	mwrty	25
8	OG_Songsee	20
9	Deathkob	18
10	himak1	15
11	lordpipe	14
12	Ezekson	10
13	TheShyPig	9
14	bigstankyy	8
14	Mahoose	8
14	SwooshBoi	8
17	joethahobo	6
17	beeperbeeper5	6
17	mihimihimihi	6
20	YungMaki	4
20	Smoke____	4
22	500am	3
22	Di_infiri	3
22	FreakGenius	3
25	Blu3beast	2
25	PlasticOtari	2
27	ImpavidArcher	1
27	Fullut	1
27	claivin	1
27	extralargenose	1
27	HesDemonPants	1
