rank	username	minecraft:mined/minecraft:light_blue_shulker_box
1	Hyp3rion_	2274
2	pintsizedrogue	1345
3	stahouo	1028
4	noam464	885
5	YungMaki	838
6	beeperbeeper5	511
7	Ezekson	501
8	Blaiku	487
9	12Magner05	416
10	RadarHz	362
11	Enderslayerxz3	314
12	HellsSponge	280
13	Groundler	266
14	Xalithia	264
15	jnp_gaming	253
16	MightyWertu	239
17	r123moore	236
18	Eraxa	226
19	Sral7	219
20	NameGenerat0r	218
21	Smoke____	206
22	Deathkob	190
23	Megarboh	176
24	Chromary	174
25	500am	173
26	Fullut	172
27	FishyBoy3811	166
28	TheSecondLord	164
29	thewindmillman	155
30	Akoot_	151
30	Xclax101	151
32	mwrty	150
33	rarrq	132
34	SingedBread	129
34	KG1999	129
36	MOSS000	126
37	TheSeismicDuck	125
38	sp00ky_ghost977	123
39	djancak	121
40	Spacewardharpy7	119
41	Drlzyy	118
42	RebelAndroid	115
42	Myszoaz	115
44	Mahoose	114
44	fluddd	114
44	lordpipe	114
47	Bumpy419	109
48	Snowflowe	108
49	xxPipperDipperxx	105
50	lillips	101
51	censorsheep	100
52	oxfordschool	98
53	eitanzaki	96
54	kekhon	94
55	TheTrueClipse	93
56	TheShyPig	92
57	m_be9	89
57	_TCARREIRA_	89
59	Hisiste	83
60	lcvezra	81
61	Zythose	79
62	Miko_Fullbuster	78
63	pixelviolin	75
64	shyshyannne	74
65	Di_infiri	71
66	chipklip	70
67	KartivGal	69
68	SpaceGrenadier	67
68	titanlax	67
68	jushykins	67
71	Optiprimus	65
72	emrekn	60
72	Spenduh	60
74	masskedman	55
74	PlasticOtari	55
76	6king6colt6	52
77	diamondgolem35	51
78	_Virify_	50
78	burbankbuilder28	50
80	Steelynan	49
81	ImpavidArcher	47
82	PhantomsGhost_	45
83	jcool7	43
84	PortlyPete69	42
85	Arceus1975	41
86	audiocracked	40
87	EcksD	38
88	Jiminie	37
88	Karbl	37
88	Dreamdbr14	37
91	WyngGoy	36
92	Awyrlas	35
92	fffMike	35
94	CoffeeNoir	34
95	Marbz_	33
96	Kouridragon	31
97	Werbe	29
97	Maenara	29
99	ProfessorBee	27
100	ssleepless	26
100	cedric72	26
100	SexcMf	26
103	Inchef	25
103	little_dUki	25
105	eviltunix	24
105	stellarjay	24
107	_Bguette_	22
108	__tomato	20
109	MinttyFressh	19
109	Hiryu27	19
111	joethahobo	17
111	Th6masss	17
113	AuroraValkyrie	15
113	Yatitay	15
113	oreee	15
113	Soplight	15
113	alderban107	15
113	BreadBacon	15
119	RoskobiOne	14
119	Sky_light_KING	14
121	MattieHD	13
121	CyrusIsTired	13
121	PigDab	13
121	TheEnderman548	13
125	CollinMH06	12
125	Jackattack53	12
125	Skylord_Luke	12
128	Bandito_Roamer	11
128	set67	11
128	NotKaden_	11
128	Quincannon	11
128	Razzgriz	11
133	Testificate_517	10
134	SuperPooch06	9
134	King_Pancake1	9
134	_Karmaa	9
134	Blu3beast	9
138	Groovy_MoonBird	8
138	nataliecool	8
138	egglapras	8
138	Afinnity	8
138	Frozil12	8
138	Kowcio_	8
138	diggydog67	8
145	H72l9w	7
145	Blackberry1310	7
145	KGTV	7
145	Dan_Scha	7
145	QueenShuvi	7
145	07shiny	7
145	BungalowBeet	7
152	bigstankyy	6
152	TAKrules	6
152	peach0s	6
152	LitoDelvito	6
152	Zaridey	6
152	EveryonesUncle	6
152	Shogunite	6
152	Dogcorn69420	6
160	Merv__	5
160	awesomeoneme	5
160	Ecplosive	5
160	wezzzi	5
164	MixerDixer	4
164	dabloons	4
164	teslawolf38	4
164	thescout7	4
164	Rumpletaezer	4
164	HolyVenom	4
164	Deodorante	4
164	LexMakesHistory	4
164	Freak_Genius	4
164	FelixPSY375	4
174	_NieToksikpl_	3
174	ExtraDumb	3
174	Octatrack	3
174	TheDiamondCG	3
174	Nicserso	3
174	kinas45y5	3
174	EcksDofficial	3
181	Houstonion	2
181	MSK__	2
181	Historical_Sand	2
181	Jaseisverycool	2
181	SlayerCrypto	2
181	Hoid_the_Roamer	2
181	Lord_Jord	2
181	MovingFish7	2
181	monky_irl	2
181	OG_Songsee	2
181	sadvavilloso	2
181	Jij0	2
181	TechnoNinja64	2
181	Dank_Substance	2
195	AgressiveEggdog	1
195	KarlKaek	1
195	Wolf_Mauler_73	1
195	Incinere	1
195	jimintyy	1
195	Euclidoris	1
195	Malorn_Aetherius	1
195	SoftSix	1
195	eclipseboi	1
195	Kkanot	1
195	zylanzagreat	1
195	moderncraft	1
195	drompje	1
195	BronkerBrum	1
195	k1ngGilgamesh	1
195	fred870d	1
195	Loraxonlyfans	1
195	OtariCharlie	1
195	Gab4101	1
195	CrumplyBanjo_	1
195	NomadicRobin_	1
195	MakeHistory157	1
195	Professor_x8	1
195	obzii	1
195	Sheldor097	1
195	Winston_Ingram	1
195	_3Stump_	1
195	stephunade	1
195	Zoeyfortnite	1
195	camando92	1
195	h2p_emrld	1
