rank	username	minecraft:mined/minecraft:warped_button
1	PigDab	647
2	thewindmillman	114
3	Mattesco	44
4	mihimihimihi	32
5	12Magner05	25
6	noam464	16
7	oscminus	13
8	beeperbeeper5	12
9	Jackattack53	10
10	teslawolf38	8
11	Apollo_993	6
11	eitanzaki	6
13	joethahobo	5
13	TheSecondLord	5
13	Dakar_	5
13	Legendosh	5
17	_witch_craft_	4
17	HolyVenom	4
17	Fuad_R	4
17	Spacewardharpy7	4
21	StarCookiees_	3
21	doublemaki	3
23	pintsizedrogue	2
23	Awyrlas	2
23	wx4z	2
23	Soplight	2
23	Eczbek	2
23	LuvLuvLove	2
29	Lez_	1
29	Blackberry1310	1
29	bl1ss0	1
29	Akoot_	1
29	Lutres_	1
29	Manaateee	1
29	lordpipe	1
29	_Mythic____	1
29	djancak	1
29	Ezekson	1
29	Enderxz3	1
