rank	username	minecraft:mined/minecraft:smooth_basalt
1	pintsizedrogue	17240
2	Kowcio_	6865
3	Hyp3rion_	6627
4	500am	4054
5	corvidpartyfor6	3170
6	thewindmillman	2899
7	noam464	2777
8	Enderxz3	2455
9	EMC_	2182
10	lordpipe	1801
11	SingedBread	1707
12	Legendosh	1183
13	Mahoose	1118
14	diamondgolem35	1043
15	mihimihimihi	1033
16	RebelAndroid	1022
17	PlasticOtari	1019
18	hanaryheatwave	978
19	Mr_Byzantine	972
20	Hermanni__	863
21	Flores991	848
22	Smoke____	768
23	TheSecondLord	732
24	Steelynan	715
25	Deathkob	690
26	YungMaki	626
27	Crowman1	584
28	RealGroot	575
29	CattSoup	550
30	gcaisawesome	534
31	beeperbeeper5	511
32	Snowflowe	508
33	luseis	479
34	Marbz_	452
35	Iamthejo	416
36	Spacewardharpy7	394
37	non089	367
38	Yahir091	344
39	shineh10	334
40	rarrq	320
40	shadowthemonkey	320
42	12Magner05	312
43	RoofTyler	307
44	Jimi7hits	292
44	SpacesickPrism	292
46	Smashic	261
47	Apollo_993	251
48	MilleGrug	212
49	k_ce	203
50	MinttyFressh	198
51	ZoomieZoomie	193
52	RatatJuice	190
53	AlexxO_o	175
54	PigDab	170
55	Huwulling	162
56	Xalithia	151
57	ShedJr_	150
58	EngagedGrub41	149
59	starbits140	136
60	dartwaffle	134
61	00000000-0000-0000-0009-01ff0c3e5e4f	127
62	jessewegottacook	117
63	_Boipl_	110
64	eitanzaki	106
65	Lez_	105
66	ImpavidArcher	99
67	ITDV	98
68	nattybears	92
69	smogfrog	90
70	Frozil20	87
71	RoskobiOne	85
72	GlitchyPlate810	81
73	Fuad_R	77
73	StinkyDiplomat	77
75	ItsDeltaMC	75
76	SyntheticSurgeon	74
77	Killercatty78	72
77	Kubelz	72
79	Kkanot	70
79	prizm_	70
81	Myszoaz	68
81	Lutres_Torane	68
83	Inchef	67
84	Wowful	65
85	xvphmura	64
85	Moofyman	64
87	_Karmaa	63
88	Soplight	59
89	MrKrabOnCoke	58
89	Njensen7	58
91	wwwwinnebagoooo	57
92	MyNameIsDakar	54
92	EcksD	54
94	Rebytre	53
95	fade_emerge78823	51
96	MAns_44	48
97	SvenskaHugo	47
98	SmashingPump	45
99	gusstationwerker	42
100	SpaggeDR	40
101	iSammael	36
102	groofles	33
103	TheOuterCore	32
104	Dan_Scha	29
104	Sheldor097	29
106	Silvo614	28
106	IdeallyGrey	28
106	tsitrawhy	28
109	TheDankPlatypus	26
110	GoofySilly	25
111	Masssonnn	24
111	Jackattack53	24
111	The_Fulgurator	24
114	PazinGaming	23
114	Lord_Zacler	23
116	Alteriity	22
117	TerraVl	21
118	q_wq	20
118	Touched_Bread	20
118	Elastiq	20
118	AuroraSkies	20
118	pixelviolin	20
123	Kakolbus	19
124	Da_Boss_Rani	17
124	Jonafrog99	17
126	MuffinManzz	16
126	ZA07	16
126	shrimp_flips	16
126	THEKINGLyric10	16
126	RadarHz	16
131	Jeteight	15
131	binman420	15
131	lillips	15
131	LeEricc	15
131	2bolx_	15
131	WYFYoyo	15
137	QuiCreans	14
138	Sleepy_Time_	13
138	Winklepicker279	13
140	NATE_the_HALO	12
140	Skippeh	12
140	Weepingbiel	12
143	ccwildfire1	11
143	SuperPooch06	11
143	masskedman	11
146	_stets	10
146	Valoth	10
146	KGTV	10
146	NameGenerat0r	10
146	LazySupport00	10
151	Khelvoryk	9
151	JitteryJared2	9
151	Sharkbyte0	9
151	fw3xywashere	9
151	mobunni	9
156	Ryker	8
156	CharlieButt	8
156	zToasty69z	8
156	yulgur1	8
156	Human_Resource	8
156	athereall	8
156	00000000-0000-0000-0009-01fbab7ea71d	8
163	NieToksikpl	7
163	ApophisNova	7
163	Jonte0599	7
163	MyNamaSheff	7
163	coobert42	7
168	Creativebuilder2	6
168	smarticuno	6
168	DarkS0L	6
168	fluddd	6
168	Jimb0nat0r	6
173	hm947	5
173	Prismyst	5
173	xPixelRainx	5
176	catandmoose	4
176	BINKENSTOCK	4
176	lizardfightclub	4
176	NomadicRobin_	4
176	Mythic1130	4
176	SkinnyBois	4
182	H0UNDFRMH3LL	3
182	tuckerdoodle	3
182	ZaneABrain	3
182	TAKrules	3
182	Chickenchaser2	3
182	lorpus	3
182	Mookle96	3
182	corpsecity	3
182	Solar_Power	3
182	Btabtab	3
182	Leonidas2k17	3
182	UCP_TheKingK	3
182	00000000-0000-0000-0009-01f073f37a91	3
195	FazeObama69	2
195	_Huge_Male_	2
195	NotRemets	2
195	Pineapplesugr	2
195	breadbowlgamer	2
195	Di_infiri	2
195	Billious	2
195	Mattesco	2
195	bearlystraight	2
195	SammiWolfGirl	2
195	Heisenbberrg	2
195	PortlyPete69	2
195	sylvstarr	2
195	Eczbek	2
195	Rexorout	2
210	CloroxBleach385	1
210	KarlKaek	1
210	LeDuctTape	1
210	CoffeeNoir	1
210	Auseawesome	1
210	Secret_Canary	1
210	SteveCraftBlocks	1
210	CyrusIsTired	1
210	mrnosetackle	1
210	ZeroAbyssTTV	1
210	CollinMH06	1
210	Itz_DuongVN	1
210	Rocco_Lane	1
210	Ghemmah	1
210	H_O_M_H	1
210	WeebleSock	1
210	Nycteus_	1
210	radimju	1
210	Toriankel	1
210	NiveauSubmarine	1
210	Umbreon900	1
