rank	username	minecraft:mined/minecraft:pink_concrete_powder
1	mwrty	256
2	Crowman1	158
3	RoboTramp7865	123
4	pintsizedrogue	80
5	AdmiralSmoke	69
6	EveryonesUncle	23
7	xzvu	22
7	Steelynan	22
9	LordSpeed37	21
10	Deguns123	16
11	lordpipe	15
12	Enderxz3	11
13	Tobinator_007	10
14	ConnorDanky_	6
14	Legendosh	6
16	remmisrat	5
17	beeperbeeper5	4
18	ROY4LE	3
18	IamCL4SSY	3
18	Tyrannosplart	3
18	Cyntrical	3
18	MakeHistory157	3
23	Fullut	2
23	Manaateee	2
23	obzii	2
23	jnp_gaming	2
27	noam464	1
27	hanaryheatwave	1
27	Truckoss	1
27	LexMakesHistory	1
27	Lunkuku	1
27	Spacewardharpy7	1
27	SvenskaHugo	1
27	Jimb0nat0r	1
