rank	username	minecraft:mined/minecraft:glass_pane
1	TheShyPig	2648
2	joethahobo	2425
3	Freak_Genius	2404
4	Ezekson	1343
5	m_be9	1223
6	EveryonesUncle	1079
7	Mahoose	1044
8	Smoke____	999
9	Onennon	998
10	Racengan	853
11	Xclax101	750
12	ImpavidArcher	686
13	El_Jalapeno	626
14	PlasticOtari	524
15	MightyWertu	503
16	Steelynan	467
17	KarlKaek	450
18	thewindmillman	393
19	Merv__	388
20	eiC_	384
21	_Karmaa	374
22	SkateboardR6	333
23	Enderslayerxz3	318
24	Prodiginus	308
25	pintsizedrogue	306
26	fffMike	297
27	thescout7	285
28	Legendosh	275
29	Awyrlas	269
30	Jiminie	262
31	eitanzaki	233
32	Soplight	228
33	titanlax	225
34	fluddd	220
35	loveseeker	217
36	bruh072	215
36	Sral7	215
38	xxPipperDipperxx	214
39	Airem_Core	209
40	beeperbeeper5	206
41	PhantomsGhost_	202
42	Dusk_95	200
42	TechnoNinja64	200
44	ThePoliteG	195
45	lcvezra	193
46	Di_infiri	191
47	Meatlaugh	190
48	MilleGrug	179
49	killmeiamtraitor	165
50	Eraxa	163
51	6king6colt6	162
52	diggydog67	157
53	Quotary	151
54	littlesophiagirl	150
54	Inbefour	150
54	iHuntWeeaboos	150
57	IAmTheWalrus910	146
58	Mr_Byzantine	145
59	himak1	144
60	shrimp_flips	140
61	Jovaphobic	138
62	Groovy_MoonBird	136
63	Ssor69	134
63	gabriels543	134
63	SuperPooch06	134
66	Rasmanden	131
66	DarkS0L	131
66	Luigipunch989	131
69	kekhon	129
70	_naturell	127
70	__tomato	127
72	sp00ky_ghost977	126
73	PigDab	118
74	RobotMinion101	115
74	HellsSponge	115
76	tsitrawhy	114
77	Bumpy419	111
78	dudcreeper	110
78	Blackberry1310	110
80	Snowflowe	108
80	EcksDofficial	108
82	SingedBread	107
83	TheDankPlatypus	106
83	Kubeusz2010	106
85	Jackster03	105
86	set67	103
87	Comma__	95
87	KingMatthew506	95
89	Werbe	94
90	MattieHD	93
90	Rebytre	93
92	Lez_	89
92	noam464	89
94	Jimi7hits	85
95	Euclidoris	84
96	hcb238	83
97	youhjjhhhjj	81
97	Arceus1975	81
99	EMC_	80
100	squigglybones	79
101	ApophisNova	77
101	MyNamaSheff	77
103	JMK208	75
103	ayamefag	75
105	Blamphe	74
106	Kateesaur	73
107	Dedalus36	71
107	LeauVox4921	71
109	OnlyOfficial	70
110	rarrq	68
110	500am	68
110	madderfall	68
110	Kferno	68
114	bigstankyy	67
114	Kowcio_	67
116	Spenduh	64
117	mobunni	63
117	anbbang	63
119	Under1	62
119	RodSerlingCringe	62
119	TheSeismicDuck	62
122	MyNameIsJobo	61
122	selectrix	61
124	Winklepicker279	60
124	Spacewardharpy7	60
126	2blox	59
127	TooManyDuck	58
127	_Dean_123	58
127	Optiprimus	58
127	EcksD	58
131	MAns_44	57
132	SaucyDark	55
132	MinttyFressh	55
132	Akoot_	55
132	fw3xywashere	55
132	KnightmareD	55
137	ShedJr_	54
137	Jackattack53	54
137	ADEXTV	54
137	audiocracked	54
137	censorsheep	54
137	cichy096	54
143	Soffbord	53
143	Hermanni__	53
145	r123moore	52
145	Rumpletaezer	52
145	yaboo88	52
148	Prismyst	51
148	corvidpartyfor6	51
150	__Fanda__	50
151	_stets	49
151	lizardfightclub	49
151	The_slideV3	49
151	claivin	49
151	Skippeh	49
156	elicobnoah	48
157	morgangauk	47
158	cedric72	46
159	CoffeeNoir	45
159	burbankbuilder28	45
161	Alteriity	44
161	Inchef	44
163	soundad	43
163	Deathkob	43
163	BreadBacon	43
163	RoboTramp7865	43
167	Hpdinosaur	40
167	2Stout	40
169	Natty	38
169	dendydoom	38
169	IsabellasOF	38
169	Warlord324	38
169	pixelviolin	38
174	slkiey	37
174	Leyna3	37
176	Menthas	36
176	YahooScreen9000	36
178	elleparo	35
178	toj__	35
178	Doom_melon	35
181	fkGrim	34
181	oxfordschool	34
183	Whiterooster001	33
183	fade_emerge78823	33
183	Matek_	33
183	Skylord_Luke	33
183	dartwaffle	33
183	Frozil12	33
183	Cocoamallows	33
183	561cool	33
191	MSK__	32
191	egglapras	32
193	Historical_Sand	31
193	GingerNeutron	31
193	Barlycorn	31
193	BlankityMcBlank	31
193	Segotep999	31
193	laron58	31
199	FishyBoy3811	30
199	Lord_Zacler	30
199	DrGrant	30
199	Soap_Bender	30
199	Blaiku	30
204	emrekn	29
204	swag_bro2004	29
204	djancak	29
204	vandmanden	29
208	cowgirlkasia	28
208	TheThomas69	28
208	_Boipl_	28
211	diamondgolem35	27
211	Dr0xzy	27
213	AuroraValkyrie	26
213	UncleDanDan	26
213	pumpfonzo	26
213	Karetoko	26
213	Groundler	26
213	stellarjay	26
213	Njensen7	26
213	jnp_gaming	26
221	Dragonfest	25
221	XboxPanda	25
221	DermeinUser	25
221	epiksk8erduck	25
221	HolyVenom	25
226	Astronicky	24
226	Louiis123	24
226	TheTrueClipse	24
229	lOlmantschi	23
229	DanielMmm	23
229	MyNameIsDakar	23
232	potato292	22
232	Hiryu27	22
232	CaptainDeadBread	22
232	Lord_Jord	22
232	gaming4Naming	22
237	Ailmast	21
237	Vizzoid	21
237	Touched_Bread	21
237	CharlieButt	21
237	ImDisconnected_	21
237	chipklip	21
243	gcaisawesome	20
243	Toriankel	20
245	bloodbiter	19
245	Cortexia	19
245	binman420	19
245	MakeHistory157	19
249	Myszoaz	18
249	Kryktal	18
249	wirelesstree	18
249	majlin16	18
249	Hisiste	18
249	ediballbearings	18
249	Nicserso	18
249	FelixPSY375	18
257	BlancoFlaco	17
257	livingdaydreams	17
257	Fullut	17
257	Bazongoman	17
257	DaviusMaximoose	17
257	AnnieBathory	17
257	lillips	17
257	al626win52	17
265	_Razar	16
265	lotarp	16
265	TheSecondLord	16
265	jacxhadow	16
265	brycepants	16
265	ogoa	16
265	privatemeekly	16
265	Crumbls	16
265	sleepdrifter_	16
265	UCP_TheKingK	16
265	Faart	16
276	Stiar	15
276	YungMaki	15
278	BoraMC	14
278	fr0stss	14
278	beeleg	14
278	AJplaysMC_	14
278	Hyp3rion_	14
278	ProfessorDiaper	14
278	AcidicHD	14
278	blimpeey	14
278	Coach_Barkley	14
278	00000000-0000-0000-0009-01ff0c3e5e4f	14
288	Stynxy	13
288	Gingayy	13
288	regulator75	13
288	Juh1s	13
292	pr33tu	12
292	Setoply	12
292	Kakolbus	12
292	TheWildMateo	12
292	MonitorLizards	12
292	Dan_Scha	12
292	Vorlice	12
292	ReyTheLegend	12
292	Western_1	12
