rank	username	minecraft:mined/minecraft:warped_stem
1	12Magner05	13840
2	Crowman1	3675
3	Blackberry1310	3129
4	Snowflowe	2917
5	beeperbeeper5	2627
6	BlancoFlaco	2380
7	MilleGrug	2328
8	Historical_Sand	2238
9	NomadicRobin_	1936
10	Enderxz3	1827
11	Tersea_	1793
12	Spacewardharpy7	1669
13	RebelAndroid	1664
14	TheEnderMan548	1575
15	SpacesickPrism	1543
16	joethahobo	1369
17	shrimp_flips	1219
18	pintsizedrogue	1154
19	doublemaki	1042
20	Yamdalorian	1035
21	EveryonesUncle	1007
22	mwrty	986
23	Ezekson	890
24	Kowcio_	878
25	rarrq	874
26	kekhon	806
27	Akoot_	761
28	TheDankPlatypus	758
29	Alteriity	749
30	Kakolbus	728
31	Xalithia	682
32	Lutres_	675
33	Fullut	605
34	r123moore	601
35	soundad	552
36	milltesco	512
37	djancak	503
38	Cowison	502
39	eitanzaki	491
40	Rebytre	463
41	Arceus1975	438
42	RoskobiOne	431
43	Nicserso	427
44	ConnorDanky_	403
45	500am	397
46	Galactic_Badger	391
47	Steelynan	375
48	mihimihimihi	362
49	Mattesco	356
50	noam464	353
51	pumpfonzo	348
52	luseis	347
53	SuperPooch06	337
54	00000000-0000-0000-0009-01ff0c3e5e4f	333
55	Mr_Byzantine	312
56	hermmm_	310
57	teslawolf38	309
58	FreakGenius	303
59	_Dean_123	291
60	Decaying_Lotus	273
61	Dakar_	245
62	thewindmillman	239
63	Biites	236
64	Ryker	233
65	Apollo_993	230
66	Moofyman	227
67	TheSecondLord	219
68	Winklepicker279	213
69	Luigipunch989	211
70	_witch_craft_	200
71	CliffEmAll	197
72	lpinfinity	193
73	PlasticOtari	190
74	HellsSponge	188
75	IgnoredBee	179
76	BobDeBouwer1337	176
77	Awyrlas	166
78	Vetomo8000	161
79	Elastiq	155
80	King_Pancake1	153
81	diamondgolem35	150
82	CoffeeNoir	148
83	Mahoose	139
84	DarlaMeow	132
85	lorpus	121
86	SammiWolfGirl	120
87	Hoid_the_Roamer	118
88	ShedJr_	111
88	EngagedGrub41	111
90	himak1	106
91	Niklas20114552	96
91	livingdaydreams	96
93	Lez_	95
94	Hpdinosaur	92
95	HolyVenom	91
96	lizardfightclub	90
97	Kubelz	88
97	TheShyPig	88
99	PigDab	87
100	T045RTY	86
101	MattieHD	85
101	TheALV	85
103	Lord_Jord	81
103	Soplight	81
105	Hisiste	79
106	Skippeh	78
107	Legendosh	77
108	Blaiku	70
109	set67	68
110	Winston_Ingram	66
111	monky_irl	65
111	Optiprimus	65
113	TheWildMateo	63
114	ZoharGoldMine	62
115	PhantomsGhost_	61
115	Marbz_	61
115	robonya_	61
118	AlexxO_o	59
119	Pumpkin_P_Patch	58
120	PegLegPete93	56
121	RatatJuice	55
121	breadbowlgamer	55
123	Di_infiri	52
123	CalebDHawk	52
123	ZeroKraken	52
126	MightyWertu	51
127	Kubeusz2010	50
127	00000000-0000-0000-0009-01fe065167f0	50
129	Shogunite	41
130	SpartanNamor	40
130	gcaisawesome	40
130	CarltheCuck	40
130	brofrickcheaters	40
134	hm947	38
135	skroobiez	37
135	HUNTERmaun	37
137	MrExplorer	36
137	philandr	36
137	IdeallyGrey	36
140	excelsionprime	35
140	shadowthemonkey	35
142	I_Am_Mushkin	32
142	Zythose	32
144	PortlyPete69	31
145	diggydog67	30
146	Manaateee	29
146	non089	29
148	Groovy_MoonBird	27
149	Swexti	26
149	XboxPanda	26
149	weabis	26
149	EcksD	26
153	StarPlanetMoon	25
153	FishyBoy3811	25
155	LexMakesHistory	24
155	pixelviolin	24
157	LazySupport00	23
157	extralargenose	23
157	iSammael	23
157	StarCookiees_	23
157	Jimb0nat0r	23
162	AuroraSkies	22
163	sp00ky_ghost977	20
164	titanlax	19
165	Merv__	18
165	Jackattack53	18
165	MAns_44	18
168	groofles	17
169	Olib3ar	16
170	orxngejuice	15
170	BasedEphex	15
170	ooga47	15
173	Toriankel	14
173	Cache3	14
175	Hyp3rion_	13
175	Druid95	13
177	DinoDoctor_	12
177	Tiberonus	12
177	Vorlice	12
180	KartivGal	11
180	Deathkob	11
180	Quotary	11
183	Incinere	10
183	Huwulling	10
183	Chromary	10
183	Fuad_R	10
183	Segotep999	10
183	FishisTTV	10
189	oscminus	9
189	Quinasin	9
191	whoaluv	8
191	WET_WET_WET	8
191	07shiny	8
194	F_Uhre	7
194	little_dUki	7
196	EMC_	6
196	ActualPatbaf	6
196	MSK__	6
196	Miroryk	6
196	theonlymagikarp	6
196	trixterrx	6
196	AstreaTSS	6
203	Sleepy_Evelyn	5
203	Secret_Canary	5
203	Avocadogerms	5
203	Thunder_bird4337	5
207	Napoleonpancake	4
207	benediktine1	4
207	Dynamic_wolf_1	4
207	_flud	4
207	SingedBread	4
207	taengoos	4
213	mymayowasgone	3
213	nattybears	3
213	teqilas	3
213	M_Patata	3
213	bl1ss0	3
213	Jonafrog99	3
213	2extreeme	3
213	Mr_Froxy	3
213	MasterNueve	3
213	ItsDeltaMC	3
213	RadarHz	3
224	_Huge_Male_	2
224	ECstardust	2
224	KarlKaek	2
224	_Razaria	2
224	Rani_R	2
224	TowenPL	2
224	Smashic	2
224	burbankbuilder28	2
224	U_Mos_	2
224	podduszenie	2
224	NATE_the_HALO	2
235	Sleepy_Time_	1
235	Mookle96	1
235	xxPipperDipperxx	1
235	JitteryJared2	1
235	EdGalbraith	1
235	emreknugrlu	1
235	Myntsys	1
235	Eraxa	1
235	Pundehoo	1
235	obzii	1
235	calamariclam_I	1
235	trexgb	1
