rank	username	minecraft:mined/minecraft:dark_oak_stairs
1	burbankbuilder28	5555
2	rarrq	3326
3	500am	3210
4	TheShyPig	2553
5	xolstoi	1452
6	m_be9	1335
7	pintsizedrogue	1302
8	tsitrawhy	1300
9	Eraxa	1162
10	Onennon	1151
11	kekhon	1131
12	CalebDHawk	1054
13	MyNameIsJobo	1045
14	Merv__	1038
15	Ezekson	1032
16	EveryonesUncle	928
17	beeperbeeper5	792
18	luseis	789
19	PortlyPete69	767
20	FreakGenius	681
21	RatatJuice	638
22	El_Jalapeno	634
23	Druid95	624
24	Winklepicker279	617
25	pixelviolin	610
26	Skippeh	597
27	KarlKaek	576
28	RoskobiOne	561
29	TheSecondLord	558
30	Euclidoris	551
30	Manaateee	551
32	ImpavidArcher	495
33	PlasticOtari	471
34	Blackberry1310	409
35	Kakolbus	408
36	Stiar	407
37	Meatlaugh	406
38	Legendosh	388
39	EMC_	379
40	Frozil20	352
41	fkGrim	351
42	Inbefour	350
43	NieToksikpl	346
44	Russiancat1	324
45	joethahobo	318
46	Steelynan	314
47	k_ce	306
48	thescout7	284
49	Enderxz3	278
50	WYFYoyo	275
51	Jakobo1337	271
51	LeauVox4921	271
53	CharlieButt	270
54	gcaisawesome	246
55	lcvezra	242
56	Tiberonus	241
56	Barlycorn	241
58	TheDankPlatypus	240
59	Historical_Sand	239
60	Mahoose	238
60	AnnieBathory	238
62	Chromary	236
62	Zythose	236
64	Bumpy419	231
65	Lord_Jord	230
66	Mattesco	228
67	jacxhadow	215
68	Dakar_	213
69	Kkanot	207
70	Inchef	203
70	Di_infiri	203
72	oscminus	202
72	NomadicRobin_	202
72	claivin	202
75	xxPipperDipperxx	201
76	dopplexd	197
76	AngalexikCZ	197
76	Hermanni__	197
79	Natty	195
80	tobinwilliams	194
81	Ssor69	189
81	ConnorDanky_	189
83	EcksD	186
84	Smashic	184
84	IamCL4SSY	184
84	xzvu	184
87	sp00ky_ghost977	183
88	CattSoup	182
89	SvenskaHugo	175
89	Kowcio_	175
91	Lez_	174
91	Blu3beast	174
91	Soplight	174
94	Alphanzt99	170
95	diamondgolem35	168
96	dudcreeper	167
97	Rebytre	165
98	MineMaster0012	164
98	SpacesickPrism	164
100	Spacewardharpy7	163
101	Fullut	161
102	Ryan_GEMS	160
103	prizm_	157
104	fluddd	152
105	Sral7	146
106	M_Patata	145
107	selectrix	142
108	_Razaria	137
109	CheifJumbo	135
110	Deathkob	134
111	TechnoNinja64	133
112	DinoDoctor_	131
113	Groovy_MoonBird	129
114	Snowflowe	126
115	SammiWolfGirl	125
115	AdmiralSmoke	125
117	Leyna3	124
118	_Karmaa	123
118	lordpipe	123
120	Elastiq	121
121	NoxxxxiS	119
121	LexMakesHistory	119
123	_i_ERROR_i_	116
124	Krowuss	115
125	thebaddruid	114
126	Nycteus_	113
127	SaucyDark	112
128	Eczbek	109
129	NameGenerat0r	106
129	jnp_gaming	106
131	_Dean_123	105
131	MasterNueve	105
131	Segotep999	105
131	ZoomieZoomie	105
135	Bandito_Roamer	104
135	ThePoliteG	104
137	Kijiki	101
137	__tomato	101
139	6king6colt6	100
139	MakeHistory157	100
141	Dragonfest	98
142	groofles	97
143	Napoleonpancake	96
144	Huwulling	95
145	BlankityMcBlank	93
146	YungMaki	92
147	Prismyst	91
147	Notta	91
149	Alteriity	89
150	SellyZ	88
150	Deguns123	88
152	titanlax	87
152	paranoid_plant	87
152	XxCookiequeenxX	87
152	anbbang	87
156	Ze_BaronKrigler	86
157	yulgur1	85
158	emrekn	84
158	SuperPooch06	84
158	Skylord_Luke	84
158	RobotMinion101	84
162	r123moore	83
163	Mr_Byzantine	82
163	Cowison	82
163	bearlystraight	82
166	Rumpletaezer	80
166	Sorry_Arey	80
166	ChocolatePepsi	80
166	lillips	80
170	youhjjhhhjj	78
170	ROY4LE	78
172	07shiny	74
173	MattieHD	73
173	Lutres_	73
173	Xclax101	73
176	EtherealEspresso	72
177	Megarboh	71
178	Motsaro	70
178	Shogunite	70
180	MinttyFressh	67
180	ApophisNova	67
180	MyNamaSheff	67
183	ratglock	66
183	thgrocks	66
185	Awyrlas	62
185	Zetsey	62
187	DC_XII	61
187	CornOnTheCobalt	61
187	Dreamdbr14	61
190	Smiguli_	59
190	LordSpeed37	59
192	eitanzaki	58
192	CliffEmAll	58
192	UCP_TheKingK	58
195	Werbe	57
195	1442	57
197	olliebollie48	56
197	ARandomHedge	56
199	KingMatthew506	55
200	PazinGaming	52
200	SmashingPump	52
200	RebelAndroid	52
203	Nicky_H225	51
204	_Huge_Male_	50
204	JETrotter	50
204	The_Cruncy	50
207	Incinere	49
207	Nach0Bear	49
207	Biites	49
210	Zlatovlas	47
210	CoffeeNoir	47
210	parodypatient	47
213	Felenov	46
214	seramalen	45
214	Optiprimus	45
216	livingdaydreams	44
216	DarkS0L	44
218	LeeMcGee30	42
219	KowcioJr	41
219	Y_A_N_N_I	41
219	Akoot_	41
222	orxngejuice	40
222	dartwaffle	40
224	KlausVonStiglitz	38
224	StinkyDiplomat	38
226	ProfessorBee	37
226	AlexxO_o	37
228	ECstardust	36
228	Cortexia	36
228	Gamergirl420628	36
228	TheOnlyRake	36
232	Myszoaz	34
232	MonitorLizards	34
232	JayToe	34
235	MuffinManzz	33
236	Sleepy_Time_	32
236	catandmoose	32
238	teslawolf38	31
238	lorpus	31
238	Aneurysmas	31
238	Kynigito	31
238	Skomo	31
238	wezzzi	31
238	Nicserso	31
245	elleparo	30
245	eviltunix	30
245	thewindmillman	30
245	JoCoLi	30
249	ADEXTV	29
249	Fuad_R	29
249	laron58	29
252	hm947	28
252	Cryptacity	28
252	yheece	28
252	h2p_emrld	28
256	ImDisconnected_	27
256	LeonelSalamanca	27
256	TheEnderMan548	27
256	fffMike	27
260	LittleBug562	26
260	Sleek_Storm_721	26
260	BlancoFlaco	26
260	Karetoko	26
260	CrateOfBoxes	26
260	Jij0	26
260	ItsJunoIGuess	26
260	HesDemonPants	26
268	Jovaphobic	25
268	RadarHz	25
270	XboxPanda	24
270	HellsSponge	24
270	Jimb0nat0r	24
273	Crowman1	23
273	pappaberg	23
273	The_Fulgurator	23
273	audiocracked	23
273	Racengan	23
278	12Magner05	22
278	2blox_	22
280	MrExplorer	21
280	_HoneySlime_	21
