rank	username	minecraft:mined/minecraft:fern
277	jnp_gaming	14
287	hollowww	13
287	Sna_Ke	13
287	Sleepy_Time_	13
287	m_be9	13
287	Jackattack53	13
287	SuperPooch06	13
287	Future_Slaps	13
287	Xclax101	13
287	Spacewardharpy7	13
287	AirWalker33	13
297	Harotio	12
297	123louis456	12
297	Kuragari_	12
297	Michaelelelelele	12
