rank	username	minecraft:mined/minecraft:iron_block
1	noam464	14586
2	Hyp3rion_	12990
3	mwrty	10291
4	lordpipe	9906
5	eitanzaki	9160
6	HellsSponge	9026
7	joethahobo	8971
8	Di_infiri	8178
9	Jackattack53	8112
10	Spacewardharpy7	7891
11	EveryonesUncle	7468
12	YungMaki	7445
13	Blaiku	7330
14	EcksD	7281
15	beeperbeeper5	6460
16	PigDab	6338
17	AdmiralSmoke	6273
18	Werbe	4520
19	FreakGenius	4467
20	Spenduh	4233
21	Snowflowe	4018
22	ApophisNova	3838
22	MyNamaSheff	3838
24	Mahoose	3819
25	thescout7	3719
26	MilleGrug	3710
27	CoffeeNoir	3688
28	TheSecondLord	3680
29	Ezekson	3607
30	gcaisawesome	3602
31	pintsizedrogue	3332
32	12Magner05	3216
33	Kakolbus	3045
34	Inchef	2935
35	Sral7	2682
36	Jovaphobic	2653
37	fffMike	2539
38	NameGenerat0r	2405
39	Segotep999	2353
40	Iamthejo	2310
41	Frozil20	2273
42	Wowful	2217
43	teslawolf38	2214
44	Blackberry1310	2209
45	Jimb0nat0r	2088
46	Nicserso	2086
47	xzvu	2073
48	Marbz_	2039
49	Enderxz3	2030
50	Hermanni__	2003
51	Tyrannosplart	1947
52	set67	1940
53	MyNameIsJobo	1908
54	SpacesickPrism	1838
55	Winklepicker279	1808
56	Skylord_Luke	1788
57	MightyWertu	1777
58	F_Uhre	1751
59	PortlyPete69	1716
60	m_be9	1700
61	Mattesco	1669
62	_Mythic____	1659
63	Skippeh	1656
64	Swexti	1652
65	EMC_	1621
66	xolstoi	1601
67	jcool7	1471
68	q_wq	1468
69	Zoeyfortnite	1454
70	Merv__	1372
71	mariominejedi	1366
72	fluddd	1351
73	rarrq	1349
74	Krowuss	1343
75	Hoid_the_Roamer	1339
76	PlasticOtari	1332
77	bigstankyy	1330
78	Legendosh	1316
79	TheDankPlatypus	1315
80	Blu3beast	1313
81	Cowison	1296
82	PazinGaming	1287
