rank	username	minecraft:mined/minecraft:waxed_copper_grate
1	thewindmillman	466
2	Buuck_	111
3	Mr_Byzantine	64
4	Spaghettatron	62
5	net_flex	35
5	Secret_Canary	35
7	MyMawgDonaldsGon	33
8	Eczbek	30
9	oscminus	23
10	TheKingK_	21
11	Pumpkin_P_Patch	19
12	k_ce	8
13	CLG_Kata	5
14	nev_s	4
15	pixelviolin	1
