rank	username	minecraft:mined/minecraft:brown_concrete
1	TheSecondLord	4296
2	joethahobo	2107
3	Yamdalorian	836
4	YungMaki	709
5	Kowcio_	689
6	Manaateee	530
7	PazinGaming	406
8	Fullut	405
9	diamondgolem35	398
10	ConnorDanky_	392
11	burbankbuilder28	383
12	500am	347
13	LexMakesHistory	274
14	xxPipperDipperxx	259
15	EveryonesUncle	205
16	noodlepack	194
17	beeperbeeper5	158
18	ItsGrayWolf	152
19	groofles	149
20	Sheldor097	135
21	ShedJr_	134
22	Snowflowe	128
22	lordpipe	128
24	heckface	118
25	Mahoose	98
26	noam464	64
27	Blackberry1310	57
28	luseis	52
29	HellsSponge	47
30	Lez_	36
31	Kim_Jong_eel	32
32	Jackattack53	28
32	Mattesco	28
34	fluddd	27
35	lorywithay	23
35	ApophisNova	23
35	MyNamaSheff	23
38	Merv__	20
39	thewindmillman	16
40	Deathkob	13
41	pretty_pink_reno	10
42	Jimb0nat0r	8
42	skitzxo	8
44	bpmm	7
45	LeEricc	4
46	goldyx	3
46	SkateboardR6	3
46	starbits140	3
46	PlasticOtari	3
50	Tommhh	2
50	QuiCreans	2
50	crashomon	2
50	Blaiku	2
50	pixelviolin	2
50	Zoeyfortnite	2
56	Hyp3rion_	1
56	MousePlays	1
56	EdGalbraith	1
56	Spacewardharpy7	1
56	SammiWolfGirl	1
56	EcksD	1
56	smogfrog	1
