rank	username	minecraft:mined/minecraft:flowering_azalea
1	pintsizedrogue	427
2	Smoke____	212
3	NomadicRobin_	167
4	PlasticOtari	160
5	Inchef	124
6	Miko_Fullbuster	122
7	00000000-0000-0000-0009-01ff0c3e5e4f	105
8	TheSecondLord	97
9	Mahoose	80
10	Jimi7hits	73
11	AuroraSkies	71
12	Jiminie	68
13	Flores991	54
14	Steelynan	48
15	Blackberry1310	47
15	SvenskaHugo	47
17	thewindmillman	44
18	PigDab	42
18	Enderslayerxz3	42
20	Ryker	37
21	WYFYoyo	33
22	CoffeeNoir	28
23	Jeteight	27
24	12Magner05	25
24	xxPipperDipperxx	25
26	EveryonesUncle	24
27	Legendosh	23
28	_Boipl_	21
28	pixelviolin	21
30	Marbz_	20
30	Spacewardharpy7	20
32	lordpipe	19
33	eitanzaki	17
33	MAns_44	17
35	MSK__	16
35	Sleepy_Time_	16
35	beeperbeeper5	16
35	Quotary	16
39	tsitrawhy	14
40	Segotep999	12
41	EMC_	11
41	ApophisNova	11
41	EtherealEspresso	11
41	MyNamaSheff	11
45	orxngejuice	10
45	Kowcio_	10
47	_stets	9
47	MineMaster0012	9
49	Jackattack53	8
49	AlexxO_o	8
49	Deathkob	8
52	Tommhh	7
52	noam464	7
52	TheDankPlatypus	7
52	Rebytre	7
56	Gamergirl420628	6
56	Kakolbus	6
56	YungMaki	6
59	Drlzyy	5
59	_Razar	5
59	SteveCraftBlocks	5
59	500am	5
59	Touched_Bread	5
59	SlayerCrypto	5
59	ToastedGamingYT	5
59	Sheldor097	5
59	Hylo482y	5
68	soundad	4
68	diamondgolem35	4
68	rachcl	4
68	ImpavidArcher	4
68	Prismyst	4
68	BINKENSTOCK	4
68	SuperPooch06	4
68	dartwaffle	4
68	Lutres_Torane	4
68	AltnumberF4	4
78	MinttyFressh	3
78	fade_emerge78823	3
78	himak1	3
78	gcaisawesome	3
78	RustyBr0	3
78	Nycteus_	3
78	Yahir091	3
78	TheEnderman548	3
78	Spenduh	3
78	SammiWolfGirl	3
88	RoskobiOne	2
88	JingleLizi	2
88	Arceus1975	2
88	lizardfightclub	2
88	NameGenerat0r	2
88	iHuntWeeaboos	2
88	CheifJumbo	2
88	Kekoo	2
88	MilleGrug	2
88	2blox	2
98	teslawolf38	1
98	q_wq	1
98	hm947	1
98	ShedJr_	1
98	joethahobo	1
98	Deragon126	1
98	Kkanot	1
98	2Stout	1
98	Winklepicker279	1
98	XLIFluid	1
98	JitteryJared2	1
98	Rocco_Lane	1
98	floodjon	1
98	Mattesco	1
98	TJawesome09	1
98	shrimp_flips	1
98	DubDoesGams	1
98	Toriankel	1
98	Vicemaniac	1
98	Soplight	1
98	_Dri_	1
98	00000000-0000-0000-0009-01f7d5721bcd	1
