rank	username	minecraft:mined/minecraft:target
1	noam464	153
2	Eczbek	43
3	MangoTheFish	37
4	Fuad_R	31
5	thewindmillman	25
6	Awyrlas	23
7	Deathkob	21
7	Smoke____	21
9	12Magner05	16
10	PlasticOtari	15
11	Inchef	13
12	Spacewardharpy7	12
12	mihimihimihi	12
14	Eraxa	11
15	Blackberry1310	10
15	M_Patata	10
15	MasterNueve	10
18	beeperbeeper5	9
18	Arceus1975	9
18	Winston_Ingram	9
21	Historical_Sand	8
22	kekhon	7
22	Hyp3rion_	7
22	fluddd	7
22	sp00ky_ghost977	7
22	YungMaki	7
27	Fullut	6
27	EngagedGrub41	6
29	teslawolf38	5
29	ImpavidArcher	5
31	eitanzaki	4
31	T045RTY	4
31	Mahoose	4
31	RoofTyler	4
31	censorsheep	4
31	Mythic1130	4
31	SvenskaHugo	4
31	tartanboy	4
39	tuckerdoodle	3
39	SteveCraftBlocks	3
39	mwrty	3
39	r123moore	3
39	shadowthemonkey	3
39	lordpipe	3
39	gusstationwerker	3
46	_Huge_Male_	2
46	RebelAndroid	2
46	500am	2
46	pumpfonzo	2
46	Di_infiri	2
46	PigDab	2
46	Elastiq	2
46	FreakGenius	2
46	Hisiste	2
46	EcksD	2
46	Enderxz3	2
46	HesDemonPants	2
58	pintsizedrogue	1
58	Jindong	1
58	DinoDoctor_	1
58	CoffeeNoir	1
58	Da_Boss_Rani	1
58	Jackattack53	1
58	binman420	1
58	EveryonesUncle	1
58	Nycteus_	1
58	pixelviolin	1
58	Jimb0nat0r	1
