rank	username	minecraft:mined/minecraft:dirt_path
1	rarrq	4108
2	Jiminie	3325
3	beeperbeeper5	3209
4	El_Jalapeno	2312
5	Smoke____	1648
6	Merv__	1390
7	Freak_Genius	1255
8	EMC_	1192
9	titanlax	1059
10	NomadicRobin_	1031
11	_Dean_123	998
12	pintsizedrogue	869
13	lordpipe	839
14	Racengan	804
15	Mahoose	800
16	Blackberry1310	762
17	EveryonesUncle	728
18	Frozil12	596
19	Di_infiri	583
20	ApophisNova	575
20	MyNamaSheff	575
22	jnp_gaming	566
23	xxPipperDipperxx	555
24	Dan_Scha	500
25	joethahobo	496
26	little_dUki	471
27	AuroraSkies	420
28	Wooptey	402
29	YungMaki	399
30	Mr_Byzantine	396
31	kekhon	381
32	Tommhh	366
33	noam464	319
34	SuperPooch06	313
35	Ezekson	303
36	EcksDofficial	292
37	KarlKaek	288
38	CoffeeNoir	286
39	Skylord_Luke	280
39	PlasticOtari	280
41	ImpavidArcher	261
42	SammiWolfGirl	255
43	ShedJr_	250
43	Skippeh	250
45	Enderslayerxz3	249
46	Winston_Ingram	232
47	Werbe	230
48	Arceus1975	222
49	Steelynan	221
50	Quincannon	217
51	Fullut	208
52	Rebytre	204
53	Legendosh	197
54	Spacewardharpy7	192
55	Soplight	189
56	pixelviolin	174
57	Meatlaugh	168
58	BlancoFlaco	164
59	Hyp3rion_	157
60	500am	150
61	Jimi7hits	147
62	RodSerlingCringe	146
62	Kowcio_	146
64	Chromary	144
65	TheSecondLord	138
66	PigDab	135
67	obzii	130
68	wwwwinnebagoooo	125
69	TheALV	124
70	Jackattack53	121
70	Maenara	121
70	_Bguette_	121
73	Shogunite	111
74	Historical_Sand	110
74	fffMike	110
76	RoskobiOne	107
76	bloodbiter	107
78	UCP_TheKingK	106
79	MissCeleste7	103
80	cichy096	102
81	fluddd	100
82	Inchef	92
83	Xalithia	90
84	Incinere	87
85	dimondking777	84
86	claivin	81
87	RebelAndroid	76
87	12Magner05	76
87	Spenduh	76
90	gcaisawesome	73
91	Cryptacity	72
91	Kakolbus	72
91	Winklepicker279	72
91	Eraxa	72
95	SquadMonster	71
96	MyNameIsDakar	70
97	RedcatVII	69
98	djancak	68
99	soundad	66
99	Yatitay	66
99	diamondgolem35	66
102	jcool7	64
103	Nycteus_	62
104	Groovy_MoonBird	61
104	Akoot_	61
106	Begformurrcy	60
107	Segotep999	58
108	eitanzaki	57
108	breadbowlgamer	57
110	TheThomas69	55
111	T045RTY	53
112	MilleGrug	51
113	Blaiku	50
114	JEWISHBadenBeele	48
114	himak1	48
116	WYFYoyo	47
117	BronkerBrum	46
118	DermeinUser	44
119	Deathkob	43
120	Malorn_Aetherius	42
120	DarkS0L	42
120	EcksD	42
123	thewindmillman	39
123	Cpietr0	39
125	Blu3beast	38
125	YoshikageBites	38
127	MSK__	37
127	Ze_BaronKrigler	37
129	LitoDelvito	34
129	the__Reaper4999	34
131	WET_WET_WET	31
131	XxCookiequeenxX	31
131	Kubeusz2010	31
134	_Boipl_	30
134	oxfordschool	30
136	Lord_Zacler	29
136	DolphinLaugh	29
138	ROY4LE	27
138	benediktine1	27
138	CalebDHawk	27
141	6king6colt6	26
141	2Stout	26
143	Awyrlas	24
143	KG1999	24
143	Miko_Fullbuster	24
146	_Razar	23
146	MinttyFressh	23
148	UncreativeArtist	22
148	XboxPanda	22
148	Hisiste	22
148	CheifJumbo	22
148	TheEnderman548	22
148	Aryamanee	22
154	hcb238	21
154	Gryglu583	21
154	Hermanni__	21
154	smogfrog	21
158	ChampPog_	20
158	r123moore	20
158	Lutres_Torane	20
158	_Karmaa	20
162	_Nuf	19
162	mwrty	19
162	TheDankPlatypus	19
162	lillips	19
162	FishisTTV	19
167	Menthas	18
168	RadarHz	17
168	h2p_emrld	17
170	set67	16
170	2blox	16
172	teslawolf38	15
173	nataliecool	14
173	lwyl	14
173	Whiterooster001	14
173	4383	14
173	CharlieButt	14
173	NameGenerat0r	14
173	kyouma777	14
173	BreadBacon	14
173	kinas45y5	14
182	_NieToksikpl_	13
182	fred870d	13
184	Ryker	12
184	Smashic	12
186	rachcl	11
186	gustarbite	11
186	KlausVonStiglitz	11
186	MinuteMira	11
190	seramalen	10
191	IcyUzi	9
191	Z3braYTIL	9
191	Lord_Jord	9
191	Steven1282598	9
191	__tomato	9
196	IronArshXS	8
196	JingleLizi	8
196	FirsTimeGamingTV	8
196	Megarboh	8
196	CollinMH06	8
196	Wowful	8
196	GlitchyPlate810	8
196	FelixPSY375	8
204	H72l9w	7
204	egglapras	7
204	Marbz_	7
