rank	username	minecraft:mined/minecraft:daylight_detector
1	Awyrlas	98
2	EveryonesUncle	74
3	Jackattack53	63
4	PlasticOtari	52
5	Arceus1975	33
6	Smoke____	27
7	HellsSponge	26
8	rarrq	23
8	thescout7	23
8	noam464	23
11	Quotary	20
12	Freak_Genius	18
13	ROY4LE	14
14	beeperbeeper5	13
15	MightyWertu	11
16	Historical_Sand	8
16	500am	8
18	TheSecondLord	6
18	Hyp3rion_	6
18	Akoot_	6
21	mwrty	5
21	Di_infiri	5
21	chipklip	5
24	Snowflowe	4
24	AlphaWolfPlaysMC	4
24	Soplight	4
27	T045RTY	3
27	awesomeoneme	3
27	ProfessorBee	3
27	thewindmillman	3
27	valkam13	3
27	claivin	3
27	KG1999	3
27	kyouma777	3
27	fffMike	3
27	mawileite	3
27	Njensen7	3
27	EngagedGrub41	3
39	Louiis123	2
39	eitanzaki	2
39	lotarp	2
39	kekhon	2
39	_Nuf	2
39	TheSeismicDuck	2
39	WyngGoy	2
39	Eraxa	2
47	JEWISHBadenBeele	1
47	TooManyDuck	1
47	Comma__	1
47	Inchef	1
47	RefluxRatio	1
47	ApophisNova	1
47	Werbe	1
47	RobotMinion101	1
47	_naturell	1
47	Sky_light_KING	1
47	Lord_Jord	1
47	bruh072	1
47	OG_Songsee	1
47	Cocoamallows	1
47	SvenskaHugo	1
47	YungMaki	1
47	__tomato	1
47	stahouo	1
47	Dogcorn69420	1
47	gaming4Naming	1
47	striker90333	1
47	MyNamaSheff	1
