rank	username	minecraft:mined/minecraft:potted_wither_rose
1	Onennon	33
2	SammiWolfGirl	12
3	ROY4LE	6
4	xxPipperDipperxx	5
4	xolstoi	5
6	claivin	3
7	KarlKaek	2
7	GlitchyPlate810	2
9	Bandito_Roamer	1
9	AuroraValkyrie	1
9	kekhon	1
9	Chromary	1
9	TheShyPig	1
9	Maenara	1
9	RoofTyler	1
9	Dusk_95	1
9	Kowcio_	1
9	Quotary	1
