rank	username	minecraft:mined/minecraft:yellow_concrete_powder
1	mwrty	458
2	Lez_	219
3	Rebytre	207
4	Legendosh	154
5	h2p_emrld	122
6	anbbang	116
7	Steelynan	113
8	Snowflowe	86
9	Winston_Ingram	82
10	PlasticOtari	77
11	ROY4LE	70
12	Fullut	66
13	Akoot_	65
14	Deathkob	56
14	YungMaki	56
16	Soplight	52
17	noam464	41
18	Blaiku	37
19	lillips	36
20	AdmiralSmoke	33
21	The_slideV3	24
22	Optiprimus	23
23	LeauVox4921	22
24	Archsam	20
25	Truckoss	14
25	Weepingbiel	14
25	Enderxz3	14
28	teslawolf38	13
28	Mahoose	13
28	KingMatthew506	13
31	Nicserso	12
32	Ze_BaronKrigler	11
33	Jimb0nat0r	10
34	SmashingPump	8
34	The_SlideV5	8
36	pintsizedrogue	7
36	beeperbeeper5	7
36	Jackattack53	7
36	IAmTheWalrus910	7
40	ExtraDumb	6
40	Mattesco	6
40	Spenduh	6
40	jnp_gaming	6
44	_Huge_Male_	5
44	HellsSponge	5
44	LordSpeed37	5
44	stellarjay	5
48	Merv__	4
48	ImpavidArcher	4
48	sp00ky_ghost977	4
48	alderban107	4
52	Notta	3
52	Hiryu27	3
52	TheWildMateo	3
52	Kim_Jong_eel	3
52	UCP_TheKingK	3
57	RoskobiOne	2
57	Frozil20	2
57	Swexti	2
57	StanceTB	2
57	kekhon	2
57	MattieHD	2
57	xxPipperDipperxx	2
57	Onennon	2
57	Gryglu583	2
57	luseis	2
57	SvenskaHugo	2
57	Kowcio_	2
69	dabloons	1
69	eitanzaki	1
69	livingdaydreams	1
69	rarrq	1
69	Upstro10	1
69	TheSecondLord	1
69	oscminus	1
69	MousePlays	1
69	IamCL4SSY	1
69	claivin	1
69	weabis	1
69	__tomato	1
69	Sheldor097	1
69	ConnorDanky_	1
