rank	username	minecraft:mined/minecraft:spruce_stairs
1	EveryonesUncle	4080
2	rarrq	3692
3	skitzxo	3196
4	pintsizedrogue	2347
5	Lez_	2338
6	EMC_	2313
7	Ezekson	1828
8	Mattesco	1766
9	TheShyPig	1643
10	m_be9	1580
11	Onennon	1534
12	burbankbuilder28	1519
13	Snowflowe	1515
14	Skylord_Luke	1414
15	Di_infiri	1296
16	Kowcio_	1255
17	xxPipperDipperxx	1203
18	TheSecondLord	1136
19	Mahoose	1131
20	kekhon	1070
21	Meatlaugh	1050
22	500am	1046
23	_Karmaa	999
24	Eraxa	981
25	KarlKaek	967
26	Winklepicker279	939
27	Kakolbus	930
28	Legendosh	928
29	Steelynan	826
30	luseis	810
31	Mr_Byzantine	782
32	PlasticOtari	779
33	DC_XII	777
34	ApophisNova	775
35	SpacesickPrism	768
36	MyNamaSheff	765
37	FreakGenius	749
38	_Dean_123	728
39	PazinGaming	722
40	thescout7	717
41	beeperbeeper5	699
42	Historical_Sand	696
43	Dakar_	682
44	Rumpletaezer	675
45	Inchef	660
46	miramyu	658
47	RatatJuice	655
48	Manaateee	642
49	Barlycorn	601
50	_Huge_Male_	598
51	SaucyDark	556
52	Saucepeh	547
53	Racengan	533
54	Groundler	529
55	YungMaki	523
56	Fullut	514
57	El_Jalapeno	500
58	Deathkob	498
58	HellsSponge	498
60	Blackberry1310	494
61	Enderxz3	488
62	diamondgolem35	472
63	Chromary	454
64	MyNameIsJobo	445
65	Merv__	416
66	Huwulling	414
67	Tommhh	412
68	Inbefour	410
69	ImpavidArcher	407
70	Zythose	388
71	Pumpkin_P_Patch	381
72	Frozil20	379
73	ECstardust	376
73	Druid95	376
75	Arceus1975	373
76	BlueZabu	370
77	Natty	364
78	Bumpy419	361
78	Jimb0nat0r	361
80	Yamdalorian	358
81	xorompole	351
82	SvenskaHugo	342
83	joethahobo	337
84	Flex_Tape_Phil	332
85	NieToksikpl	323
86	Secret_Canary	320
86	Burge_r	320
88	Touched_Bread	315
88	TheKingK_	315
90	Tiberonus	313
91	AuroraSkies	311
91	ConnorDanky_	311
93	fkGrim	309
93	Soplight	309
95	set67	287
96	BreadBacon	286
97	Kkanot	285
98	F_Uhre	275
98	Ze_BaronKrigler	275
100	heysushii	273
101	SmashingPump	263
