rank	username	minecraft:mined/minecraft:smooth_quartz_stairs
1	wwwwinnebagoooo	1242
2	lordpipe	1133
3	Freak_Genius	744
4	noam464	726
5	Ezekson	618
6	Di_infiri	538
7	Mahoose	502
8	himak1	471
9	Hyp3rion_	454
10	kekhon	381
11	pintsizedrogue	378
12	ImpavidArcher	354
13	EveryonesUncle	331
14	Frozil20	314
15	beeperbeeper5	312
16	eitanzaki	304
17	YungMaki	303
18	EcksDofficial	230
19	AltnumberF4	208
20	Snowflowe	201
21	Sral7	200
22	lillips	178
23	_Karmaa	167
24	2Stout	136
25	Blaiku	129
26	jnp_gaming	109
27	NameGenerat0r	106
28	The_slideV3	102
28	Spacewardharpy7	102
30	Eczbek	88
31	Deerfoot	87
32	Merv__	74
33	TheSecondLord	64
33	Marbz_	64
35	Chromary	63
36	fffMike	55
37	stavgod	49
38	Prismyst	47
38	joethahobo	47
40	MakeHistory157	46
41	ooga47	45
42	Arceus1975	40
43	PlasticOtari	39
44	thescout7	38
45	Jackattack53	37
45	Blu3beast	37
47	Soplight	36
48	LexMakesHistory	35
49	Lord_Jord	30
50	Akoot_	29
51	NotMeanttoChange	27
51	EcksD	27
53	ApophisNova	26
53	MyNamaSheff	26
55	Spenduh	24
56	FishyBoy3811	23
57	m_be9	22
58	EMC_	21
59	Fuad_R	19
60	egglapras	18
60	Eraxa	18
62	_Dean_123	16
62	KG1999	16
64	Mattesco	14
64	RodSerlingCringe	14
64	fluddd	14
64	oxfordschool	14
68	ColeSnyder	13
68	paranoid_plant	13
68	cedric72	13
68	Kubeusz2010	13
72	SingedBread	12
73	Incinere	11
73	Smashic	11
73	NomadicRobin_	11
76	mobunni	10
77	oreee	9
78	Lutres_Torane	7
79	_Huge_Male_	6
79	thewindmillman	6
79	HellsSponge	6
82	rarrq	5
82	pr33tu	5
82	jcool7	5
85	hm947	4
86	Historical_Sand	3
86	Blackberry1310	3
86	M_Patata	3
86	Rocco_Lane	3
86	Truckoss	3
86	PigDab	3
86	MasterNueve	3
86	sadvavilloso	3
86	Steelynan	3
86	TechnoNinja64	3
96	Zythose	2
96	Sky_light_KING	2
96	Jiminie	2
96	chipklip	2
96	MAns_44	2
96	Nagasaki_Riku	2
102	PhantomsGhost_	1
102	Lez_	1
102	eclipseboi	1
102	SteveCraftBlocks	1
102	ROY4LE	1
102	loveseeker	1
102	Luminad3	1
102	fw3xywashere	1
102	binman420	1
102	_Bguette_	1
102	Xclax101	1
102	__Auspicious	1
102	TheTommyGun63	1
102	Optiprimus	1
102	stahouo	1
102	The_SlideV5	1
102	Smoke____	1
