rank	username	minecraft:mined/minecraft:sculk
1	TheBananaKat	50361
2	alanbleachdemon	43069
3	PaperCanvas	14730
4	Enderxz3	7708
5	TheSecondLord	6720
6	luseis	4840
7	hanaryheatwave	4838
8	NATE_the_HALO	4089
9	k_ce	3784
10	thewindmillman	3444
11	500am	3209
12	pintsizedrogue	2875
13	philandr	2276
14	EMC_	2061
15	Apollo_993	1946
16	Jekyll	1915
17	Kowcio_	1704
18	Mr_Byzantine	1638
19	Yamdalorian	1500
20	SvenskaHugo	1481
21	Hyp3rion_	1398
22	non089	1376
23	mymayowasgone	1323
24	Tersea_	1292
25	Secret_Canary	1232
26	Pumpkin_P_Patch	1176
27	pixelviolin	1112
28	00000000-0000-0000-0009-01fe065167f0	1048
29	_witch_craft_	890
30	12Magner05	851
31	Manaateee	830
32	DairyNickel756	743
33	gamerlord1324	714
34	11Brewer	684
35	Luminad3	678
36	EcksD	642
37	MrKrabOnCoke	619
38	SyntheticSurgeon	617
39	KeterComet	614
40	powercas_gamer	591
41	corvidpartyfor6	588
42	net_flex	574
43	Segotep999	540
44	Mattesco	534
45	Kakolbus	533
46	Jackattack53	525
47	Archsam	510
48	Krowuss	494
49	ECstardust	482
50	Moham	435
51	Hahaa_0	412
52	Penguinllama517	365
53	Iamthejo	364
54	AlexxO_o	359
55	nattybears	345
56	Soplight	335
57	Heisenbberrg	306
58	excelsionprime	265
59	AppleJacks	247
60	Nicserso	246
61	Avocadogerms	231
62	noam464	214
63	Alteriity	213
64	MustardSquid	194
65	Wowful	192
66	beeperbeeper5	191
67	Lez_	173
68	Snowflowe	170
69	Di_infiri	169
70	Rani_R	159
71	diamondgolem35	124
72	Marbz_	115
73	robonya_	111
74	q_wq	110
75	MAns_44	106
75	wwwwinnebagoooo	106
77	TheDankPlatypus	105
78	Jimb0nat0r	103
79	cuddlyMonster	101
80	Legendosh	97
81	Samificator	88
82	Veillax135	84
83	H0UNDFRMH3LL	82
84	RatatJuice	80
84	EdGalbraith	80
86	MrShojo	79
87	milltesco	74
88	ImpavidArcher	73
89	Mahoose	71
90	Rebytre	69
91	ARandomHedge	61
92	CLG_Kata	54
93	calamariclam_I	53
94	skroobiez	52
94	Raspberry_Sodas	52
94	Nach0Bear	52
94	craaaash	52
98	Sleepy_Time_	46
99	DinoDoctor_	45
99	Smashic	45
99	doublemaki	45
102	PazinGaming	39
103	Mr_Sun15	37
104	Cellcorgi649	36
105	Eczbek	35
106	lorywithay	34
107	SygnalX	33
108	TheWickedBird	32
109	MattieHD	29
109	NLKBuilder	29
111	iSammael	28
112	Dblikstad	27
112	Hetti301	27
112	Roenfire	27
112	Mr_Froxy	27
116	ActualPatbaf	26
117	MSK__	25
118	Fullbit_	24
119	Juansinmiedo18	23
119	00000000-0000-0000-0009-01ff0c3e5e4f	23
121	THEKINGLyric10	22
122	shineh10	21
122	HUNTERmaun	21
124	MuffinManzz	20
124	eitanzaki	20
124	Boipl	20
124	oscminus	20
128	QuiCreans	19
129	Synthoum	18
130	EdaterPure	17
131	akap47	16
131	ScootOfBoot	16
133	Fuad_R	15
134	Killercatty78	14
134	Crizma_	14
134	r123moore	14
137	joethahobo	13
138	Spacewardharpy7	12
138	Trioxide	12
140	Strats__	11
141	robertsnose	10
141	royal_2	10
141	Finside	10
141	Buuck_	10
145	Skylord_Luke	9
145	LuvLuvLove	9
147	_Huge_Male_	8
147	Merv__	8
147	thebaddruid	8
147	BubblyPrototype_	8
147	XxCookiequeenxX	8
147	FiguraDei	8
147	ElectricDragon81	8
154	Shortest_	7
154	StarCookiees_	7
156	rarrq	6
156	Werbe	6
156	lordpipe	6
156	TheKingK_	6
160	j5ylim	5
160	Creativebuilder2	5
160	Kronos42	5
160	Jonafrog99	5
160	StinkyDiplomat	5
165	Niklas20114552	4
165	Lazy_geniusig	4
165	gabukun_	4
165	mikiagent025	4
165	xKool	4
165	Tropiicant	4
165	That_tech_head	4
165	Hisiste	4
173	Lorcout	3
173	6king6colt6	3
173	4774	3
173	mihimihimihi	3
173	ItsDeltaMC	3
178	NotRemets	2
178	Huwulling	2
178	hydrothebot	2
178	ZeroAbyssTTV	2
178	shadowthemonkey	2
178	U_Mos_	2
178	parodypatient	2
178	KamFurnace	2
186	xvphmura	1
186	N00bula	1
186	NieToksikpl	1
186	LovableFemboy	1
186	Sophia_Irene	1
186	yb0e	1
186	aldplaysmc	1
186	weabis	1
186	_Mythic____	1
186	TheALV	1
186	YuenKei	1
