rank	username	minecraft:mined/minecraft:potted_azure_bluet
1	KarlKaek	7
1	TheShyPig	7
3	Isaac70096	6
4	Mahoose	5
4	2_young_2_die	5
4	Chromary	5
4	TruGuire	5
8	Zythose	4
9	kekhon	3
9	500am	3
9	orxngejuice	3
9	lcvezra	3
9	Ezekson	3
9	Nicserso	3
9	PlasticOtari	3
16	pintsizedrogue	2
16	Blackberry1310	2
16	Ardennes	2
16	corvidpartyfor6	2
16	BilboBaggins23	2
16	TableTim	2
16	Jiminie	2
16	HellsSponge	2
16	Dusk_95	2
16	sp00ky_ghost977	2
16	Poppy235	2
16	Njensen7	2
16	adiccting01	2
29	6king6colt6	1
29	SaucyDark	1
29	Natty	1
29	DangusCnt	1
29	elmer1234	1
29	Ssor69	1
29	titanlax	1
29	roxycherry	1
29	Inchef	1
29	2Stout	1
29	r123moore	1
29	Zaridey	1
29	fallingemma	1
29	Marbz_	1
29	Akoot_	1
29	audiocracked	1
29	Blu3beast	1
29	censorsheep	1
29	WyngGoy	1
29	EtherealEspresso	1
29	Soplight	1
29	CalebDHawk	1
29	xorompole	1
29	WinterYoke	1
