rank	username	minecraft:mined/minecraft:gray_terracotta
1	thewindmillman	5403
2	joethahobo	2096
3	titanlax	1025
4	Inbefour	648
5	Rumpletaezer	346
6	YungMaki	331
7	Mahoose	231
8	Di_infiri	133
9	Arceus1975	123
10	ConnorDanky_	73
11	EcksD	59
12	bl1ss0	57
13	beeperbeeper5	42
14	Secret_Canary	41
15	DarlaMeow	36
16	eitanzaki	32
17	Huwulling	29
18	Hyp3rion_	27
18	Kowcio_	27
20	FiguraDei	25
21	Pumpkin_P_Patch	24
21	Sral7	24
23	kekhon	23
24	_Karmaa	19
24	skitzxo	19
26	Werbe	18
27	TheSecondLord	16
28	Mr_Byzantine	15
29	luseis	14
30	Blackberry1310	11
31	Bandito_Roamer	10
32	ImpavidArcher	9
32	MonitorLizards	9
32	NameGenerat0r	9
35	Dan_Scha	8
35	Deathkob	8
37	_Huge_Male_	7
37	NinjaKnifeKill	7
37	Archsam	7
37	crashomon	7
41	ECstardust	6
41	Mattesco	6
41	Jimb0nat0r	6
44	500am	4
44	Syropatathe	4
46	EMC_	3
46	Zaridey	3
46	Chromary	3
46	MilleGrug	3
50	Tommhh	2
50	noam464	2
50	oscminus	2
50	ZoomieZoomie	2
50	PlasticOtari	2
55	PazinGaming	1
55	Frozil20	1
55	Alteriity	1
55	Jackattack53	1
55	fragrantmonke444	1
55	burbankbuilder28	1
55	Hiryu27	1
55	k1ngGilgamesh	1
55	Akoot_	1
55	Manaateee	1
55	Buuck_	1
55	Eraxa	1
55	obzii	1
55	CattSoup	1
