rank	username	minecraft:mined/minecraft:light_gray_glazed_terracotta
1	Bandito_Roamer	230
2	Hiryu27	142
3	Merv__	131
4	Legendosh	70
5	Di_infiri	64
6	Tommhh	61
7	MunkaKris	59
8	Arceus1975	50
9	Ezekson	42
10	lordpipe	30
10	YungMaki	30
12	EcksD	29
13	Reamdin	26
13	Mahoose	26
15	Incinere	25
15	alderban107	25
17	teslawolf38	22
18	StinkyDiplomat	18
19	Hermanni__	15
20	eitanzaki	12
21	TheShyPig	11
21	Smoke____	11
23	PlasticOtari	9
24	beeperbeeper5	8
24	titanlax	8
24	djancak	8
27	ZaneABrain	6
27	LeauVox4921	6
27	audiocracked	6
30	Historical_Sand	4
30	ConnorDanky_	4
32	Frozil20	3
32	Jeteight	3
32	Spacewardharpy7	3
32	Eraxa	3
36	MuffinManzz	2
36	legal_tax_evader	2
36	Skylord_Luke	2
36	IamCL4SSY	2
36	561cool	2
41	rarrq	1
41	12Magner05	1
41	ProfessorBee	1
41	noam464	1
41	WET_WET_WET	1
41	luseis	1
41	WyngGoy	1
