rank	username	minecraft:mined/minecraft:clay
1	Legendosh	12222
2	Di_infiri	9861
3	PlasticOtari	9841
4	thewindmillman	9636
5	Lord_Jord	6781
6	TheShyPig	6184
7	EveryonesUncle	5125
8	500am	4721
9	RodSerlingCringe	4278
10	Sral7	4273
11	SingedBread	3912
12	Rumpletaezer	3104
13	MinttyFressh	2876
14	pintsizedrogue	2675
15	YungMaki	2642
16	Spacewardharpy7	2469
17	Hyp3rion_	2448
18	Akoot_	2434
19	ProfessorBee	2376
20	El_Jalapeno	2322
21	Merv__	2221
22	h2p_emrld	2195
23	joethahobo	2168
24	Enderslayerxz3	2103
25	Miko_Fullbuster	2091
26	Freak_Genius	1920
27	gcaisawesome	1912
28	PhantomsGhost_	1807
29	SSytex_X	1581
30	Deathkob	1555
31	Bandito_Roamer	1551
32	Bumpy419	1510
33	m_be9	1444
34	Arceus1975	1390
35	burbankbuilder28	1364
36	beeleg	1314
36	GlitchyPlate810	1314
38	ImDisconnected_	1236
39	SaucyDark	1224
40	beeperbeeper5	1125
41	HellsSponge	1119
42	12Magner05	1099
43	Xclax101	1098
44	noam464	1077
45	shdesolt	994
46	MilleGrug	988
47	Zythose	978
48	kekhon	967
49	PigDab	938
50	Smoke____	912
51	Deerfoot	876
52	Rebytre	874
53	Luigipunch989	839
54	vandmanden	824
55	Kakolbus	813
56	thescout7	811
57	EcksDofficial	804
58	MakeHistory157	775
59	lcvezra	750
60	fred870d	745
61	Mahoose	720
62	wobn	708
63	Tommhh	676
64	Werbe	670
65	Chromary	665
66	Nicserso	659
67	thgrocks	645
68	Blackberry1310	634
69	DTwenty	599
70	Onennon	589
71	nocturne78	585
72	Syropatathe	583
73	eiC_	554
74	MyNameIsJobo	543
75	Rasmanden	541
76	NameGenerat0r	513
77	livingdaydreams	509
78	Inchef	483
79	SvenskaHugo	480
80	Fuhrer_Teemo	479
81	KarlKaek	473
82	xXTheWolfmanXx	458
83	Tobinator_007	448
84	cowgirlkasia	446
84	Jiminie	446
86	dopplexd	438
87	ApophisNova	433
87	MyNamaSheff	433
89	Inbefour	428
89	_Bguette_	428
91	xxPipperDipperxx	427
91	MyNameIsDakar	427
93	Foof13	414
93	NinjaKnifeKill	414
95	Soplight	411
96	master9067	401
97	Sheldor097	396
98	JohnPrice	392
99	Spaghettatron	389
100	_naturell	379
101	Jackattack53	377
102	fkGrim	375
103	OfficerAnvil	345
104	seanitoo	337
105	_Dean_123	335
106	CalebDHawk	334
106	anbbang	334
108	Ssor69	328
109	07shiny	327
110	CoffeeNoir	326
111	Skylord_Luke	317
112	claivin	315
113	Invisie	314
114	Cowison	313
115	Winklepicker279	311
115	DemTechAlpha	311
115	stahouo	311
118	Malorn_Aetherius	310
118	dedgt	310
120	Blaiku	309
121	sebastiensaborio	307
122	RohnJosin	304
123	Blamphe	297
124	Kowcio_	294
124	Skippeh	294
126	oxfordschool	292
127	RadarHz	287
128	2Stout	283
129	Marbz_	282
129	Barlycorn	282
131	Toriankel	279
132	301851	277
132	TheEnderman548	277
134	KermitTheKripple	271
135	Stynxy	268
136	teslawolf38	261
137	EMC_	256
138	CharlieButt	253
138	the__Reaper4999	253
140	BumbleBeever	251
141	BilboBaggins23	249
141	monolu	249
143	MrExplorer	247
144	Mr_Byzantine	246
145	ShedJr_	245
145	SLASHZEERA	245
147	whoaluv	242
148	Corbsman	238
149	lillips	237
150	ozekigod	233
151	CarryLine	225
152	annoyingenderman	223
153	Groovy_MoonBird	222
153	sp00ky_ghost977	222
153	EcksD	222
153	Lowjinx	222
157	PortlyPete69	220
157	jnp_gaming	220
159	stuy9	216
160	Jiminbub	210
161	Leyna3	205
162	Wowful	199
162	Blu3beast	199
164	SwooshBoi	190
165	TooManyDuck	189
166	jushykins	185
166	xorompole	185
168	Ecplosive	184
168	Optiprimus	184
168	Spenduh	184
171	bloomkieren	174
172	T045RTY	167
173	ExtraDumb	161
174	eviltunix	157
174	regulator75	157
174	mobunni	157
177	ImpavidArcher	156
178	MindyDooWho	155
179	DolphinLaugh	153
179	Jordan_R	153
181	Moetis	152
182	obzii	151
182	Ezekson	151
184	andy_rex	149
185	TheSecondLord	147
186	wezzzi	146
187	UrbanPlanner1978	145
188	Frozil12	143
189	Snowflowe	142
190	peach0s	140
190	Kubeusz2010	140
192	eitanzaki	139
193	BlueZabu	136
193	Yogscast_Manden	136
195	youhjjhhhjj	135
196	SDMNAEK	134
196	ROY4LE	134
198	Njensen7	132
199	Paint	130
200	mwrty	128
200	Xalithia	128
202	r123moore	126
203	NebulousBadger	125
204	Notta	124
204	drompje	124
206	Maenara	123
207	chipklip	121
208	set67	120
209	RebelAndroid	118
209	TakeThis2UrGrave	118
211	hcb238	116
211	DarkS0L	116
213	kyouma777	114
214	fffMike	113
214	laron58	113
216	Meatlaugh	112
217	Comma__	111
217	djancak	111
219	bigstankyy	110
220	Russiancat1	109
221	cedric72	107
221	XxCookiequeenxX	107
223	Mewar	105
224	Euclidoris	104
225	ratglock	102
226	RoskobiOne	100
227	hm947	99
228	Soap_Bender	98
228	lordpipe	98
230	loveseeker	97
230	CruncyIsTaken	97
232	Groundler	91
233	jcool7	90
234	Racengan	88
235	Bloo2406	87
236	Natty	86
236	Kubelz	86
236	cum_chalice	86
239	FGamerJ	84
240	dudcreeper	82
240	__Fanda__	82
240	grislgrobl	82
243	maxdacatv2	81
243	Elprone266	81
245	MonitorLizards	80
245	Rainaldus	80
247	zmpeg	79
248	Ao_Ken	78
248	Quaintster	78
250	MAns_44	77
251	BlancoFlaco	76
251	TAKrules	76
251	TableTim	76
254	Batoser	72
254	WET_WET_WET	72
256	Fullut	71
256	Kim_Jong_eel	71
256	kinas45y5	71
259	SuperPooch06	68
259	AuroraSkies	68
261	Dusk_95	67
261	Eraxa	67
261	SammiWolfGirl	67
264	Hermanni__	66
264	Zoeyfortnite	66
266	SokaOtaku	65
267	AgressiveEggdog	64
267	The11thDoctor	64
269	Khelvoryk	62
270	Guillemet	61
270	mariominejedi	61
272	Sleek_Storm_721	60
273	RatatJuice	59
274	_Karmaa	57
274	babyjimmyneutron	57
274	Deguns123	57
274	adiccting01	57
274	2blox	57
279	Lutres_Torane	56
280	Begformurrcy	55
280	surfinggiraffejp	55
280	NomadicRobin_	55
283	Tolhart	53
283	vampgey	53
283	Deodorante	53
286	TuesdayEpisode	52
286	TheDiamondCG	52
286	TechnoNinja64	52
289	fw3xywashere	51
290	JohnnyFyes	50
290	ewsophie	50
292	Menthas	49
292	StylesK	49
292	Hylo482y	49
295	Myszoaz	48
296	Cortexia	47
296	SHAOBADMAN	47
296	layabout100	47
296	Nekomin0	47
300	TheDankPlatypus	46
