rank	username	minecraft:mined/minecraft:skeleton_skull
1	SingedBread	10
2	kekhon	8
3	TheSecondLord	7
4	gabriels543	4
4	Rebytre	4
4	Onennon	4
4	Blu3beast	4
8	pintsizedrogue	2
8	joethahobo	2
8	beeperbeeper5	2
8	MrExplorer	2
8	Fullut	2
8	Inchef	2
8	thewindmillman	2
8	fluddd	2
8	Spacewardharpy7	2
8	33sudo	2
8	YungMaki	2
8	Ezekson	2
8	Enderslayerxz3	2
8	Legendosh	2
8	HesDemonPants	2
23	PhantomsGhost_	1
23	eitanzaki	1
23	Mahoose	1
23	ShedJr_	1
23	rarrq	1
23	Mercadies	1
23	Blackberry1310	1
23	thescout7	1
23	Avermu	1
23	Jackattack53	1
23	Chromary	1
23	GoigeFZ	1
23	ApophisNova	1
23	chipklip	1
23	Frozil12	1
23	Blaiku	1
23	JoCoLi	1
23	wwwwinnebagoooo	1
23	sp00ky_ghost977	1
23	pixelviolin	1
23	stahouo	1
23	Hermanni__	1
23	MyNamaSheff	1
