rank	username	minecraft:mined/minecraft:red_nether_brick_slab
1	FreakGenius	539
2	Legendosh	493
3	himak1	166
4	ooga47	164
5	lordpipe	90
6	Vorlice	89
7	Eraxa	76
8	thewindmillman	64
9	12Magner05	59
10	ApophisNova	42
10	MyNamaSheff	42
12	kekhon	30
13	m_be9	29
14	Marbz_	28
15	Sral7	22
16	TheShyPig	21
16	lizardfightclub	21
18	master9067	12
19	ProfessorBee	6
20	hm947	4
20	Snowflowe	4
20	WyngGoy	4
23	livingdaydreams	2
23	Blu3beast	2
23	YungMaki	2
26	beeperbeeper5	1
26	ROY4LE	1
26	binman420	1
26	Toriankel	1
26	jcool7	1
