rank	username	minecraft:mined/minecraft:azalea
1	pintsizedrogue	715
2	Smoke____	383
3	PlasticOtari	308
4	NomadicRobin_	282
5	Miko_Fullbuster	231
6	Enderslayerxz3	193
7	Inchef	178
8	Jimi7hits	164
9	Flores991	126
10	Mahoose	103
11	thewindmillman	85
12	Blackberry1310	71
13	PigDab	69
14	SvenskaHugo	68
15	AuroraSkies	61
16	Ryker	55
16	xxPipperDipperxx	55
18	Steelynan	50
19	Jiminie	40
20	TheSecondLord	38
21	orxngejuice	37
22	Quotary	34
23	lordpipe	30
23	Legendosh	30
25	CoffeeNoir	29
25	_Boipl_	29
27	YungMaki	28
28	MSK__	27
29	eitanzaki	26
29	12Magner05	26
29	00000000-0000-0000-0009-01ff0c3e5e4f	26
32	Hyp3rion_	23
33	Jackattack53	22
34	EveryonesUncle	21
35	pixelviolin	20
36	SteveCraftBlocks	19
36	WYFYoyo	19
38	ShedJr_	16
38	SuperPooch06	16
40	Marbz_	15
41	EMC_	14
41	ApophisNova	14
41	MyNamaSheff	14
44	500am	13
44	Segotep999	13
44	EtherealEspresso	13
47	beeperbeeper5	12
47	Kakolbus	12
49	Kowcio_	11
49	MineMaster0012	11
51	hm947	10
51	Spacewardharpy7	10
53	Rebytre	9
53	AlexxO_o	9
53	MAns_44	9
56	himak1	8
56	noam464	8
56	Gamergirl420628	8
56	dartwaffle	8
56	tsitrawhy	8
56	00000000-0000-0000-0009-01f73aa9620f	8
62	RoskobiOne	7
62	Tommhh	7
62	Auseawesome	7
62	2blox	7
66	_stets	6
66	_Razar	6
66	Lutres_Torane	6
69	rachcl	5
69	XxCookiequeenxX	5
69	Kekoo	5
69	Sheldor097	5
73	soundad	4
73	TJawesome09	4
73	TheEnderman548	4
73	Soplight	4
73	00000000-0000-0000-0009-01f898304150	4
78	Groovy_MoonBird	3
78	diamondgolem35	3
78	ImpavidArcher	3
78	BINKENSTOCK	3
78	Arceus1975	3
78	cwartzo	3
78	CheifJumbo	3
78	Spenduh	3
78	MilleGrug	3
87	KarlKaek	2
87	Winklepicker279	2
87	SlayerCrypto	2
87	Skylord_Luke	2
87	MyNameIsDakar	2
87	fluddd	2
87	Toriankel	2
87	fffMike	2
87	coobert42	2
96	Merv__	1
96	Khelvoryk	1
96	PaigeDown	1
96	MinttyFressh	1
96	gcaisawesome	1
96	Rocco_Lane	1
96	The_Fulgurator	1
96	BronkerBrum	1
96	floodjon	1
96	SvenskaAlvar	1
96	lizardfightclub	1
96	fw3xywashere	1
96	Deathkob	1
96	Freak_Genius	1
96	Nycteus_	1
96	Human_Resource	1
96	Vegvisir	1
96	Yahir091	1
96	kyouma777	1
96	UCP_TheKingK	1
96	SammiWolfGirl	1
96	mobunni	1
96	Ezekson	1
