rank	username	minecraft:mined/minecraft:gray_shulker_box
1	TheShyPig	725
2	pintsizedrogue	623
3	Mahoose	494
4	Enderxz3	325
5	gcaisawesome	301
6	PlasticOtari	297
7	Skippeh	289
8	Hyp3rion_	276
9	Lez_	178
10	kekhon	159
11	beeperbeeper5	155
12	Jimi7hits	152
13	rarrq	135
14	500am	119
15	TheSecondLord	115
16	Kowcio_	114
17	claivin	99
18	Jackattack53	88
19	mwrty	87
20	RealGroot	81
21	Inchef	75
21	Smoke____	75
23	HellsSponge	73
23	sp00ky_ghost977	73
25	luseis	72
26	teslawolf38	71
27	Merv__	64
28	ConnorDanky_	63
29	TheSeismicDuck	58
30	Auseawesome	49
30	fade_emerge78823	49
30	ZoomieZoomie	49
33	FirsTimeGamingTV	44
33	Elastiq	44
33	Spacewardharpy7	44
33	JayToe	44
37	mihimihimihi	43
38	ChronoSounds	42
38	YungMaki	42
40	pixelviolin	40
41	ImpavidArcher	39
42	SingedBread	38
43	Iamthejo	37
44	bigstankyy	36
45	Incinere	35
46	Deathkob	34
47	Huwulling	33
48	Soplight	32
48	Eczbek	32
50	Historical_Sand	31
50	Werbe	31
50	Groundler	31
53	Akoot_	30
54	Frozil20	29
54	noam464	29
56	PazinGaming	28
56	vandmanden	28
58	jushykins	25
58	SoftSix	25
60	Rumpletaezer	24
60	Tyrannosplart	24
60	OffWithTheirHead	24
60	lordpipe	24
60	Steelynan	24
65	RoskobiOne	23
65	jimintyy	23
65	NameGenerat0r	23
68	Hpdinosaur	22
68	binman420	22
70	joethahobo	21
71	Skylord_Luke	20
71	cedric72	20
73	jessewegottacook	19
73	titanlax	19
73	Inbefour	19
73	Dogcorn69420	19
73	Ezekson	19
78	_8man	18
78	StinkyDiplomat	18
78	Jimb0nat0r	18
81	RobotMinion101	17
81	EngagedGrub41	17
83	Alteriity	16
83	Awyrlas	16
83	gabriels543	16
83	SpouHn	16
87	Kakolbus	15
87	zToasty69z	15
87	Fuad_R	15
87	MightyWertu	15
91	Smussa	14
91	iSammael	14
93	Marbz_	13
94	H72l9w	12
94	Xalithia	12
94	MangoTheFish	12
94	RoofTyler	12
94	Eraxa	12
99	Stiar	11
99	Blaiku	11
101	TooManyDuck	10
101	Crowman1	10
101	emrekn	10
101	thewindmillman	10
101	duqboy	10
101	Njensen7	10
101	jnp_gaming	10
108	CollinMH06	9
108	King_Pancake1	9
108	Lord_Jord	9
108	FreakGenius	9
108	xolstoi	9
113	Apollo_993	8
113	Truckoss	8
115	Healthing	7
115	pappaberg	7
115	UCP_TheKingK	7
118	Mr_Byzantine	6
118	4774	6
118	lorpus	6
118	DukeBoy1646	6
118	Bumpy419	6
118	_Karmaa	6
124	chipklip	5
124	LazySupport00	5
124	lcvezra	5
124	CattSoup	5
128	EMC_	4
128	Houstonion	4
128	TAKrules	4
128	Da_Boss_Rani	4
128	SteveCraftBlocks	4
128	TheDankPlatypus	4
128	SuperStreetCat	4
128	lillips	4
128	DarlaMeow	4
128	Razzgriz	4
128	_Wannabe_	4
128	anbbang	4
128	Faart	4
141	xfemboyx	3
141	Euclidoris	3
141	Fullut	3
141	Mattesco	3
141	IamCL4SSY	3
141	fw3xywashere	3
141	Powowowow	3
141	FishisTTV	3
149	PhantomsGhost_	2
149	ssleepless	2
149	Ssor69	2
149	surfinggiraffejp	2
149	Rebytre	2
149	F_Uhre	2
149	DanielMmm	2
149	Blu3beast	2
149	sadvavilloso	2
149	SammiWolfGirl	2
159	_Huge_Male_	1
159	Creativebuilder2	1
159	ShedJr_	1
159	MattieHD	1
159	Smashic	1
159	Itz_DuongVN	1
159	Chromary	1
159	WET_WET_WET	1
159	Zythose	1
159	_Boipl_	1
159	tobinwilliams	1
159	EtherealSilveon	1
159	k1ngGilgamesh	1
159	Otarichi	1
159	_Bguette_	1
159	Racengan	1
159	Lord_Doob	1
159	OG_Songsee	1
159	AssFullaCum	1
159	laron58	1
159	EcksD	1
159	Nicserso	1
159	UrbanPlanningEx	1
159	TechnoNinja64	1
