rank	username	minecraft:mined/minecraft:nether_brick_stairs
1	TheShyPig	1216
2	BobDeBouwer1337	762
3	MyNameIsJobo	684
4	m_be9	510
5	Kakolbus	436
6	Lord_Jord	358
7	Frozil20	260
8	burbankbuilder28	235
9	HellsSponge	221
10	YungMaki	176
11	rarrq	165
12	ooga47	155
13	Vorlice	119
14	Eraxa	109
15	TheBiggestFeller	98
16	Zythose	93
17	SaintJosie	92
18	vandmanden	87
19	Soplight	83
20	PlasticOtari	82
21	stellarjay	74
22	ROY4LE	68
23	eitanzaki	67
24	livingdaydreams	61
25	Spacewardharpy7	60
26	Mr_Byzantine	56
27	Jindong	52
28	Mahoose	51
28	xxPipperDipperxx	51
30	Bandito_Roamer	49
30	Decaying_Lotus	49
32	Cowison	47
32	ciemacigans	47
34	Esme_1	44
35	AlphaWolfPlaysMC	43
36	Biites	41
37	kekhon	40
37	Kamflame10	40
39	beeperbeeper5	39
39	Ssor69	39
39	Skippeh	39
42	Merv__	38
42	lcvezra	38
44	Groovy_MoonBird	37
44	Elastiq	37
46	teslawolf38	32
46	Lez_	32
46	DermeinUser	32
49	Smoke____	29
50	Bumpy419	28
51	Di_infiri	27
52	Sral7	26
53	anbbang	24
54	Racengan	23
55	Kowcio_	22
55	CACTUSLAD	22
57	500am	21
58	Hyp3rion_	20
58	Dusk_95	20
60	El_Jalapeno	19
60	starbits140	19
62	legal_tax_evader	18
63	SmashingPump	17
64	yulgur1	16
64	EveryonesUncle	16
66	mwrty	15
66	Rebytre	15
66	Corbsman	15
66	OfficerAnvil	15
70	Prismyst	14
70	Moofyman	14
72	TheSecondLord	13
72	Nargotah	13
74	_Nuf	12
74	Jimb0nat0r	12
76	ShedJr_	11
76	lorpus	11
78	2Stout	10
78	Zaridey	10
78	Chromary	10
78	Deathkob	10
78	Blu3beast	10
78	Legendosh	10
78	2bolx_	10
85	Barlycorn	9
86	thewindmillman	8
86	Billious	8
86	Maenara	8
86	RoofTyler	8
86	Xclax101	8
91	Jackster03	7
91	joethahobo	7
91	XeroByMyth	7
91	luseis	7
91	The_slideV3	7
96	chipklip	6
96	Historical_Sand	6
96	_Dean_123	6
96	Freeman666	6
96	Onennon	6
96	PigDab	6
102	RobotMinion101	5
102	Enderxz3	5
104	ABUSNA1996	4
104	corvidpartyfor6	4
104	set67	4
104	surfinggiraffejp	4
104	Nicky19	4
104	FreakGenius	4
104	SingedBread	4
104	LazySupport00	4
104	monky_irl	4
104	kyouma777	4
104	pixelviolin	4
104	Steelynan	4
104	Powowowow	4
104	00000000-0000-0000-0009-01ff0c3e5e4f	4
118	PazinGaming	3
118	6king6colt6	3
118	bloodbiter	3
118	crying_wolf_13	3
118	thescout7	3
118	Mewar	3
118	noam464	3
118	XboxPanda	3
118	AnnieBathory	3
118	Skomo	3
118	Rasmanden	3
118	Meepcraft	3
118	Lifedy	3
118	brofrickcheaters	3
118	bitsplease	3
118	TechnoNinja64	3
134	Jovaphobic	2
134	PhantomsGhost_	2
134	dudcreeper	2
134	SlowMoNinja1994	2
134	Wolf_Mauler_73	2
134	Incinere	2
134	ITDV	2
134	ThePoliteG	2
134	Fullut	2
134	asspharte	2
134	RefluxRatio	2
134	Werbe	2
134	Inbefour	2
134	fkGrim	2
134	lordpipe	2
134	RealGroot	2
134	Njensen7	2
134	mobunni	2
134	AltnumberF4	2
134	diggydog67	2
154	pintsizedrogue	1
154	RoskobiOne	1
154	I_Am_Mushkin	1
154	bigstankyy	1
154	Sabby65	1
154	TAKrules	1
154	gaziter10	1
154	Swexti	1
154	Nostrom	1
154	Secret_Canary	1
154	boog4loo	1
154	MindyDooWho	1
154	4774	1
154	Awyrlas	1
154	PegLegPete93	1
154	r123moore	1
154	whoaluv	1
154	Hiryu27	1
154	F_Uhre	1
154	thgrocks	1
154	ebanana	1
154	Quincannon	1
154	Nycteus_	1
154	GoofySilly	1
154	wwwwinnebagoooo	1
154	33sudo	1
154	SSytex_X	1
154	GlitchyPlate810	1
154	jcool7	1
154	Aryamanee	1
154	EcksD	1
