rank	username	minecraft:mined/minecraft:deepslate_brick_slab
1	pintsizedrogue	1176
2	Kowcio_	611
3	Crowman1	259
4	SquadMonster	225
5	Pineapplesugr	211
6	Elastiq	161
7	Nicserso	122
8	Masssonnn	113
9	Spacewardharpy7	110
10	ImpavidArcher	109
11	CattSoup	79
12	ZoomieZoomie	76
13	beeperbeeper5	73
13	mihimihimihi	73
15	Marbz_	70
16	Mahoose	63
17	luseis	60
18	thewindmillman	45
19	Ezekson	39
20	k_ce	36
21	PazinGaming	35
22	Wowful	34
23	nattybears	30
23	Lez_	30
25	Winklepicker279	28
26	Tiktola01	24
27	Huwulling	23
28	Ryker	21
28	drunkeeez	21
28	weabis	21
31	12Magner05	20
32	Megarboh	19
33	MineMaster0012	17
34	Touched_Bread	16
34	LeEricc	16
36	sp00ky_ghost977	15
37	SvenskaHugo	14
38	Skylord_Luke	12
39	Manaateee	11
40	Ev0luti0nz	6
40	TheWildMateo	6
40	Mattesco	6
40	EngagedGrub41	6
44	MAns_44	5
44	kyouma777	5
46	diamondgolem35	4
46	fade_emerge78823	4
46	Dakar_	4
46	Fuad_R	4
50	Hyp3rion_	3
50	0Vyp_	3
52	jessewegottacook	2
52	TheSecondLord	2
52	500am	2
52	91stCataclysm	2
52	Jimi7hits	2
52	LeonelSalamanca	2
52	PlasticOtari	2
59	breadbowlgamer	1
59	Jackattack53	1
59	Solar_Power	1
59	JETrotter	1
59	PigDab	1
59	NomadicRobin_	1
59	Soplight	1
59	Enderxz3	1
59	Jimb0nat0r	1
