rank	username	minecraft:mined/minecraft:light_blue_terracotta
1	rarrq	577
2	EMC_	564
3	thewindmillman	527
4	joethahobo	500
5	Snowflowe	403
6	TheShyPig	360
7	XxCookiequeenxX	359
8	EveryonesUncle	322
9	Hyp3rion_	321
10	lordpipe	254
11	m_be9	243
12	Merv__	220
13	Steelynan	216
14	__Auspicious	215
15	DarlaMeow	204
16	ImpavidArcher	175
17	Mahoose	144
18	NameGenerat0r	135
19	ooga47	129
20	ProbablyNick	128
21	PlasticOtari	126
22	kekhon	114
23	Bandito_Roamer	100
24	Alteriity	95
25	Blamphe	92
26	Rumpletaezer	90
27	pintsizedrogue	79
28	Sral7	73
29	Lord_Jord	67
30	lorpus	64
31	John6970	48
32	Natty	46
33	xxPipperDipperxx	43
34	claivin	41
35	Fullut	39
35	AlexxO_o	39
37	Kouridragon	38
38	YungMaki	36
39	Di_infiri	34
39	Akoot_	34
41	500am	29
42	Inbefour	28
43	RadarHz	27
44	KarlKaek	25
44	Skippeh	25
46	Huwulling	23
46	MakeHistory157	23
48	Jimb0nat0r	20
49	Hpdinosaur	19
50	LexMakesHistory	18
51	SellyZ	17
52	Soplight	16
53	Kowcio_	15
54	theonlymagikarp	14
54	Jackattack53	14
56	mwrty	13
56	TheEnderMan548	13
56	mobunni	13
59	Frozil20	10
59	Jiminbub	10
59	SpacesickPrism	10
62	Wooptey	8
62	xolstoi	8
64	Crowman1	7
64	pr33tu	7
64	EcksD	7
67	eitanzaki	5
67	SuperPooch06	5
67	luseis	5
67	Blu3beast	5
71	TheSecondLord	4
72	SaucyDark	3
72	noam464	3
72	GoofySilly	3
72	ConnorDanky_	3
72	TechnoNinja64	3
72	The_SlideV5	3
78	Groovy_MoonBird	2
78	Paint	2
78	dabloons	2
78	beeperbeeper5	2
78	2Stout	2
78	legal_tax_evader	2
78	HellsSponge	2
78	pixelviolin	2
78	Legendosh	2
78	Smoke____	2
78	FishisTTV	2
89	I_Am_Mushkin	1
89	Swalt	1
89	Da_Boss_Rani	1
89	jacxhadow	1
89	ThePoliteG	1
89	Blazebit	1
89	Motsaro	1
89	groofles	1
89	fkGrim	1
89	_Karmaa	1
89	Warlord324	1
89	Spacewardharpy7	1
89	AvaRosey	1
89	starbits140	1
89	gusstationwerker	1
89	fffMike	1
89	Dreamdbr14	1
89	ZeroKraken	1
89	EngagedGrub41	1
