rank	username	minecraft:mined/minecraft:raw_gold_block
1	_i_ERROR_i_	77
2	Dakar_	49
3	RebytreGT	23
3	Spacewardharpy7	23
5	Crowman1	15
6	Mahoose	10
6	12Magner05	10
6	lordpipe	10
9	Kakolbus	9
10	thewindmillman	6
10	Rocco_Lane	6
12	_Huge_Male_	4
13	luseis	3
13	ItsDeltaMC	3
13	brofrickcheaters	3
16	pintsizedrogue	2
16	RatatJuice	2
16	shadowthemonkey	2
16	PaperCanvas	2
16	Kowcio_	2
16	YungMaki	2
16	Legendosh	2
23	PazinGaming	1
23	joethahobo	1
23	oscminus	1
23	starbits140	1
23	Steelynan	1
23	TheBananaKat	1
23	AltnumberF4	1
23	PlasticOtari	1
23	annebolyn	1
23	Yamdalorian	1
