rank	username	minecraft:mined/minecraft:acacia_wood
1	Megarboh	379
2	eitanzaki	253
3	Legendosh	140
4	fffMike	114
5	fkGrim	108
6	fade_emerge78823	104
7	Smoke____	98
8	corvidpartyfor6	97
9	beeperbeeper5	85
10	YungMaki	76
11	Jiminie	73
12	Onennon	55
13	oxfordschool	45
14	KingMatthew506	41
15	ImpavidArcher	38
16	Winklepicker279	32
17	stellarjay	23
18	pintsizedrogue	21
18	jushykins	21
20	Menthas	16
21	Ezekson	12
22	Kowcio_	11
23	joethahobo	10
23	Frozil12	10
25	Mahoose	9
26	AnnieBathory	8
27	TheShyPig	5
27	Racengan	5
29	Barjas	4
29	DeGodz4life	4
29	Spacewardharpy7	4
32	Groovy_MoonBird	3
32	Merv__	3
32	_Bguette_	3
35	xXTheWolfmanXx	2
35	noodlepack	2
35	noam464	2
35	Huic_ostiarius	2
35	TJawesome09	2
35	Lord_Zacler	2
35	_Ruzeeq_	2
35	Aryamanee	2
43	Drlzyy	1
43	BodaciousCake	1
43	TheSecondLord	1
43	xxPipperDipperxx	1
43	Di_infiri	1
43	SuperPooch06	1
43	Rebytre	1
43	Hiryu27	1
43	RobotMinion101	1
43	_naturell	1
43	BlankityMcBlank	1
43	Slapface522	1
43	TheALV	1
43	TechnoNinja64	1
