rank	username	minecraft:mined/minecraft:candle
1	Mahoose	196
2	Manaateee	120
3	CattSoup	79
4	TheSecondLord	76
5	Kowcio_	56
6	k_ce	53
7	PlasticOtari	47
8	AdmiralSmoke	46
9	MineMaster0012	42
10	PaperCanvas	37
11	SvenskaHugo	33
12	Crowman1	31
13	ImpavidArcher	30
14	_Dean_123	27
15	fluddd	26
15	Nicserso	26
17	12Magner05	24
17	Lord_Jord	24
19	SquadMonster	23
20	LeonelSalamanca	22
20	NomadicRobin_	22
22	Lez_	19
22	xxPipperDipperxx	19
24	lorywithay	17
25	MrKrabOnCoke	16
26	diamondgolem35	15
26	Prismyst	15
28	pintsizedrogue	14
29	luseis	13
29	YungMaki	13
31	EtherealEspresso	11
31	Ezekson	11
33	CoffeeNoir	10
33	Skylord_Luke	10
33	Jimb0nat0r	10
36	SuperPooch06	9
37	RatatJuice	8
37	500am	8
37	SvenskaSara	8
37	ZoomieZoomie	8
41	_Huge_Male_	7
41	Merv__	7
41	Pineapplesugr	7
41	olliebollie48	7
41	thewindmillman	7
41	Legendosh	7
47	Mattesco	6
48	lunathelemon	5
48	SpacesickPrism	5
48	xolstoi	5
51	PazinGaming	4
51	SmashingPump	4
51	rachcl	4
51	jessewegottacook	4
51	thebaddruid	4
51	_Karmaa	4
51	MAns_44	4
51	mihimihimihi	4
51	pixelviolin	4
60	RoskobiOne	3
60	Blackberry1310	3
60	_Nat666	3
60	noam464	3
60	drunkeeez	3
60	Krowuss	3
60	AlexxO_o	3
60	CarryLine	3
60	StinkyDiplomat	3
60	Lord_Doob	3
60	CheifJumbo	3
60	Steelynan	3
72	Mr_Byzantine	2
72	EMC_	2
72	Huwulling	2
72	ITDV	2
72	joethahobo	2
72	orxngejuice	2
72	2Stout	2
72	Arceus1975	2
72	AuroraSkies	2
72	EveryonesUncle	2
72	Dakar_	2
72	Spacewardharpy7	2
72	Soplight	2
72	Njensen7	2
72	Enderxz3	2
87	xvphmura	1
87	Krasnal1337	1
87	H0UNDFRMH3LL	1
87	Frozil20	1
87	KarlKaek	1
87	SpaceCor3_	1
87	Myszoaz	1
87	rarrq	1
87	MrExplorer	1
87	Smashic	1
87	lorpus	1
87	Inchef	1
87	groofles	1
87	Akoot_	1
87	Hahaa_0	1
87	Joestra	1
87	FreakGenius	1
87	secondstepsis	1
87	HairballHacker10	1
87	_Mythic____	1
87	UCP_TheKingK	1
87	starbits140	1
87	Hermanni__	1
87	EcksD	1
87	KamFurnace	1
