rank	username	minecraft:mined/minecraft:spruce_wood
1	Smoke____	1133
2	PlasticOtari	1081
3	beeperbeeper5	1031
4	Groundler	575
5	M_Patata	546
6	MasterNueve	507
7	luseis	479
8	pintsizedrogue	306
9	rarrq	289
10	joethahobo	267
11	Mahoose	254
12	Marbz_	224
13	Lez_	202
14	kekhon	141
15	Ezekson	133
16	m_be9	121
17	Arceus1975	94
18	Kowcio_	92
19	Di_infiri	79
20	rotten_mango	76
20	Spacewardharpy7	76
22	Chromary	64
23	RoofTyler	46
24	Merv__	44
24	kairosIV	44
26	MattieHD	42
27	500am	41
28	GLLogan2	40
29	SquadMonster	38
29	Dusk_95	38
29	Chuglyfe	38
32	Inbefour	37
33	Frozil20	34
33	Rebytre	34
33	pixelviolin	34
36	eitanzaki	33
36	MyNameIsJobo	33
38	Legendosh	32
39	Alphanzt99	31
40	Jackster03	30
40	Norrhede	30
42	SvenskaSara	29
42	Felenov	29
44	thebaddruid	27
45	alderban107	26
46	CueMix	25
47	Smashic	24
48	NameGenerat0r	23
49	laron58	21
50	PigDab	20
51	MineMaster0012	19
51	UCP_TheKingK	19
53	diamondgolem35	16
53	BlueZabu	16
53	N7November	16
53	zOnlyKroks	16
57	TheShyPig	15
58	BlancoFlaco	14
58	Fullut	14
58	EcksD	14
61	ThiccExotic	13
61	Onennon	13
61	YungMaki	13
61	PortlyPete69	13
61	HesDemonPants	13
66	ApophisNova	12
66	obzii	12
66	MyNamaSheff	12
69	CrateOfBoxes	11
70	ImpavidArcher	10
70	Historical_Sand	10
72	PazinGaming	9
72	claivin	9
74	Cowison	7
74	Kkanot	7
74	thescout7	7
74	ogoa	7
74	Deathkob	7
74	_Wannabe_	7
80	Koffeeinz	6
80	CollinMH06	6
80	Jimi7hits	6
80	Choco_Spy	6
80	Soap_Bender	6
80	mihimihimihi	6
86	Bobby808	5
86	valkam13	5
86	Nycteus_	5
86	00000000-0000-0000-0009-01f73aa9620f	5
90	k_ce	4
90	EMC_	4
90	xxPipperDipperxx	4
90	XxCookiequeenxX	4
90	Blu3beast	4
90	SvenskaHugo	4
90	Jimb0nat0r	4
97	Apollo_993	3
97	Yatitay	3
97	KarlKaek	3
97	livingdaydreams	3
97	jushykins	3
97	prizm_	3
97	SlayerCrypto	3
97	Zythose	3
97	Vetral1	3
97	EveryonesUncle	3
97	avalan64	3
97	SammiWolfGirl	3
97	Enderxz3	3
97	Biites	3
97	trexgb	3
112	H0UNDFRMH3LL	2
112	Ardennes	2
112	gcaisawesome	2
112	NoxxxxiS	2
112	noam464	2
112	_Boipl_	2
112	LordSpeed37	2
112	sleepdrifter_	2
112	Soplight	2
112	xolstoi	2
112	WYFYoyo	2
123	Sleek_Storm_721	1
123	__lizi	1
123	Gundam_Steven	1
123	Flores991	1
123	ZaneABrain	1
123	w3nd3lbo3	1
123	heckface	1
123	Malorn_Aetherius	1
123	Blackberry1310	1
123	Masssonnn	1
123	Stiar	1
123	Jackattack53	1
123	ItsMrRamen	1
123	The_Fulgurator	1
123	Bumpy419	1
123	SpaggeDR	1
123	NomadicRobin_	1
123	lordpipe	1
123	TheTommyGun63	1
123	Eraxa	1
123	gusstationwerker	1
123	Steelynan	1
123	SirBreadward	1
123	ConnorDanky_	1
123	MirielThePastor	1
