rank	username	minecraft:mined/minecraft:red_terracotta
1	MilleGrug	12033
2	TheShyPig	6334
3	Rumpletaezer	5303
4	Spacewardharpy7	4707
5	EMC_	3854
6	Snowflowe	3622
7	GoofySilly	3273
8	thewindmillman	3198
9	lordpipe	3031
10	Steelynan	2982
11	ConnorDanky_	2876
12	Inbefour	2618
13	Deathkob	1878
14	RebelAndroid	1578
15	Werbe	1478
16	RatatJuice	1476
17	Merv__	1457
18	Dusk_95	1406
19	Deodorante	1351
20	MovingFish7	1321
21	MightyWertu	1170
22	Hoid_the_Roamer	1120
23	EcksD	1072
24	cog	1011
25	TheSecondLord	1010
26	Blackberry1310	959
27	Sral7	939
28	rarrq	884
29	Mahoose	868
30	QuiCreans	849
31	mwrty	825
32	set67	814
33	Nyxiom_	785
34	Weepingbiel	775
35	gabriels543	774
36	FreakGenius	772
37	xolstoi	736
38	MAns_44	729
39	the_russell1611	724
40	Kouridragon	715
41	NomadicRobin_	701
42	F_Uhre	671
43	_Karmaa	665
44	KingMatthew506	620
45	TooManyDuck	615
46	pintsizedrogue	576
47	diggydog67	575
48	QueenShuvi	561
49	SvenskaHugo	559
50	CoffeeNoir	536
51	YungMaki	496
52	xzvu	495
53	Fullut	484
54	XxCookiequeenxX	468
55	Onennon	439
56	Barlycorn	399
57	Kamflame10	397
58	Kakolbus	390
59	SpaceTurtleOX	389
60	Hermanni__	388
61	ImDisconnected_	386
62	Chromary	364
63	epiksk8erduck	354
64	Hyp3rion_	352
65	Swexti	340
66	Ezekson	337
67	Akoot_	335
68	heckface	327
69	mariominejedi	326
70	Inchef	322
71	gcaisawesome	309
72	ImpavidArcher	307
73	Frozil20	305
73	Di_infiri	305
75	Skylord_Luke	303
75	JoCoLi	303
77	fkGrim	301
78	joethahobo	294
78	theonlymagikarp	294
80	Nicserso	289
81	El_Jalapeno	281
82	Enderxz3	265
83	fanofbands101	261
84	djancak	254
85	_Bguette_	248
86	Parcc	246
87	himak1	232
88	Lord_Jord	227
89	Soplight	220
90	m_be9	217
91	SDMNAEK	211
92	PhantomsGhost_	189
93	500am	183
93	Deerfoot	183
95	NameGenerat0r	182
96	eitanzaki	177
97	NNikitas	176
98	ProfessorBee	174
99	PlasticOtari	171
100	PegLegPete93	166
101	Blazebit	160
102	Zythose	159
103	Awyrlas	158
104	ougstur	151
105	AuroraValkyrie	144
106	XboxPanda	141
106	jcool7	141
108	Eraxa	138
109	Sabby65	130
110	livingdaydreams	129
111	Tyrannosplart	128
112	Zaridey	121
113	ApophisNova	117
113	MyNamaSheff	117
115	xxPipperDipperxx	116
116	SSytex_X	110
117	Bumpy419	103
118	bladeefan2009	100
119	xXTheWolfmanXx	98
120	kekhon	94
121	IdeallyGrey	93
122	Blu3beast	92
123	Noah_Bez	88
124	noam464	79
125	Groovy_MoonBird	74
125	soundad	74
127	EveryonesUncle	72
128	Kowcio_	71
129	Jackattack53	69
130	Quincannon	67
131	AnnieBathory	64
131	ooga47	64
131	Juk3b0x	64
134	_Razaria	63
135	Blaiku	60
136	UncleDanDan	59
137	MirielThePastor	57
138	ROY4LE	56
138	drunkeeez	56
140	nocturne78	55
141	Blamphe	53
141	TechnoNinja64	53
143	Myszoaz	52
143	Nycteus_	52
145	yatsuta	51
146	MyNameIsJobo	47
147	_Virify_	44
148	SuperPooch06	43
149	corvidpartyfor6	40
150	beeperbeeper5	36
151	fluddd	34
152	fxiryglitch	32
153	ElKaySVK	28
154	SexcMf	25
154	Majonezzon	25
154	Smoke____	25
157	RoskobiOne	24
157	CarltheCuck	24
159	Natty	23
160	Smashic	20
160	SaintJosie	20
160	MakeHistory157	20
163	Malorn_Aetherius	18
163	ChocolatePepsi	18
165	AltnumberF4	16
166	StylesK	15
167	Hpdinosaur	14
167	Incinere	14
167	J4ko8_	14
167	luseis	14
171	ShedJr_	13
171	Eraza	13
171	wTXop	13
174	k1ngGilgamesh	12
174	RealGroot	12
176	DepressedCubic	11
176	asspharte	11
176	claivin	11
176	iTheRaiden	11
180	Rebytre	10
181	elicobnoah	9
181	ratglock	9
181	fade_emerge78823	9
181	mshs94	9
181	jnp_gaming	9
186	Bandito_Roamer	8
186	ProbablyNick	8
186	Babushka0430	8
186	Paigefly	8
190	NasdaqCrash	7
190	BobDeBouwer1337	7
190	duqboy	7
193	301851	6
194	Jovaphobic	5
194	AES784	5
194	Notta	5
194	Arceus1975	5
194	Dooinfe	5
194	__tomato	5
194	The_SlideV5	5
201	tuckerdoodle	4
201	Ozixar	4
201	Scathra	4
201	emrekn	4
201	WET_WET_WET	4
201	yulgur1	4
201	natajimi	4
201	audiocracked	4
201	lillips	4
201	MyNameIsDakar	4
201	DarlaMeow	4
201	monky_irl	4
201	ZeroKraken	4
201	Skippeh	4
215	6king6colt6	3
215	Franco093	3
215	Historical_Sand	3
215	MeowMeowMcmuffin	3
215	thescout7	3
215	PigDab	3
215	gusstationwerker	3
215	Lowjinx	3
223	ZaneABrain	2
223	MattieHD	2
223	RobotMinion101	2
223	wfk7	2
223	wobn	2
223	Racengan	2
223	lcvezra	2
223	Legendosh	2
231	peachfuzz1267	1
231	_Huge_Male_	1
231	dimondking777	1
231	SmashingPump	1
231	gren_ben	1
231	Isaac70096	1
231	NinjaKnifeKill	1
231	Ao_Ken	1
231	viziqs	1
231	SquadMonster	1
231	Euclidoris	1
231	bloodbiter	1
231	Megarboh	1
231	_Dean_123	1
231	_Minnty_	1
231	SellyZ	1
231	Stiar	1
231	fr_ser	1
231	calajimi	1
231	drompje	1
231	lizardfightclub	1
231	IamCL4SSY	1
231	GravitySaint	1
231	_Ruzeeq_	1
231	Razzgriz	1
231	pixelviolin	1
231	AssFullaCum	1
231	ediballbearings	1
231	deenobeeno	1
231	Deliriohm	1
231	WinterYoke	1
