rank	username	minecraft:mined/minecraft:prismarine_slab
1	joethahobo	4658
2	PigDab	2123
3	noam464	1598
4	Blaiku	1470
5	HellsSponge	1188
6	gcaisawesome	853
7	Frozil20	730
8	TheShyPig	467
9	Mahoose	242
10	Z3braYTIL	177
11	eitanzaki	159
12	Hyp3rion_	151
13	Spacewardharpy7	140
14	LittleBug562	129
15	MightyWertu	118
16	Legendosh	115
17	Jackattack53	110
18	Mr_Byzantine	105
19	AdmiralSmoke	90
20	Snowflowe	70
21	Eraxa	67
22	TheSecondLord	64
23	ImpavidArcher	63
24	EMC_	57
25	Steelynan	48
26	Hiryu27	43
27	hm947	40
28	Ezekson	36
29	Vellu21	30
30	pintsizedrogue	29
31	EcksD	27
32	Fullut	25
33	Maenara	23
34	Merv__	21
35	Chromary	20
36	Soplight	19
37	2blox_	18
38	Kakolbus	17
39	jcool7	13
40	Powowowow	12
41	The_slideV3	11
42	Enderxz3	10
43	Bumpy419	8
43	PlasticOtari	8
45	oscminus	6
45	claivin	6
45	FishisTTV	6
48	NatalieTW	5
48	Manaateee	5
48	PortlyPete69	5
48	TechnoNinja64	5
52	AuroraValkyrie	4
52	KarlKaek	4
52	MattieHD	4
52	lillips	4
56	Apollo_993	3
56	Mattesco	3
56	masskedman	3
56	FreakGenius	3
60	RebelAndroid	2
60	rarrq	2
60	Moyd_	2
60	Krowuss	2
60	Onennon	2
60	fw3xy74	2
60	SingedBread	2
60	LeEricc	2
60	SammiWolfGirl	2
60	h2p_emrld	2
70	I_Am_Mushkin	1
70	Swexti	1
70	Blackberry1310	1
70	CliffEmAll	1
70	12Magner05	1
70	Secret_Canary	1
70	Trixididntdie	1
70	Giannism	1
70	Antek_Kicek	1
70	Di_infiri	1
70	ooga47	1
70	F_Uhre	1
70	YahooScreen9000	1
70	GooseWithin	1
70	luseis	1
70	The_Quack_Dealer	1
70	Quaintster	1
70	Blu3beast	1
70	cog	1
70	lordpipe	1
70	MakeHistory157	1
70	Kowcio_	1
70	UCP_TheKingK	1
70	TheALV	1
70	FelixPSY375	1
70	xolstoi	1
