rank	username	minecraft:mined/minecraft:stone_brick_stairs
1	burbankbuilder28	7019
2	TheShyPig	5480
3	EveryonesUncle	3351
4	beeperbeeper5	3298
5	kekhon	3270
6	HellsSponge	2772
7	Skylord_Luke	2546
8	TheSecondLord	1817
9	_Dean_123	1692
10	Arceus1975	1624
11	EcksDofficial	1545
12	Onennon	1487
13	Freak_Genius	1465
14	Dedalus36	1289
14	m_be9	1289
16	rarrq	1270
17	MyNameIsJobo	1263
18	Kakolbus	1230
19	Wolverine4302	1224
20	MinttyFressh	1129
21	Akoot_	1080
22	PlasticOtari	1046
23	EcksD	1042
24	500am	1001
25	pintsizedrogue	1000
26	Smoke____	950
27	Di_infiri	937
28	Werbe	921
29	Ezekson	907
30	Frozil12	835
31	diamondgolem35	793
32	thescout7	786
33	xxPipperDipperxx	785
34	Legendosh	778
35	Xclax101	757
36	Eraxa	738
37	Rumpletaezer	728
38	WyngGoy	700
39	impossibleteapot	691
40	Mahoose	681
41	fffMike	677
42	Maenara	671
43	ApophisNova	670
43	MyNamaSheff	670
45	Cowison	618
46	Fildyr	612
47	lcvezra	597
48	Blackberry1310	596
49	PigDab	590
50	Zythose	571
51	gcaisawesome	557
52	Incinere	555
52	Inchef	555
54	Shogunite	543
55	joethahobo	536
56	livingdaydreams	532
57	H72l9w	514
58	Fuhrer_Teemo	503
59	whoaluv	500
60	noam464	457
61	Lukeee33	455
62	YungMaki	437
63	TheDankPlatypus	432
64	Kowcio_	424
65	Malorn_Aetherius	423
66	YungJakobo	420
67	RefluxRatio	419
68	El_Jalapeno	395
69	Xalithia	392
69	__tomato	392
71	Racengan	380
72	_stets	373
73	hcb238	366
74	Deathkob	359
75	Ssor69	357
76	Stiar	353
77	Winklepicker279	352
78	Dusk_95	351
79	ShedJr_	349
80	Merv__	348
81	Kkanot	345
81	Skippeh	345
83	Historical_Sand	341
84	jcool7	334
85	_Karmaa	327
86	StinkyDiplomat	317
87	_TCARREIRA_	314
88	Lord_Jord	306
89	Nycteus_	304
90	CalebDHawk	298
91	SammiWolfGirl	296
92	Vizzoid	285
93	Matorz	284
94	jacxhadow	283
95	Snowflowe	282
96	egglapras	277
97	benediktine1	275
98	LeauVox4921	274
99	soundad	272
99	NomadicRobin_	272
101	Ecplosive	255
101	Jackattack53	255
101	MovingFish7	255
104	Groovy_MoonBird	254
105	Iagoku	249
105	DermeinUser	249
107	NotKaden_	247
108	Spacewardharpy7	242
109	Warlord324	238
110	jushykins	233
111	Jeteight	232
111	Donutt	232
113	Enderslayerxz3	231
114	ImpavidArcher	229
115	claivin	227
116	Quotary	226
117	tsitrawhy	216
118	NieToksikpl	209
119	DemTechAlpha	207
120	ROY4LE	205
121	madderfall	203
122	SkateboardR6	202
122	krutas2000	202
124	selectrix	199
125	set67	198
126	MixerDixer	195
127	fr0stss	193
128	Notta	181
129	drumine	178
130	thewindmillman	176
131	CaptainDeadBread	175
131	Smiguli_	175
133	Fullut	174
133	Zaridey	174
135	KartivGal	172
135	Nicserso	172
137	Bumpy419	171
138	SquadMonster	170
139	SvenskaHugo	168
140	layabout100	167
141	Healthing	166
142	Megarboh	164
143	Mr_Byzantine	163
143	DanTheBuilderino	163
145	Spenduh	161
146	sammidk	160
146	07shiny	160
146	laron58	160
149	Louiis123	156
150	eitanzaki	153
150	Steelynan	153
152	r123moore	144
153	Jiminie	143
153	Luigipunch989	143
155	MattieHD	141
155	Sral7	141
157	ssleepless	139
158	TooManyDuck	137
158	TheSeismicDuck	137
158	TechnoNinja64	137
161	cowgirlkasia	136
162	RoskobiOne	135
163	VentiHilton	133
164	Natty	132
164	bloodbiter	132
166	CoffeeNoir	131
166	Bobby808	131
166	Kubelz	131
169	mwrty	130
169	xorompole	130
171	XboxPanda	124
172	Chromary	123
172	Soplight	123
174	FennYuzuna	121
175	Lord_Zacler	115
175	lordpipe	115
175	kinas45y5	115
178	Bandito_Roamer	114
178	The_slideV3	114
178	Segotep999	114
181	cog	113
182	Kijiki	112
183	chipklip	110
184	Ryker	108
185	h2p_emrld	105
186	Nicky_H225	104
186	Hiryu27	104
186	avalan64	104
189	Mewar	103
189	Ristebraaten	103
191	EMC_	102
191	MilleGrug	102
193	Comma__	101
193	Corbsman	101
195	Tommhh	100
196	Hyp3rion_	99
196	Skomo	99
196	MonitorLizards	99
199	RodSerlingCringe	97
199	wobn	97
201	DarkS0L	94
202	censorsheep	92
203	Soffbord	91
204	lewieinnit	90
204	Awyrlas	90
204	Zoeyfortnite	90
207	Blu3beast	88
208	Menthas	87
209	Wowful	86
209	jnp_gaming	86
211	Factoroni	85
212	_Nuf	82
212	DC_XII	82
214	I_Am_Mushkin	81
214	awesomeoneme	81
214	slkiey	81
214	Soap_Bender	81
218	ProfessorBee	80
219	JohnPrice	79
220	_Boipl_	77
221	_Cloverbelle_	76
221	Ze_BaronKrigler	76
223	G1ldor	75
223	2blox	75
225	NoChumpChange	74
226	Powowowow	73
227	ExtraDumb	72
227	wiqor	72
229	LotusProject	70
230	dendydoom	69
231	zorin123	68
232	lOlmantschi	67
233	pappaberg	66
233	AuroraSkies	66
233	Toiton	66
233	MyNameIsDakar	66
237	Septemb3r	65
238	dudcreeper	63
238	Z3braYTIL	63
238	Inbefour	63
241	luvphan	62
241	PeteO1995	62
243	Reamdin	61
244	BoraMC	60
244	Syropatathe	60
244	UltraZombie	60
247	LittleBug562	58
247	paranoid_plant	58
247	The11thDoctor	58
247	TheOnlyRake	58
251	eviltunix	57
251	Quincannon	57
251	kyouma777	57
251	felincaus	57
255	AnnieBathory	56
256	KliBeast21	55
256	mobunni	55
258	NameGenerat0r	54
259	Myszoaz	53
259	shdesolt	53
259	fluddd	53
259	Hisiste	53
263	Adlair	52
263	TheOuterCore	52
263	oxfordschool	52
266	SlayerCrypto	51
266	Dan_Scha	51
266	MissCeleste7	51
269	zielkairos	50
269	iHuntWeeaboos	50
271	cringenaynaybaby	48
271	monolu	48
273	RatatJuice	47
274	Jackster03	46
274	Euclidoris	46
274	RobotMinion101	46
