rank	username	minecraft:mined/minecraft:powered_rail
1	HellsSponge	3382
2	Di_infiri	3029
3	noam464	2558
4	Smoke____	1690
5	Spacewardharpy7	1308
6	thescout7	1264
7	TechnoNinja64	1058
8	Hyp3rion_	953
9	eitanzaki	947
10	MightyWertu	857
11	Blu3beast	660
12	Snowflowe	636
13	MyNameIsJobo	578
14	beeperbeeper5	552
15	MustaLoordi	472
16	Quincannon	470
17	Freak_Genius	432
18	Werbe	422
18	AssEatrAndLicker	422
20	El_Jalapeno	421
21	__tomato	405
22	ShedJr_	391
22	ayamefag	391
24	Historical_Sand	390
25	thewindmillman	388
26	pintsizedrogue	376
27	Kakolbus	359
28	T045RTY	325
29	fffMike	311
30	joethahobo	293
31	Ezekson	262
32	Spenduh	253
33	jnp_gaming	244
34	YungMaki	235
35	Warlord324	232
36	PigDab	230
37	Racengan	211
38	Jovaphobic	202
39	ProfessorBee	194
40	EMC_	189
41	Jackattack53	183
42	Groundler	178
43	The_slideV3	176
44	TheShyPig	171
45	Mahoose	167
46	EveryonesUncle	166
47	Comma__	165
48	BumbleBeever	164
49	Blaiku	163
50	Deathkob	162
50	lordpipe	162
52	Hiryu27	158
53	Frozil12	155
54	pixelviolin	131
55	theonlymagikarp	129
55	gcaisawesome	129
57	ediballbearings	125
58	Cowison	123
59	Bumpy419	121
60	DanTheBuilderino	120
61	kekhon	116
62	MilleGrug	115
63	obzii	114
64	OfficerAnvil	113
65	Nyxiom_	112
66	Rebytre	111
67	Lord_Jord	110
68	q_wq	108
69	audiocracked	105
70	emrekn	104
70	07shiny	104
72	masskedman	103
73	vandmanden	96
74	anbbang	91
75	Sral7	88
76	Akoot_	87
77	mariominejedi	86
78	RobotMinion101	85
79	EcksD	84
80	Nycteus_	83
80	ProbsNotNova	83
82	eviltunix	81
82	PortlyPete69	81
84	rarrq	80
85	Quotary	79
86	Soplight	77
87	_Virify_	76
87	Franco093	76
87	H72l9w	76
87	sebastiensaborio	76
91	JESS_THE_RERE	74
92	oxfordschool	72
93	TheSeismicDuck	68
94	jacxhadow	67
95	Dedalus36	65
95	SammiWolfGirl	65
97	stuy9	63
98	Jordan_R	62
99	mwrty	61
100	_Nuf	60
101	Kijiki	58
102	PlasticOtari	57
103	soundad	56
103	Blackberry1310	56
105	Inbefour	55
106	bloodbiter	54
106	sp00ky_ghost977	54
108	Skylord_Luke	52
109	Swexti	51
109	eiC_	51
109	yatsuta	51
109	TheOuterCore	51
113	Euclidoris	49
113	12Magner05	49
113	censorsheep	49
116	slkiey	48
116	FishyBoy3811	48
116	UrbanPlanner1978	48
119	Hisiste	46
119	radioactv_jelly	46
121	ivorico	45
122	ssleepless	44
123	SingedBread	43
124	Onennon	42
125	PhantomsGhost_	41
126	Awyrlas	40
126	xxPipperDipperxx	40
128	NotMeanttoChange	39
128	mawileite	39
130	Cyntrical	38
131	Dusk_95	37
132	fr0stss	36
133	Rasmanden	33
134	ClemenPine	32
135	CharlieButt	31
136	M_Patata	30
136	CaptainAvenger7	30
136	Sheldor097	30
136	Zoeyfortnite	30
140	FirsTimeGamingTV	29
141	MasterNueve	28
141	IAmTheWalrus910	28
143	teslawolf38	27
143	ImpavidArcher	27
143	Marbz_	27
143	MakeHistory157	27
147	andy_rex	26
147	Strangemonkey71	26
147	The_SlideV5	26
150	CruncyIsTaken	25
150	Quaintster	25
150	FishisTTV	25
153	RebelAndroid	24
153	Soul_Atreus	24
153	HesDemonPants	24
156	PegLegPete93	23
156	CaptainDeadBread	23
156	stavgod	23
156	Powowowow	23
160	m_be9	22
160	Hanselhoof	22
160	Darkgon	22
160	Eczbek	22
164	WyngGoy	21
164	2blox	21
166	Drewen24	20
166	Kyrum2169	20
168	SkateboardR6	19
168	Fizznut909	19
168	Hermanni__	19
171	CoffeeNoir	18
171	Ssor69	18
171	EfficientC52	18
171	Typadopoulos	18
171	ReyTheLegend	18
176	bigstankyy	17
176	awesomeoneme	17
176	MattieHD	17
176	Rumpletaezer	17
176	Skomo	17
176	Xclax101	17
176	Nicserso	17
183	DemTechAlpha	16
184	Prodiginus	15
184	Kkanot	15
184	Bolete	15
184	Chromary	15
184	Sky_light_KING	15
184	KG1999	15
190	Vizzoid	14
190	CrateOfBoxes	14
190	DTwenty	14
190	GravitySaint	14
194	Louiis123	13
194	AshleeCW	13
194	pappaberg	13
194	ooga47	13
194	Soap_Bender	13
199	Maenara	12
199	Leeeegend	12
201	Bandito_Roamer	11
201	Fullut	11
201	RustyKedel	11
201	Arceus1975	11
201	Leyna3	11
201	Shin69	11
201	Enderslayerxz3	11
208	youhjjhhhjj	10
208	benediktine1	10
208	sufjanlover	10
208	claivin	10
208	AltnumberF4	10
208	MusicMe1005	10
214	TildaAndrea	9
214	jushykins	9
214	Kubelz	9
214	TheTrueClipse	9
214	_Bguette_	9
214	LexMakesHistory	9
214	PlzNoBM	9
214	MeetTheWollo	9
222	Zippyzam	8
222	LoboTheLobster	8
222	Ecplosive	8
222	CollinMH06	8
222	SlayerCrypto	8
222	SuperPooch06	8
222	The11thDoctor	8
222	Gryglu583	8
222	Fuhrer_Teemo	8
222	Barlycorn	8
222	LilcoinXX	8
222	GlitchyPlate810	8
222	jcool7	8
222	laron58	8
236	AuroraValkyrie	7
236	Sleek_Storm_721	7
236	Megarboh	7
236	egglapras	7
236	SellyZ	7
236	KartivGal	7
236	NameGenerat0r	7
236	Pickel_Lord	7
236	Kowcio_	7
236	smogfrog	7
246	Jackster03	6
246	Malorn_Aetherius	6
246	TheThomas69	6
246	Covalents	6
246	Voxin2K	6
246	ApophisNova	6
246	starbits140	6
246	Moetis	6
246	MyNamaSheff	6
255	Flores991	5
255	livingdaydreams	5
255	IWorkAtIkea	5
255	TheSecondLord	5
255	Xalithia	5
255	ROY4LE	5
255	XboxPanda	5
255	gabriels543	5
255	AlexStrange	5
255	fkGrim	5
255	Jij0	5
255	KingMatthew506	5
255	xorompole	5
268	6king6colt6	4
268	chimpmunker	4
268	InfernalMound	4
268	ringmasterzeke	4
268	NomadicRobin_	4
268	chipklip	4
268	lcvezra	4
268	Winston_Ingram	4
268	Kubeusz2010	4
268	Skippeh	4
278	Froste131	3
278	Batman922	3
278	carloselpapii	3
278	SDMNAEK	3
278	MinttyFressh	3
278	Enigma0251	3
278	GLLogan2	3
278	r123moore	3
278	Invisie	3
278	Ferrousy	3
278	Shogunite	3
278	ElKaySVK	3
278	OG_Songsee	3
278	kyouma777	3
278	BlankityMcBlank	3
278	djancak	3
278	Legendosh	3
278	h2p_emrld	3
296	_NieToksikpl_	2
296	Hyugo	2
296	ExtraDumb	2
296	SaucyDark	2
296	MOSS000	2
