rank	username	minecraft:mined/minecraft:chorus_flower
1	Yamdalorian	3805
2	beeperbeeper5	2547
3	m_be9	1964
4	luseis	971
5	TheShyPig	548
6	xxPipperDipperxx	524
7	thewindmillman	312
8	6king6colt6	305
9	Mr_Byzantine	299
10	TheEnderMan548	256
11	ProfessorBee	215
12	joethahobo	182
13	Manaateee	127
14	SpartanNamor	124
14	El_Jalapeno	124
14	brofrickcheaters	124
17	UrbanPlanningEx	117
18	Kowcio_	110
19	Nicserso	104
20	bloodbiter	101
21	MattieHD	86
22	HellsSponge	78
23	lordpipe	75
24	Fullut	60
25	MakeHistory157	59
26	crying_wolf_13	55
27	pintsizedrogue	49
27	LexMakesHistory	49
29	Ezekson	48
30	Hyp3rion_	45
31	excelsionprime	44
32	Mahoose	41
32	MyNameIsJobo	41
34	Kubeusz2010	38
35	Jackattack53	37
36	diggydog67	36
37	SaucyDark	35
38	Prodiginus	34
39	Zoeyfortnite	32
40	Spacewardharpy7	31
41	DTwenty	28
41	Eraxa	28
43	Merv__	27
43	Pumpkin_P_Patch	27
43	Legendosh	27
46	Xalithia	26
46	Segotep999	26
48	Werbe	25
49	ooga47	23
50	ShedJr_	22
50	kekhon	22
52	ECstardust	21
53	RobotMinion101	20
53	pixelviolin	20
53	Kyrum2169	20
56	Blu3beast	18
57	Kakolbus	17
57	XxCookiequeenxX	17
59	PigDab	16
60	Maenara	15
60	TechnoNinja64	15
62	Razzgriz	13
63	Arceus1975	11
64	EKUG	10
64	UncreativeArtist	10
64	sp00ky_ghost977	10
64	JayToe	10
68	j5ylim	9
68	diamondgolem35	9
68	Batman922	9
68	ehunt54	9
68	oscminus	9
68	claivin	9
74	SlayerCrypto	8
74	Steelynan	8
74	Jimb0nat0r	8
77	Professor_x8	7
78	PhantomsGhost_	6
78	500am	6
78	Mewar	6
78	FreakGenius	6
82	12Magner05	5
82	noam464	5
82	SuperPooch06	5
82	wwwwinnebagoooo	5
82	Soplight	5
82	hermmm_	5
88	H0UNDFRMH3LL	4
88	ZaneABrain	4
88	KomputerDude	4
88	SammiWolfGirl	4
88	Skippeh	4
88	Quotary	4
94	powercas_gamer	3
94	eitanzaki	3
94	PegLegPete93	3
94	legal_tax_evader	3
94	ApophisNova	3
94	HyperCave	3
94	ItsJWolff	3
94	mihimihimihi	3
94	iSammael	3
94	33sudo	3
94	striker90333	3
94	MyNamaSheff	3
106	CLG_Kata	2
106	rarrq	2
106	xPixelRainx	2
106	jushykins	2
106	SellyZ	2
106	Zaridey	2
106	Windo_licker	2
106	yheece	2
106	burbankbuilder28	2
106	wfk7	2
106	epiksk8erduck	2
106	True_Clipse	2
106	Airem_Core	2
106	Druid95	2
106	PortlyPete69	2
106	Iamthejo	2
106	h2p_emrld	2
106	00000000-0000-0000-0009-01f6557d802a	2
124	Groovy_MoonBird	1
124	Niklas20114552	1
124	Sleek_Storm_721	1
124	RebelAndroid	1
124	skroobiez	1
124	Historical_Sand	1
124	Ssor69	1
124	royal_2	1
124	heckface	1
124	TheSecondLord	1
124	Boboczus	1
124	SteveCraftBlocks	1
124	redikul	1
124	set67	1
124	Awyrlas	1
124	ROY4LE	1
124	Covalents	1
124	shadowthemonkey	1
124	CollinMH06	1
124	Donutt	1
124	RebytreGT	1
124	SilentSebast	1
124	Ender_Souls	1
124	ougstur	1
124	Leyna3	1
124	ADEXTV	1
124	Wowful	1
124	bpmm	1
124	Tyrannosplart	1
124	MAns_44	1
124	blackeemperor	1
124	pretty_pink_reno	1
124	Xclax101	1
124	Groundler	1
124	WyngGoy	1
124	Ze_BaronKrigler	1
124	YungMaki	1
124	VittoValenttino	1
124	Sheldor097	1
124	mawileite	1
124	MilleGrug	1
124	HesDemonPants	1
124	jnp_gaming	1
