rank	username	minecraft:mined/minecraft:light_gray_concrete_powder
1	SkateboardR6	461
2	Jackattack53	387
3	ImpavidArcher	379
4	The_slideV3	361
5	Blackberry1310	336
6	joethahobo	213
7	Ssor69	208
8	PhantomsGhost_	195
9	Nicserso	185
10	oxfordschool	157
11	Cryptacity	138
12	Mahoose	92
13	Groundler	89
14	TeenMomTom	71
15	kekhon	64
16	pintsizedrogue	61
17	PlasticOtari	55
18	fffMike	54
18	TechnoNinja64	54
20	Skylord_Luke	43
21	fred870d	36
22	Blu3beast	35
23	lillips	32
24	Rumpletaezer	23
24	claivin	23
26	lordpipe	22
27	Spenduh	21
27	Winston_Ingram	21
29	CalebDHawk	19
30	Merv__	18
30	Ezekson	18
32	Akoot_	16
33	Blaiku	15
34	Swexti	14
34	noam464	14
34	Di_infiri	14
34	LordSpeed37	14
38	chipklip	12
38	KG1999	12
38	Soplight	12
41	oreee	11
41	Sral7	11
43	jnp_gaming	10
44	500am	9
44	PortlyPete69	9
46	eitanzaki	8
46	HellsSponge	8
48	bigstankyy	7
48	Comma__	7
50	thescout7	6
50	Spacewardharpy7	6
50	The_SlideV5	6
53	6king6colt6	5
53	I_Am_Mushkin	5
53	Fullut	5
53	ROY4LE	5
53	thewindmillman	5
53	EveryonesUncle	5
59	Incinere	4
59	beeperbeeper5	4
59	m_be9	4
59	AJplaysMC_	4
59	RobotMinion101	4
59	Onennon	4
59	the_russell1611	4
59	cog	4
59	BlankityMcBlank	4
59	Zoeyfortnite	4
69	CueMix	3
69	Hiryu27	3
69	MousePlays	3
69	Sky_light_KING	3
69	Quaintster	3
69	YungMaki	3
69	Enderslayerxz3	3
69	YoshikageBites	3
77	teslawolf38	2
77	lotarp	2
77	NotMeanttoChange	2
77	xxPipperDipperxx	2
77	gcaisawesome	2
77	Winklepicker279	2
77	TheShyPig	2
77	Jiminbub	2
77	Yahir091	2
77	Sheldor097	2
77	Powowowow	2
77	kinas45y5	2
89	heckface	1
89	TheSecondLord	1
89	Covalents	1
89	gabriels543	1
89	Chromary	1
89	Werbe	1
89	Rasmanden	1
89	Soap_Bender	1
89	NameGenerat0r	1
89	Eraxa	1
89	stahouo	1
89	Glumb0	1
89	jcool7	1
89	Dreamdbr14	1
89	Njensen7	1
89	KingMatthew506	1
89	Mr_Teddiursa_K	1
89	EcksDofficial	1
89	_Dri_	1
89	h2p_emrld	1
