rank	username	minecraft:mined/minecraft:cut_copper_stairs
1	QuiCreans	367
2	hanaryheatwave	182
3	Mr_Byzantine	117
4	Enderxz3	97
5	12Magner05	44
6	beeperbeeper5	41
7	Penguinllama517	38
8	Jonafrog99	34
9	SpacesickPrism	31
9	Yamdalorian	31
11	Kowcio_	25
11	PlasticOtari	25
13	JETrotter	23
14	_witch_craft_	22
15	skroobiez	20
16	Lutres_	19
17	EMC_	14
18	DrowsyOracle	13
19	MattieHD	11
19	thewindmillman	11
19	Thunder_bird4337	11
19	Nicserso	11
23	_Huge_Male_	10
23	bl1ss0	10
25	SuperPooch06	9
25	luseis	9
25	Gus2005	9
28	Alteriity	8
29	Lez_	6
29	TheSecondLord	6
31	joethahobo	5
31	Mattesco	5
33	Mahoose	4
34	EnigmaTheYeen	3
34	thatsjustfrankie	3
36	j5ylim	2
36	Merv__	2
36	MinttyFressh	2
36	500am	2
36	U_Mos_	2
36	Lord_Jord	2
36	Manaateee	2
36	pixelviolin	2
44	Groovy_MoonBird	1
44	Jekyll	1
44	GooseWithin	1
44	FiguraDei	1
44	Jimb0nat0r	1
