rank	username	minecraft:mined/minecraft:red_wool
1	beeperbeeper5	4540
2	Awyrlas	923
3	HellsSponge	830
4	Di_infiri	751
5	Merv__	645
6	mwrty	627
7	Freak_Genius	540
8	joethahobo	484
9	stahouo	472
10	PeteO1995	414
11	kekhon	384
12	Skylord_Luke	299
13	YungMaki	292
14	JEWISHBadenBeele	280
15	Eraxa	272
16	EcksDofficial	266
17	PlzNoBM	255
18	paranoid_plant	245
19	EMC_	220
20	Smoke____	217
21	Ezekson	206
22	Blackberry1310	192
23	Soplight	191
24	Spacewardharpy7	170
25	teslawolf38	145
25	TechnoNinja64	145
27	seanitoo	143
28	Hermanni__	126
29	The11thDoctor	124
30	500am	122
30	Inbefour	122
30	Fuhrer_Teemo	122
33	Wooptey	120
34	rarrq	118
35	ShedJr_	115
36	MilleGrug	110
37	TheSecondLord	104
38	Frozil12	89
39	EveryonesUncle	86
40	Groundler	85
41	TheShyPig	78
42	eitanzaki	76
43	lordpipe	69
44	TheTommyGun63	65
45	dabloons	62
46	sufjanlover	60
47	_Dean_123	58
48	thescout7	57
49	Blaiku	54
50	Legendosh	53
51	CruncyIsTaken	48
52	Shin69	44
53	ImpavidArcher	42
53	noam464	42
53	Bumpy419	42
56	Sky_light_KING	40
56	sebastiensaborio	40
58	dopplexd	37
58	MattieHD	37
58	little_dUki	37
61	_Boipl_	36
61	Blu3beast	36
63	fkGrim	33
63	SkateboardR6	33
63	Kowcio_	33
63	PortlyPete69	33
67	The_slideV3	32
67	oxfordschool	32
69	CoffeeNoir	31
69	SuperPooch06	31
69	Akoot_	31
72	Rumpletaezer	29
73	Sral7	28
74	himak1	27
75	Chromary	26
75	BumbleBeever	26
77	ApophisNova	25
77	_Karmaa	25
77	MyNamaSheff	25
80	gabriels543	24
81	RebelAndroid	23
82	marumochis	22
83	fffMike	21
83	561cool	21
85	NameGenerat0r	20
85	the__Reaper4999	20
87	Elprone266	19
87	ewpunk	19
87	NotMeowMix	19
90	InfernalMound	18
90	Optiprimus	18
92	titanlax	17
92	El_Jalapeno	17
94	NoChumpChange	16
94	Nekomin0	16
96	6king6colt6	15
96	theonlymagikarp	15
96	Arceus1975	15
96	RobotMinion101	15
96	OtariCharlie	15
96	MovingFish7	15
102	proxivitoid	14
102	Xclax101	14
102	IvarEXE	14
105	Werbe	13
105	PigDab	13
105	AssEatrAndLicker	13
105	__tomato	13
105	jnp_gaming	13
110	Cowison	12
111	xxPipperDipperxx	11
112	heckface	10
113	I_Am_Mushkin	9
113	Mahoose	9
113	ratglock	9
113	Nycteus_	9
117	Xalithia	8
117	Hoid_the_Roamer	8
117	VentiHilton	8
120	Mercadies	7
120	m_be9	7
120	Fullut	7
120	Inchef	7
120	Lil_Breadboy	7
120	__Auspicious	7
126	emrekn	6
126	Winklepicker279	6
126	WyngGoy	6
126	Seindi	6
130	The_Fulgurator	5
130	Rasmanden	5
130	NomadicRobin_	5
130	Dusk_95	5
130	EcksD	5
135	Under1	4
135	burbankbuilder28	4
137	Gundam_Steven	3
137	Valoth	3
137	2Stout	3
137	Zaridey	3
137	andy_rex	3
137	DScatgirls	3
137	queenalina123	3
137	SingedBread	3
137	Quotary	3
146	Mr_Byzantine	2
146	Foof13	2
146	SaucyDark	2
146	Kkanot	2
146	Motsaro	2
146	Bazongoman	2
146	wirelesstree	2
146	claivin	2
146	JoCoLi	2
146	Wolverine4302	2
156	pintsizedrogue	1
156	KarlKaek	1
156	bigstankyy	1
156	Hpdinosaur	1
156	Incinere	1
156	hzs91	1
156	Historical_Sand	1
156	TheMaster972	1
156	Ssor69	1
156	Prodiginus	1
156	bloodbiter	1
156	set67	1
156	r123moore	1
156	mariominejedi	1
156	MyNameIsJobo	1
156	MangoTheFish	1
156	drompje	1
156	MustardDrinker	1
156	FishyBoy3811	1
156	thgrocks	1
156	_Bguette_	1
156	_ritter	1
156	LetsDoItLive	1
156	GlitchyPlate810	1
156	xof_on_microwave	1
156	KingMatthew506	1
156	Eczbek	1
156	laron58	1
156	TheOuterCore	1
156	Skippeh	1
156	2blox	1
156	The_SlideV5	1
