rank	username	minecraft:mined/minecraft:stripped_spruce_log
1	Blackberry1310	2183
2	Inchef	2105
3	PlasticOtari	1671
4	EMC_	1534
5	EcksDofficial	1314
6	joethahobo	1262
7	Historical_Sand	1197
8	kekhon	1177
9	Mahoose	1167
10	Touched_Bread	1116
11	MyNameIsJobo	937
12	pintsizedrogue	932
13	Kowcio_	717
14	BlancoFlaco	690
15	Merv__	661
16	Eraxa	653
17	KarlKaek	652
18	500am	540
19	rarrq	539
20	fkGrim	534
21	set67	476
22	__Fanda__	472
23	Malorn_Aetherius	464
24	xxPipperDipperxx	461
25	Soplight	444
26	JESS_THE_RERE	424
27	Kakolbus	419
27	TheShyPig	419
29	Slapface522	402
30	beeperbeeper5	383
31	AlexxO_o	381
32	EveryonesUncle	367
33	WYFYoyo	359
34	ImpavidArcher	353
35	Groundler	327
36	HollieDaNugget	320
37	Deathkob	302
38	Enderslayerxz3	299
39	Akoot_	296
40	_Virify_	258
40	Lutres_Torane	258
42	m_be9	257
43	Werbe	246
44	cowgirlkasia	232
44	Ezekson	232
46	SpacesickPrism	225
47	Legendosh	224
48	Fullut	217
49	G1ldor	215
50	Ze_BaronKrigler	210
51	brofrickcheaters	208
52	Sleek_Storm_721	204
53	Alteriity	202
54	iHuntWeeaboos	180
55	claivin	177
56	Inbefour	169
57	CalebDHawk	164
58	CheifJumbo	163
59	XxCookiequeenxX	161
60	Kkanot	156
60	Steelynan	156
62	Jiminie	155
62	Nicserso	155
64	fw3xywashere	152
65	Sleepy_Time_	148
66	Natty	147
67	Harotio	145
67	SvenskaHugo	145
69	q_wq	141
70	AltnumberF4	136
71	Shiirazuku	134
72	Rebytre	133
73	orxngejuice	128
74	EcksD	127
75	Smashic	125
76	Sky_light_KING	122
77	Segotep999	121
78	ApophisNova	120
78	MyNamaSheff	120
80	Fuad_R	116
81	noam464	114
82	John6970	113
82	Jonte0599	113
84	lordpipe	111
85	Chromary	108
86	diamondgolem35	104
86	M_Patata	104
86	anbbang	104
89	Di_infiri	103
90	thescout7	100
91	ogoa	96
92	NotKaden_	94
93	MyNameIsDakar	92
94	Drlzyy	91
95	MasterNueve	89
96	Meatlaugh	87
97	JingleLizi	85
98	HyperCave	83
99	_Dean_123	82
100	CaptainSteve345	80
101	Lord_Jord	78
102	ZigzagLily43042	77
103	NieToksikpl	74
104	privatemeekly	73
105	eitanzaki	68
105	Dusk_95	68
