rank	username	minecraft:mined/minecraft:jungle_pressure_plate
1	Njensen7	34
2	_TCARREIRA_	24
3	Prodiginus	17
4	jnp_gaming	14
5	KingMatthew506	11
6	SaucyDark	8
6	FreakGenius	8
8	Mahoose	5
9	CLG_Kata	3
9	Nicky19	3
11	Secret_Canary	2
11	mwrty	2
11	Werbe	2
11	xzvu	2
11	skrongus	2
16	Mowelan	1
16	eitanzaki	1
16	joethahobo	1
16	Swexti	1
16	Fullut	1
16	eviltunix	1
16	noam464	1
16	legal_tax_evader	1
16	oscminus	1
16	TheShyPig	1
16	Maenara	1
16	claivin	1
16	weabis	1
16	Blaiku	1
16	Warlord324	1
16	Airem_Core	1
16	SvenskaHugo	1
16	underscore_2	1
16	UCP_TheKingK	1
16	ConnorDanky_	1
