rank	username	minecraft:mined/minecraft:light_blue_wall_banner
1	Akoot_	74
2	PlasticOtari	55
3	kekhon	49
4	rarrq	47
5	_Dean_123	45
6	beeperbeeper5	39
7	Mahoose	38
8	Lez_	22
9	SmashingPump	21
10	500am	20
11	12Magner05	17
12	ShedJr_	15
13	Ezekson	13
14	pixelviolin	11
15	Arceus1975	10
16	Huwulling	9
17	ROY4LE	7
18	pintsizedrogue	6
18	Zythose	6
18	Eraxa	6
21	CoffeeNoir	5
21	Blackberry1310	5
21	m_be9	5
21	EcksD	5
25	joethahobo	4
25	Werbe	4
25	xzvu	4
28	Historical_Sand	3
28	CarltheCuck	3
28	Di_infiri	3
28	Soplight	3
28	Steelynan	3
28	xolstoi	3
34	diamondgolem35	2
34	MattieHD	2
34	xXxSebastianLxXx	2
34	noam464	2
34	CrateOfBoxes	2
34	Mattesco	2
34	TheShyPig	2
34	EveryonesUncle	2
34	luseis	2
34	YungMaki	2
44	Mr_Byzantine	1
44	Merv__	1
44	CompAir	1
44	Isaac70096	1
44	Incinere	1
44	Natty	1
44	Fullut	1
44	IforgotCS_Source	1
44	Inchef	1
44	xxPipperDipperxx	1
44	M_Patata	1
44	ApophisNova	1
44	k1ngGilgamesh	1
44	F_Uhre	1
44	HellsSponge	1
44	NameGenerat0r	1
44	claivin	1
44	MasterNueve	1
44	jcool7	1
44	MyNamaSheff	1
44	Enderxz3	1
44	Legendosh	1
44	JayToe	1
44	Smoke____	1
