rank	username	minecraft:mined/minecraft:bamboo_trapdoor
1	Buuck_	359
2	Spaghettatron	324
3	Mr_Byzantine	258
4	k_ce	69
5	lpinfinity	58
6	_witch_craft_	52
7	Mr_Sun15	39
8	milltesco	29
8	Mattesco	29
10	CacheOut	28
11	Jimb0nat0r	14
12	McCakeAh	13
12	Enderxz3	13
14	Hoid_the_Roamer	12
15	Steelynan	9
16	Bambuino	6
17	pintsizedrogue	5
17	Synthoum	5
17	Legendosh	5
20	MattieHD	4
20	DisgruntledKoala	4
20	craaaash	4
23	TheSecondLord	3
24	Penguinllama517	2
25	Merv__	1
25	noam464	1
25	EveryonesUncle	1
25	luseis	1
