rank	username	minecraft:mined/minecraft:dark_oak_sign
1	beeperbeeper5	214
2	Merv__	76
3	pintsizedrogue	72
4	Hyp3rion_	63
5	Soplight	62
6	lordpipe	58
7	Smashic	57
8	Fullut	53
9	eitanzaki	48
10	Spacewardharpy7	47
11	skitzxo	36
12	joethahobo	34
13	6king6colt6	32
13	thescout7	32
15	Mr_Byzantine	31
15	kekhon	31
17	TheSecondLord	30
18	Blackberry1310	28
19	YungMaki	27
20	Lez_	26
20	Archsam	26
20	Historical_Sand	26
20	500am	26
20	noam464	26
20	Manaateee	26
26	Mahoose	24
27	TheKingK_	23
28	fluddd	21
28	Enderxz3	21
30	Lord_Jord	20
31	Huwulling	19
31	Vizzoid	19
33	Kakolbus	18
34	ImpavidArcher	17
35	Hiryu27	16
35	NameGenerat0r	16
37	thewindmillman	15
37	TheShyPig	15
37	Steelynan	15
40	Snowflowe	14
40	Maenara	14
40	FreakGenius	14
40	xzvu	14
44	luseis	13
45	Euclidoris	12
45	CliffEmAll	12
45	fr_ser	12
45	DarlaMeow	12
45	Legendosh	12
45	jnp_gaming	12
51	Blu3beast	11
51	Barlycorn	11
53	Eraxa	10
53	IdeallyGrey	10
53	Kowcio_	10
53	__tomato	10
53	Dreamdbr14	10
53	Ezekson	10
59	CollinMH06	9
59	Di_infiri	9
59	Werbe	9
59	Onennon	9
63	Jovaphobic	8
63	_Dean_123	8
63	ROY4LE	8
63	r123moore	8
63	Jackattack53	8
63	MAns_44	8
63	Racengan	8
63	pixelviolin	8
63	PlasticOtari	8
72	Arceus1975	7
72	ApophisNova	7
72	Mattesco	7
72	IamCL4SSY	7
72	SkateboardR6	7
72	MyNamaSheff	7
78	Bandito_Roamer	6
78	Ssor69	6
78	2Stout	6
78	xxPipperDipperxx	6
78	burbankbuilder28	6
78	PigDab	6
78	Elastiq	6
78	Akoot_	6
78	Blaiku	6
78	EcksD	6
78	JayToe	6
89	Napoleonpancake	5
89	rarrq	5
89	BobDeBouwer1337	5
89	Nicky_H225	5
89	12Magner05	5
89	ProfessorBee	5
89	Awyrlas	5
89	Tjhodskins19	5
89	XboxPanda	5
89	Rumpletaezer	5
89	Reneedium	5
89	seramalen	5
89	Nicky19	5
89	Karbl	5
89	jcool7	5
104	JohnnyFyes	4
104	teslawolf38	4
104	Incinere	4
104	T045RTY	4
104	Rich_Kat	4
104	m_be9	4
104	TheDiamondCG	4
104	emrekn	4
104	Doom_melon	4
104	RebytreGT	4
104	Joestra	4
104	yulgur1	4
104	AspenLightVT	4
104	emreknugrlu	4
104	Lutres_	4
104	Dakar_	4
104	HellsSponge	4
104	Druid95	4
104	Zetsey	4
104	Kyrum2169	4
104	_TCARREIRA_	4
104	PortlyPete69	4
104	hermmm_	4
104	ConnorDanky_	4
104	Jimb0nat0r	4
104	trexgb	4
104	Yamdalorian	4
104	TheWickedBird	4
132	NatalieTW	3
132	_stets	3
132	KarlKaek	3
132	_Razaria	3
132	Wooptey	3
