rank	username	minecraft:mined/minecraft:yellow_stained_glass
1	beeperbeeper5	211
2	MangoTheFish	195
3	pintsizedrogue	119
4	Soplight	105
5	Kubelz	102
6	Snowflowe	70
7	lordpipe	59
8	Groundler	56
9	fffMike	47
10	EcksDofficial	43
11	Mahoose	33
12	Jackattack53	31
13	kekhon	29
14	titanlax	26
14	lillips	26
16	Mattesco	25
16	The_slideV3	25
18	xxPipperDipperxx	21
19	Inbefour	19
19	Freak_Genius	19
21	Spacewardharpy7	18
22	claivin	17
23	DC_XII	16
23	Maenara	16
23	sebastiensaborio	16
26	Bumpy419	15
26	Akoot_	15
28	mwrty	14
28	Rumpletaezer	14
30	JEWISHBadenBeele	13
30	EveryonesUncle	13
30	Zoeyfortnite	13
33	Notta	12
33	TheSecondLord	12
35	AuroraValkyrie	9
35	rarrq	9
35	_naturell	9
38	xXTheWolfmanXx	8
38	pr33tu	8
38	Andy__Dufresne	8
38	ROY4LE	8
38	MyNameIsJobo	8
38	Onennon	8
38	PigDab	8
38	Smoke____	8
46	Chuvacevedo	7
46	PortlyPete69	7
48	El_Jalapeno	6
48	jnp_gaming	6
50	MattieHD	5
50	Nycteus_	5
50	oxfordschool	5
53	CliffEmAll	4
53	Werbe	4
53	AssEatrAndLicker	4
53	KingMatthew506	4
53	EcksD	4
58	awesomeoneme	3
58	Xclax101	3
58	Optiprimus	3
58	Spenduh	3
58	stellarjay	3
58	TechnoNinja64	3
64	6king6colt6	2
64	SaucyDark	2
64	eitanzaki	2
64	LionelHutzESQ	2
64	Dragonfest	2
64	Inchef	2
64	BlueZabu	2
64	ogoa	2
64	HellsSponge	2
64	Frozil12	2
64	sadvavilloso	2
75	seanitoo	1
75	_NieToksikpl_	1
75	Devintronix	1
75	Blackberry1310	1
75	jushykins	1
75	m_be9	1
75	Cheesebal1	1
75	Awyrlas	1
75	eviltunix	1
75	noam464	1
75	Zaridey	1
75	gabriels543	1
75	Chromary	1
75	domagawha	1
75	Soap_Bender	1
75	TheDumbHuman	1
75	MrWataby	1
75	carbo_bro	1
75	Kowcio_	1
75	stahouo	1
75	lcvezra	1
75	VentiHilton	1
75	Skippeh	1
75	adiccting01	1
