rank	username	minecraft:mined/minecraft:red_sand
1	Sral7	52822
2	Frozil12	44243
3	Smoke____	25470
4	TheSecondLord	17214
5	TheShyPig	14497
6	oxfordschool	12581
7	pintsizedrogue	10475
8	SvenskaHugo	9488
9	SDMNAEK	8313
10	thewindmillman	7873
11	mariominejedi	7803
12	Rumpletaezer	7500
13	lordpipe	7007
14	set67	6190
15	Mahoose	6020
16	Xclax101	5430
17	Legendosh	5193
18	Freak_Genius	4841
19	OtariCharlie	4673
20	kekhon	4286
21	ROY4LE	4281
22	diggydog67	4227
23	HellsSponge	4219
24	Groovy_MoonBird	3994
25	ImpavidArcher	3613
26	Fullut	3367
27	Blaiku	3209
28	joethahobo	3049
29	loveseeker	3014
30	PhantomsGhost_	2953
31	Euclidoris	2736
32	Nicserso	2685
33	Xalithia	2495
34	EcksDofficial	2467
35	SexcMf	2413
36	noam464	2237
37	Hermanni__	2167
38	301851	2126
39	UrbanPlanner1978	1872
40	Cocoamallows	1849
41	Parcc	1672
42	selectrix	1555
43	sebastiensaborio	1372
44	djancak	1371
45	YungMaki	1343
46	KingMatthew506	1248
47	fred870d	1185
48	MilleGrug	1119
49	ApophisNova	1050
50	gabriels543	1034
51	_8man	924
52	m_be9	888
53	Inbefour	691
54	audiocracked	648
55	Onennon	631
56	500am	625
57	bloodbiter	542
58	livingdaydreams	484
59	EcksD	459
60	NameGenerat0r	448
61	SammiWolfGirl	407
62	El_Jalapeno	406
63	gcaisawesome	387
64	Hoid_the_Roamer	383
65	Kakolbus	343
66	Deerfoot	293
67	stahouo	282
68	EMC_	279
69	TheSeismicDuck	274
70	Snowflowe	261
71	Dogcorn69420	250
72	SuperPooch06	246
73	Merv__	242
74	ooga47	225
74	BumbleBeever	225
76	ProfessorBee	224
77	Arceus1975	215
78	JESS_THE_RERE	202
79	_Bguette_	176
80	_Karmaa	164
81	Noah_Bez	150
82	Kowcio_	147
83	TooManyDuck	141
84	Bumpy419	140
85	eviltunix	136
86	ShedJr_	135
87	Bandito_Roamer	114
88	M_Patata	103
88	MasterNueve	103
90	yatsuta	100
91	eitanzaki	99
92	T045RTY	98
92	Ozixar	98
92	chipklip	98
95	MovingFish7	97
96	wirelesstree	80
97	adiccting01	77
98	Skippeh	72
99	Soap_Bender	68
100	SpouHn	65
100	the_russell1611	65
100	Lowjinx	65
103	CruncyIsTaken	57
104	Darkgon	56
105	Lord_Jord	51
106	Hyp3rion_	48
107	Deathkob	46
108	Spacewardharpy7	43
109	mwrty	41
110	Werbe	35
110	AssEatrAndLicker	35
112	Soplight	31
113	MyNameIsJobo	29
114	Enderslayerxz3	22
114	Yogscast_Manden	22
116	Eraxa	18
117	AnnieBathory	15
117	NomadicRobin_	15
117	mafiKiwi	15
120	Sky_light_KING	14
120	Soffbord	14
122	Zippyzam	13
122	_TCARREIRA_	13
124	JasmineGK	10
125	Blu3beast	9
126	CoffeeNoir	7
126	bmac2718	7
126	Racengan	7
129	Blackberry1310	6
129	SellyZ	6
129	_Boipl_	6
129	AssFullaCum	6
129	jcool7	6
134	nataliecool	5
134	Zaridey	5
134	MustaLoordi	5
137	teslawolf38	4
137	Nucket	4
137	Kim_Jong_eel	4
137	LexMakesHistory	4
137	WinterYoke	4
142	Louiis123	3
142	_Virify_	3
142	dabloons	3
142	titanlax	3
142	thescout7	3
142	egglapras	3
142	fr_ser	3
142	RobotMinion101	3
142	XxCookiequeenxX	3
142	Quincannon	3
142	Nycteus_	3
142	Optiprimus	3
142	CalebDHawk	3
155	Dogbound	2
155	Swexti	2
155	rarrq	2
155	AlejandroPH1	2
155	_Dean_123	2
155	Scattman_	2
155	Cambo5000	2
155	xxPipperDipperxx	2
155	Arsinic7	2
155	Chromary	2
155	RefluxRatio	2
155	sxc_	2
155	lillips	2
155	QueenShuvi	2
155	Spenduh	2
155	PortlyPete69	2
155	MyNamaSheff	2
155	Powowowow	2
155	h2p_emrld	2
174	Jovaphobic	1
174	zqw10k	1
174	6king6colt6	1
174	NanoShot	1
174	SteveCraftBlocks	1
174	Scathra	1
174	PegLegPete93	1
174	r123moore	1
174	StylesK	1
174	CarltheCuck	1
174	Di_infiri	1
174	Nyxiom_	1
174	CranialBlowout	1
174	genesis2501	1
174	TTNG	1
174	fxiryglitch	1
174	LilLizardWizard	1
174	Akoot_	1
174	yulgur1	1
174	claivin	1
174	_czarny	1
174	Warlord324	1
174	monky_irl	1
174	Dusk_95	1
174	SprinklerMan	1
174	Miko_Fullbuster	1
174	Ezekson	1
174	TechnoNinja64	1
