rank	username	minecraft:mined/minecraft:lime_terracotta
1	thewindmillman	1558
2	Kakolbus	1310
3	pintsizedrogue	967
4	SuperPooch06	666
5	rarrq	592
6	EveryonesUncle	375
7	Eraxa	345
8	Legendosh	190
9	Inbefour	166
10	GravitySaint	149
11	Alteriity	142
12	joethahobo	121
13	Frozil20	105
14	mwrty	103
15	Steelynan	93
16	lordpipe	73
17	Myszoaz	71
18	Jimb0nat0r	65
19	pixelviolin	57
20	bloodbiter	55
21	ConnorDanky_	54
22	luseis	52
23	The11thDoctor	50
24	cog	48
25	Onennon	46
26	ImpavidArcher	43
27	_Karmaa	39
28	Kowcio_	36
29	Soplight	33
30	_Huge_Male_	32
31	Wooptey	31
32	The_Cruncy	29
33	lorpus	28
34	xxPipperDipperxx	25
34	PigDab	25
36	YungMaki	24
37	Manaateee	23
38	beeperbeeper5	22
39	Blu3beast	21
39	SvenskaHugo	21
41	kekhon	20
41	Werbe	20
43	Rumpletaezer	19
43	xolstoi	19
45	Enderxz3	16
46	Mr_Byzantine	11
47	noam464	10
47	AdmiralSmoke	10
49	AlexxO_o	8
50	gcaisawesome	7
51	epiksk8erduck	6
51	TheEnderMan548	6
53	Lez_	5
53	Jonafrog99	5
53	ZoomieZoomie	5
56	Huwulling	4
56	MattieHD	4
56	CattSoup	4
59	Hyugo	3
59	Mahoose	3
59	MrExplorer	3
59	Inchef	3
59	CarryLine	3
59	Kim_Jong_eel	3
65	Sabby65	2
65	SteveCraftBlocks	2
65	ApophisNova	2
65	Gryglu583	2
65	FreakGenius	2
65	MakeHistory157	2
65	UCP_TheKingK	2
65	MyNamaSheff	2
65	TechnoNinja64	2
65	h2p_emrld	2
75	Paint	1
75	Napoleonpancake	1
75	pr33tu	1
75	Smashic	1
75	CarltheCuck	1
75	Arceus1975	1
75	TheShyPig	1
75	TruestTurnip	1
75	ItsDeltaMC	1
75	SammiWolfGirl	1
